; Candidate 8827
; ADRP+ADD at VM 0xfffffff0088c6a1c (fileoff 0x18c2a1c): page=0x1fe923000 add_imm=0xe80

0xfffffff0088c699c: 00050036  tbz	w0, #0, #0xfffffff0088c6a3c
0xfffffff0088c69a0: 60008052  mov	w0, #3
0xfffffff0088c69a4: 9dd3fe97  bl	#0xfffffff00887b818
0xfffffff0088c69a8: f40300aa  mov	x20, x0
0xfffffff0088c69ac: 00b6ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c69b0: f30300aa  mov	x19, x0
0xfffffff0088c69b4: 60008052  mov	w0, #3
0xfffffff0088c69b8: a6d3fe97  bl	#0xfffffff00887b850
0xfffffff0088c69bc: d4010036  tbz	w20, #0, #0xfffffff0088c69f4
0xfffffff0088c69c0: 484bff90  adrp	x8, #0xfffffff00722e000
0xfffffff0088c69c4: 08d52291  add	x8, x8, #0x8b5
0xfffffff0088c69c8: 89648052  mov	w9, #0x324
0xfffffff0088c69cc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c69d0: 684aff90  adrp	x8, #0xfffffff007212000
0xfffffff0088c69d4: 08a52e91  add	x8, x8, #0xba9
0xfffffff0088c69d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c69dc: 68008052  mov	w8, #3
0xfffffff0088c69e0: f32300a9  stp	x19, x8, [sp]
0xfffffff0088c69e4: 404affd0  adrp	x0, #0xfffffff007210000
0xfffffff0088c69e8: 00d82f91  add	x0, x0, #0xbf6
0xfffffff0088c69ec: 9dc2d397  bl	#0xfffffff007db7460
0xfffffff0088c69f0: 13000014  b	#0xfffffff0088c6a3c
0xfffffff0088c69f4: eeb5ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c69f8: 801bff97  bl	#0xfffffff00888d7f8
0xfffffff0088c69fc: 484bff90  adrp	x8, #0xfffffff00722e000
0xfffffff0088c6a00: 08d52291  add	x8, x8, #0x8b5
0xfffffff0088c6a04: 89648052  mov	w9, #0x324
0xfffffff0088c6a08: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c6a0c: 684aff90  adrp	x8, #0xfffffff007212000
0xfffffff0088c6a10: 08a52e91  add	x8, x8, #0xba9
0xfffffff0088c6a14: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c6a18: f35300a9  stp	x19, x20, [sp]
0xfffffff0088c6a1c: 0049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c6a20: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c6a24: 018affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c6a28: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c6a2c: a34cfff0  adrp	x3, #0xfffffff00725d000
0xfffffff0088c6a30: 638c2591  add	x3, x3, #0x963
0xfffffff0088c6a34: 02008052  mov	w2, #0
0xfffffff0088c6a38: beb1e997  bl	#0xfffffff008333130
0xfffffff0088c6a3c: 484bff90  adrp	x8, #0xfffffff00722e000
0xfffffff0088c6a40: 08112491  add	x8, x8, #0x904
0xfffffff0088c6a44: 89648052  mov	w9, #0x324
0xfffffff0088c6a48: e82700a9  stp	x8, x9, [sp]
0xfffffff0088c6a4c: 404bff90  adrp	x0, #0xfffffff00722e000
0xfffffff0088c6a50: 00602391  add	x0, x0, #0x8d8
0xfffffff0088c6a54: ae36ef97  bl	#0xfffffff00849450c
0xfffffff0088c6a58: 7f2303d5  pacibsp	
0xfffffff0088c6a5c: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088c6a60: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088c6a64: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088c6a68: fd030191  add	x29, sp, #0x40
0xfffffff0088c6a6c: 60008052  mov	w0, #3
0xfffffff0088c6a70: 61008052  mov	w1, #3
0xfffffff0088c6a74: 57d3fe97  bl	#0xfffffff00887b7d0
0xfffffff0088c6a78: 00050036  tbz	w0, #0, #0xfffffff0088c6b18
0xfffffff0088c6a7c: 60008052  mov	w0, #3
0xfffffff0088c6a80: 66d3fe97  bl	#0xfffffff00887b818
0xfffffff0088c6a84: f40300aa  mov	x20, x0
0xfffffff0088c6a88: c9b5ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c6a8c: f30300aa  mov	x19, x0
0xfffffff0088c6a90: 60008052  mov	w0, #3
0xfffffff0088c6a94: 6fd3fe97  bl	#0xfffffff00887b850
0xfffffff0088c6a98: d4010036  tbz	w20, #0, #0xfffffff0088c6ad0
