; Candidate 8343
; ADRP+ADD at VM 0xfffffff0088a4dc8 (fileoff 0x18a0dc8): page=0x1fe945000 add_imm=0xe80

0xfffffff0088a4d48: c649d497  bl	#0xfffffff007db7460
0xfffffff0088a4d4c: 1a008052  mov	w26, #0
0xfffffff0088a4d50: 25000014  b	#0xfffffff0088a4de4
0xfffffff0088a4d54: 163d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a4d58: fa0300aa  mov	x26, x0
0xfffffff0088a4d5c: 00018052  mov	w0, #8
0xfffffff0088a4d60: bc5aff97  bl	#0xfffffff00887b850
0xfffffff0088a4d64: 881740f9  ldr	x8, [x28, #0x28]
0xfffffff0088a4d68: e002c03d  ldr	q0, [x23]
0xfffffff0088a4d6c: e90a40f9  ldr	x9, [x23, #0x10]
0xfffffff0088a4d70: 6a0240b9  ldr	w10, [x19]
0xfffffff0088a4d74: 2b0340b9  ldr	w11, [x25]
0xfffffff0088a4d78: e9af07a9  stp	x9, x11, [sp, #0x78]
0xfffffff0088a4d7c: e083863c  stur	q0, [sp, #0x68]
0xfffffff0088a4d80: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff0088a4d84: e8a705a9  stp	x8, x9, [sp, #0x58]
0xfffffff0088a4d88: e90316aa  mov	x9, x22
0xfffffff0088a4d8c: f5a704a9  stp	x21, x9, [sp, #0x48]
0xfffffff0088a4d90: e80314aa  mov	x8, x20
0xfffffff0088a4d94: eaa303a9  stp	x10, x8, [sp, #0x38]
0xfffffff0088a4d98: 88578052  mov	w8, #0x2bc
0xfffffff0088a4d9c: 694cffd0  adrp	x9, #0xfffffff007232000
0xfffffff0088a4da0: 297d0c91  add	x9, x9, #0x31f
0xfffffff0088a4da4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088a4da8: 684cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a4dac: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a4db0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a4db4: 680f8052  mov	w8, #0x7b
0xfffffff0088a4db8: e34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a4dbc: 637c0d91  add	x3, x3, #0x35f
0xfffffff0088a4dc0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a4dc4: fa0300f9  str	x26, [sp]
0xfffffff0088a4dc8: 204affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a4dcc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a4dd0: 218bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a4dd4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a4dd8: 02008052  mov	w2, #0
0xfffffff0088a4ddc: d538ea97  bl	#0xfffffff008333130
0xfffffff0088a4de0: 1a008052  mov	w26, #0
0xfffffff0088a4de4: 600f8052  mov	w0, #0x7b
0xfffffff0088a4de8: e1008052  mov	w1, #7
0xfffffff0088a4dec: 795aff97  bl	#0xfffffff00887b7d0
0xfffffff0088a4df0: 80060034  cbz	w0, #0xfffffff0088a4ec0
0xfffffff0088a4df4: 600f8052  mov	w0, #0x7b
0xfffffff0088a4df8: 885aff97  bl	#0xfffffff00887b818
0xfffffff0088a4dfc: fc0300aa  mov	x28, x0
0xfffffff0088a4e00: eb3c0094  bl	#0xfffffff0088b41ac
0xfffffff0088a4e04: fb0300aa  mov	x27, x0
0xfffffff0088a4e08: e0008052  mov	w0, #7
0xfffffff0088a4e0c: 915aff97  bl	#0xfffffff00887b850
0xfffffff0088a4e10: 5c020034  cbz	w28, #0xfffffff0088a4e58
0xfffffff0088a4e14: 680240b9  ldr	w8, [x19]
0xfffffff0088a4e18: f96b06a9  stp	x25, x26, [sp, #0x60]
0xfffffff0088a4e1c: f76305a9  stp	x23, x24, [sp, #0x50]
0xfffffff0088a4e20: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0088a4e24: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088a4e28: 684cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a4e2c: 087d0c91  add	x8, x8, #0x31f
0xfffffff0088a4e30: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a4e34: 684cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a4e38: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a4e3c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a4e40: 680f8052  mov	w8, #0x7b
0xfffffff0088a4e44: 604cffd0  adrp	x0, #0xfffffff007232000
