; Candidate 13947
; ADRP+ADD at VM 0xfffffff00963a72c (fileoff 0x263672c): page=0xd4f000 add_imm=0xe48

0xfffffff00963a6ac: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00963a6b0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00963a6b4: fd430091  add	x29, sp, #0x10
0xfffffff00963a6b8: f30300aa  mov	x19, x0
0xfffffff00963a6bc: 746a00f0  adrp	x20, #0xfffffff00a389000
0xfffffff00963a6c0: 94223991  add	x20, x20, #0xe48
0xfffffff00963a6c4: e10314aa  mov	x1, x20
0xfffffff00963a6c8: 8295ff97  bl	#0xfffffff00961fcd0
0xfffffff00963a6cc: 702effb0  adrp	x16, #0xfffffff007c07000
0xfffffff00963a6d0: 10023d91  add	x16, x16, #0xf40
0xfffffff00963a6d4: 10420091  add	x16, x16, #0x10
0xfffffff00963a6d8: f10300aa  mov	x17, x0
0xfffffff00963a6dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00963a6e0: 300ac1da  pacda	x16, x17
0xfffffff00963a6e4: 100000f9  str	x16, [x0]
0xfffffff00963a6e8: e00314aa  mov	x0, x20
0xfffffff00963a6ec: 92aab297  bl	#0xfffffff0082e5134
0xfffffff00963a6f0: e00313aa  mov	x0, x19
0xfffffff00963a6f4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00963a6f8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00963a6fc: ff0f5fd6  retab	
0xfffffff00963a700: 7f2303d5  pacibsp	
0xfffffff00963a704: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff00963a708: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00963a70c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00963a710: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00963a714: fdc30091  add	x29, sp, #0x30
0xfffffff00963a718: f70304aa  mov	x23, x4
0xfffffff00963a71c: f80303aa  mov	x24, x3
0xfffffff00963a720: f30302aa  mov	x19, x2
0xfffffff00963a724: f50301aa  mov	x21, x1
0xfffffff00963a728: f60300aa  mov	x22, x0
0xfffffff00963a72c: 606a00f0  adrp	x0, #0xfffffff00a389000
0xfffffff00963a730: 00203991  add	x0, x0, #0xe48
0xfffffff00963a734: 100040f9  ldr	x16, [x0]
0xfffffff00963a738: f10300aa  mov	x17, x0
0xfffffff00963a73c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00963a740: 301ac1da  autda	x16, x17
0xfffffff00963a744: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff00963a748: e90310aa  mov	x9, x16
0xfffffff00963a74c: f10309aa  mov	x17, x9
0xfffffff00963a750: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff00963a754: 11093fd7  blraa	x8, x17
0xfffffff00963a758: f40300aa  mov	x20, x0
0xfffffff00963a75c: 100040f9  ldr	x16, [x0]
0xfffffff00963a760: f10300aa  mov	x17, x0
0xfffffff00963a764: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00963a768: 301ac1da  autda	x16, x17
0xfffffff00963a76c: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff00963a770: e90310aa  mov	x9, x16
0xfffffff00963a774: f10309aa  mov	x17, x9
0xfffffff00963a778: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff00963a77c: 11093fd7  blraa	x8, x17
0xfffffff00963a780: 00020034  cbz	w0, #0xfffffff00963a7c0
0xfffffff00963a784: e00318aa  mov	x0, x24
0xfffffff00963a788: e10317aa  mov	x1, x23
0xfffffff00963a78c: 61cdb297  bl	#0xfffffff0082edd10
0xfffffff00963a790: 801200f9  str	x0, [x20, #0x20]
0xfffffff00963a794: c87e50d3  ubfx	x8, x22, #0x10, #0x10
0xfffffff00963a798: 88aa0039  strb	w8, [x20, #0x2a]
0xfffffff00963a79c: 96520079  strh	w22, [x20, #0x28]
0xfffffff00963a7a0: 95ae0039  strb	w21, [x20, #0x2b]
0xfffffff00963a7a4: 93b20039  strb	w19, [x20, #0x2c]
0xfffffff00963a7a8: e00314aa  mov	x0, x20
