; Candidate 10657
; ADRP+ADD at VM 0xfffffff008de23e4 (fileoff 0x1dde3e4): page=0x1fe5e2000 add_imm=0xe15

0xfffffff008de2364: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008de2368: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff008de236c: ffc30291  add	sp, sp, #0xb0
0xfffffff008de2370: ff0f5fd6  retab	
0xfffffff008de2374: e8948052  mov	w8, #0x4a7
0xfffffff008de2378: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de237c: 29490d91  add	x9, x9, #0x352
0xfffffff008de2380: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de2384: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de2388: 08493991  add	x8, x8, #0xe52
0xfffffff008de238c: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de2390: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de2394: 12000014  b	#0xfffffff008de23dc
0xfffffff008de2398: 08958052  mov	w8, #0x4a8
0xfffffff008de239c: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de23a0: 29490d91  add	x9, x9, #0x352
0xfffffff008de23a4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de23a8: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de23ac: 08493991  add	x8, x8, #0xe52
0xfffffff008de23b0: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de23b4: 4add1491  add	x10, x10, #0x537
0xfffffff008de23b8: 09000014  b	#0xfffffff008de23dc
0xfffffff008de23bc: 28958052  mov	w8, #0x4a9
0xfffffff008de23c0: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de23c4: 29490d91  add	x9, x9, #0x352
0xfffffff008de23c8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de23cc: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de23d0: 08493991  add	x8, x8, #0xe52
0xfffffff008de23d4: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de23d8: 4af53f91  add	x10, x10, #0xffd
0xfffffff008de23dc: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de23e0: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de23e4: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de23e8: 00543891  add	x0, x0, #0xe15
0xfffffff008de23ec: 0dd3d597  bl	#0xfffffff008357020
0xfffffff008de23f0: c8088052  mov	w8, #0x46
0xfffffff008de23f4: 53008012  mov	w19, #-3
0xfffffff008de23f8: c6ffff17  b	#0xfffffff008de2310
0xfffffff008de23fc: f30300aa  mov	x19, x0
0xfffffff008de2400: 687e4093  sxtw	x8, w19
0xfffffff008de2404: 09968052  mov	w9, #0x4b0
0xfffffff008de2408: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de240c: 4a490d91  add	x10, x10, #0x352
0xfffffff008de2410: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de2414: 092fffd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de2418: 29493991  add	x9, x9, #0xe52
0xfffffff008de241c: 0b2fffd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de2420: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de2424: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de2428: eb0300f9  str	x11, [sp]
0xfffffff008de242c: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2430: 00543891  add	x0, x0, #0xe15
0xfffffff008de2434: fbd2d597  bl	#0xfffffff008357020
0xfffffff008de2438: 1e000014  b	#0xfffffff008de24b0
0xfffffff008de243c: 28968052  mov	w8, #0x4b1
0xfffffff008de2440: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de2444: 29490d91  add	x9, x9, #0x352
0xfffffff008de2448: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de244c: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de2450: 08493991  add	x8, x8, #0xe52
0xfffffff008de2454: 0a2fff90  adrp	x10, #0xfffffff0073c2000
0xfffffff008de2458: 4a410091  add	x10, x10, #0x10
0xfffffff008de245c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de2460: ea0300f9  str	x10, [sp]
