; Candidate 1942
; ADRP+ADD at VM 0xfffffff00853cd80 (fileoff 0x1538d80): page=0x1d99000 add_imm=0xd00

0xfffffff00853cd00: 03188052  mov	w3, #0xc0
0xfffffff00853cd04: 8d9bf697  bl	#0xfffffff0082e3b38
0xfffffff00853cd08: 10a3ffb0  adrp	x16, #0xfffffff00799d000
0xfffffff00853cd0c: 10022b91  add	x16, x16, #0xac0
0xfffffff00853cd10: 10420091  add	x16, x16, #0x10
0xfffffff00853cd14: f10300aa  mov	x17, x0
0xfffffff00853cd18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853cd1c: 300ac1da  pacda	x16, x17
0xfffffff00853cd20: 100000f9  str	x16, [x0]
0xfffffff00853cd24: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853cd28: 00a03491  add	x0, x0, #0xd28
0xfffffff00853cd2c: 015dfff0  adrp	x1, #0xfffffff0070df000
0xfffffff00853cd30: 21141291  add	x1, x1, #0x485
0xfffffff00853cd34: c2a2ffb0  adrp	x2, #0xfffffff007995000
0xfffffff00853cd38: 423845f9  ldr	x2, [x2, #0xa70]
0xfffffff00853cd3c: 03168052  mov	w3, #0xb0
0xfffffff00853cd40: 7e9bf697  bl	#0xfffffff0082e3b38
0xfffffff00853cd44: 10a3ffb0  adrp	x16, #0xfffffff00799d000
0xfffffff00853cd48: 10c22f91  add	x16, x16, #0xbf0
0xfffffff00853cd4c: 10420091  add	x16, x16, #0x10
0xfffffff00853cd50: f10300aa  mov	x17, x0
0xfffffff00853cd54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853cd58: 300ac1da  pacda	x16, x17
0xfffffff00853cd5c: 100000f9  str	x16, [x0]
0xfffffff00853cd60: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00853cd64: ff0f5fd6  retab	
0xfffffff00853cd68: 7f2303d5  pacibsp	
0xfffffff00853cd6c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00853cd70: fd030091  mov	x29, sp
0xfffffff00853cd74: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853cd78: 00a03491  add	x0, x0, #0xd28
0xfffffff00853cd7c: 5e9ef697  bl	#0xfffffff0082e46f4
0xfffffff00853cd80: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853cd84: 00003491  add	x0, x0, #0xd00
0xfffffff00853cd88: 5b9ef697  bl	#0xfffffff0082e46f4
0xfffffff00853cd8c: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853cd90: 00603391  add	x0, x0, #0xcd8
0xfffffff00853cd94: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00853cd98: ff2303d5  autibsp	
0xfffffff00853cd9c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00853cda0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00853cda8
0xfffffff00853cda4: 208e38d4  brk	#0xc471
0xfffffff00853cda8: 539ef617  b	#0xfffffff0082e46f4
0xfffffff00853cdac: 7f2303d5  pacibsp	
0xfffffff00853cdb0: ff0302d1  sub	sp, sp, #0x80
0xfffffff00853cdb4: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00853cdb8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00853cdbc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00853cdc0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00853cdc4: fdc30191  add	x29, sp, #0x70
0xfffffff00853cdc8: f30300aa  mov	x19, x0
0xfffffff00853cdcc: c8a2ffb0  adrp	x8, #0xfffffff007995000
0xfffffff00853cdd0: 08b945f9  ldr	x8, [x8, #0xb70]
0xfffffff00853cdd4: 080140f9  ldr	x8, [x8]
0xfffffff00853cdd8: e81f00f9  str	x8, [sp, #0x38]
0xfffffff00853cddc: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff00853cde0: 085c40f9  ldr	x8, [x0, #0xb8]
0xfffffff00853cde4: 00a140f9  ldr	x0, [x8, #0x140]
0xfffffff00853cde8: 61620091  add	x1, x19, #0x18
0xfffffff00853cdec: b1b94c94  bl	#0xfffffff00986b4b0
0xfffffff00853cdf0: 000f0037  tbnz	w0, #0, #0xfffffff00853cfd0
0xfffffff00853cdf4: 755e40f9  ldr	x21, [x19, #0xb8]
0xfffffff00853cdf8: b43642f9  ldr	x20, [x21, #0x468]
0xfffffff00853cdfc: a0be52f9  ldr	x0, [x21, #0x2578]
