; Candidate 1037
; ADRP+ADD at VM 0xfffffff0081aa084 (fileoff 0x11a6084): page=0x1ff7c8000 add_imm=0xd30

0xfffffff0081aa004: f90300aa  mov	x25, x0
0xfffffff0081aa008: a0fdff35  cbnz	w0, #0xfffffff0081a9fbc
0xfffffff0081aa00c: f70318aa  mov	x23, x24
0xfffffff0081aa010: 80beff90  adrp	x0, #0xfffffff00797a000
0xfffffff0081aa014: 00c02591  add	x0, x0, #0x970
0xfffffff0081aa018: 81009052  mov	w1, #0x8004
0xfffffff0081aa01c: aef3ef97  bl	#0xfffffff007da6ed4
0xfffffff0081aa020: f80300aa  mov	x24, x0
0xfffffff0081aa024: 08a800fd  str	d8, [x0, #0x150]
0xfffffff0081aa028: 090400fd  str	d9, [x0, #8]
0xfffffff0081aa02c: c876ffb0  adrp	x8, #0xfffffff007083000
0xfffffff0081aa030: 089d1b91  add	x8, x8, #0x6e7
0xfffffff0081aa034: 080000f9  str	x8, [x0]
0xfffffff0081aa038: 885641f9  ldr	x8, [x20, #0x2a8]
0xfffffff0081aa03c: 1f9001b9  str	wzr, [x0, #0x190]
0xfffffff0081aa040: 088015a9  stp	x8, x0, [x0, #0x158]
0xfffffff0081aa044: ba4319b8  stur	w26, [x29, #-0x6c]
0xfffffff0081aa048: 40beff90  adrp	x0, #0xfffffff007972000
0xfffffff0081aa04c: 00c03391  add	x0, x0, #0xcf0
0xfffffff0081aa050: 01008052  mov	w1, #0
0xfffffff0081aa054: a0f3ef97  bl	#0xfffffff007da6ed4
0xfffffff0081aa058: fc0300aa  mov	x28, x0
0xfffffff0081aa05c: 1f1000b9  str	wzr, [x0, #0x10]
0xfffffff0081aa060: 1f980079  strh	wzr, [x0, #0x4c]
0xfffffff0081aa064: e007c03d  ldr	q0, [sp, #0x10]
0xfffffff0081aa068: 0000803d  str	q0, [x0]
0xfffffff0081aa06c: a1b301d1  sub	x1, x29, #0x6c
0xfffffff0081aa070: e00318aa  mov	x0, x24
0xfffffff0081aa074: e2031caa  mov	x2, x28
0xfffffff0081aa078: 030080d2  mov	x3, #0
0xfffffff0081aa07c: 0129f697  bl	#0xfffffff007f34480
0xfffffff0081aa080: f50300aa  mov	x21, x0
0xfffffff0081aa084: 40beff90  adrp	x0, #0xfffffff007972000
0xfffffff0081aa088: 00c03491  add	x0, x0, #0xd30
0xfffffff0081aa08c: e1031caa  mov	x1, x28
0xfffffff0081aa090: df7ef197  bl	#0xfffffff007e09c0c
0xfffffff0081aa094: d50b0035  cbnz	w21, #0xfffffff0081aa20c
0xfffffff0081aa098: e91b40f9  ldr	x9, [sp, #0x30]
0xfffffff0081aa09c: 300d41f8  ldr	x16, [x9, #0x10]!
0xfffffff0081aa0a0: f10309aa  mov	x17, x9
0xfffffff0081aa0a4: b18ee1f2  movk	x17, #0xc75, lsl #48
0xfffffff0081aa0a8: 301ac1da  autda	x16, x17
0xfffffff0081aa0ac: f10310aa  mov	x17, x16
0xfffffff0081aa0b0: f147c1da  xpacd	x17
0xfffffff0081aa0b4: 1f0211eb  cmp	x16, x17
0xfffffff0081aa0b8: 40000054  b.eq	#0xfffffff0081aa0c0
0xfffffff0081aa0bc: 408e38d4  brk	#0xc472
0xfffffff0081aa0c0: e80310aa  mov	x8, x16
0xfffffff0081aa0c4: 1a1200b9  str	w26, [x16, #0x10]
0xfffffff0081aa0c8: 0aa20091  add	x10, x16, #0x28
0xfffffff0081aa0cc: 50bbffd0  adrp	x16, #0xfffffff007914000
0xfffffff0081aa0d0: 10e20391  add	x16, x16, #0xf8
0xfffffff0081aa0d4: f1030aaa  mov	x17, x10
0xfffffff0081aa0d8: 91a7f0f2  movk	x17, #0x853c, lsl #48
0xfffffff0081aa0dc: 300ac1da  pacda	x16, x17
0xfffffff0081aa0e0: 101500f9  str	x16, [x8, #0x28]
0xfffffff0081aa0e4: 081740f9  ldr	x8, [x24, #0x28]
0xfffffff0081aa0e8: 300140f9  ldr	x16, [x9]
0xfffffff0081aa0ec: 700100b4  cbz	x16, #0xfffffff0081aa118
0xfffffff0081aa0f0: f10309aa  mov	x17, x9
0xfffffff0081aa0f4: b18ee1f2  movk	x17, #0xc75, lsl #48
0xfffffff0081aa0f8: 301ac1da  autda	x16, x17
0xfffffff0081aa0fc: f10310aa  mov	x17, x16
0xfffffff0081aa100: f147c1da  xpacd	x17
