; Candidate 1917
; ADRP+ADD at VM 0xfffffff00853ba74 (fileoff 0x1537a74): page=0x1feba6000 add_imm=0xe22

0xfffffff00853b9f4: e10314aa  mov	x1, x20
0xfffffff00853b9f8: 0aad4c94  bl	#0xfffffff009866e20
0xfffffff00853b9fc: 10a3ffd0  adrp	x16, #0xfffffff00799d000
0xfffffff00853ba00: 10821991  add	x16, x16, #0x660
0xfffffff00853ba04: 10420091  add	x16, x16, #0x10
0xfffffff00853ba08: f10300aa  mov	x17, x0
0xfffffff00853ba0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853ba10: 300ac1da  pacda	x16, x17
0xfffffff00853ba14: 100000f9  str	x16, [x0]
0xfffffff00853ba18: e00314aa  mov	x0, x20
0xfffffff00853ba1c: c6a5f697  bl	#0xfffffff0082e5134
0xfffffff00853ba20: e00313aa  mov	x0, x19
0xfffffff00853ba24: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00853ba28: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853ba2c: ff0f5fd6  retab	
0xfffffff00853ba30: 5f2403d5  bti	c
0xfffffff00853ba34: 30a3f617  b	#0xfffffff0082e46f4
0xfffffff00853ba38: 5f2403d5  bti	c
0xfffffff00853ba3c: 2ea3f617  b	#0xfffffff0082e46f4
0xfffffff00853ba40: 7f2303d5  pacibsp	
0xfffffff00853ba44: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00853ba48: fd030091  mov	x29, sp
0xfffffff00853ba4c: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853ba50: 00603791  add	x0, x0, #0xdd8
0xfffffff00853ba54: f9b5f797  bl	#0xfffffff008329238
0xfffffff00853ba58: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853ba5c: 00fd05f9  str	x0, [x8, #0xbf8]
0xfffffff00853ba60: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853ba64: 00083891  add	x0, x0, #0xe02
0xfffffff00853ba68: f4b5f797  bl	#0xfffffff008329238
0xfffffff00853ba6c: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853ba70: 000106f9  str	x0, [x8, #0xc00]
0xfffffff00853ba74: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853ba78: 00883891  add	x0, x0, #0xe22
0xfffffff00853ba7c: efb5f797  bl	#0xfffffff008329238
0xfffffff00853ba80: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853ba84: 000506f9  str	x0, [x8, #0xc08]
0xfffffff00853ba88: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853ba8c: 00e43891  add	x0, x0, #0xe39
0xfffffff00853ba90: eab5f797  bl	#0xfffffff008329238
0xfffffff00853ba94: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853ba98: 000906f9  str	x0, [x8, #0xc10]
0xfffffff00853ba9c: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853baa0: 004c3991  add	x0, x0, #0xe53
0xfffffff00853baa4: e5b5f797  bl	#0xfffffff008329238
0xfffffff00853baa8: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853baac: 000d06f9  str	x0, [x8, #0xc18]
0xfffffff00853bab0: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853bab4: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00853bab8: e0b5f797  bl	#0xfffffff008329238
0xfffffff00853babc: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853bac0: 001106f9  str	x0, [x8, #0xc20]
0xfffffff00853bac4: c0ec00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853bac8: 00a03091  add	x0, x0, #0xc28
0xfffffff00853bacc: 215dff90  adrp	x1, #0xfffffff0070df000
0xfffffff00853bad0: 21100891  add	x1, x1, #0x204
0xfffffff00853bad4: c2a2ffd0  adrp	x2, #0xfffffff007995000
0xfffffff00853bad8: 42ec44f9  ldr	x2, [x2, #0x9d8]
0xfffffff00853badc: 03078052  mov	w3, #0x38
0xfffffff00853bae0: 16a0f697  bl	#0xfffffff0082e3b38
0xfffffff00853bae4: 10a3ffd0  adrp	x16, #0xfffffff00799d000
0xfffffff00853bae8: 10021d91  add	x16, x16, #0x740
0xfffffff00853baec: 10420091  add	x16, x16, #0x10
0xfffffff00853baf0: f10300aa  mov	x17, x0
