; Candidate 15892
; ADRP+ADD at VM 0xfffffff009dc3fe0 (fileoff 0x2dbffe0): page=0x1fdf64000 add_imm=0xd78

0xfffffff009dc3f60: 1fb801f9  str	xzr, [x0, #0x370]
0xfffffff009dc3f64: 1ff00679  strh	wzr, [x0, #0x378]
0xfffffff009dc3f68: 28008052  mov	w8, #1
0xfffffff009dc3f6c: 08e80d39  strb	w8, [x0, #0x37a]
0xfffffff009dc3f70: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009dc3f74: ff0f5fd6  retab	
0xfffffff009dc3f78: 5f2403d5  bti	c
0xfffffff009dc3f7c: e5ffff17  b	#0xfffffff009dc3f10
0xfffffff009dc3f80: 5f2403d5  bti	c
0xfffffff009dc3f84: 1e740014  b	#0xfffffff009de0ffc
0xfffffff009dc3f88: 5f2403d5  bti	c
0xfffffff009dc3f8c: 1c740014  b	#0xfffffff009de0ffc
0xfffffff009dc3f90: 7f2303d5  pacibsp	
0xfffffff009dc3f94: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009dc3f98: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009dc3f9c: fd430091  add	x29, sp, #0x10
0xfffffff009dc3fa0: f30300aa  mov	x19, x0
0xfffffff009dc3fa4: 16740094  bl	#0xfffffff009de0ffc
0xfffffff009dc3fa8: 20fbfe90  adrp	x0, #0xfffffff007d27000
0xfffffff009dc3fac: 00e03591  add	x0, x0, #0xd78
0xfffffff009dc3fb0: e10313aa  mov	x1, x19
0xfffffff009dc3fb4: 02728052  mov	w2, #0x390
0xfffffff009dc3fb8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009dc3fbc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009dc3fc0: ff2303d5  autibsp	
0xfffffff009dc3fc4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009dc3fc8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009dc3fd0
0xfffffff009dc3fcc: 208e38d4  brk	#0xc471
0xfffffff009dc3fd0: b38d9417  b	#0xfffffff0082e769c
0xfffffff009dc3fd4: 5f2403d5  bti	c
0xfffffff009dc3fd8: e20301aa  mov	x2, x1
0xfffffff009dc3fdc: e10300aa  mov	x1, x0
0xfffffff009dc3fe0: 20fbfe90  adrp	x0, #0xfffffff007d27000
0xfffffff009dc3fe4: 00e03591  add	x0, x0, #0xd78
0xfffffff009dc3fe8: ad8d9417  b	#0xfffffff0082e769c
0xfffffff009dc3fec: 5f2403d5  bti	c
0xfffffff009dc3ff0: c02f00f0  adrp	x0, #0xfffffff00a3be000
0xfffffff009dc3ff4: 00401791  add	x0, x0, #0x5d0
0xfffffff009dc3ff8: c0035fd6  ret	
0xfffffff009dc3ffc: 7f2303d5  pacibsp	
0xfffffff009dc4000: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009dc4004: fd030091  mov	x29, sp
0xfffffff009dc4008: a1c6fed0  adrp	x1, #0xfffffff00769a000
0xfffffff009dc400c: 21202b91  add	x1, x1, #0xac8
0xfffffff009dc4010: c22f00d0  adrp	x2, #0xfffffff00a3be000
0xfffffff009dc4014: 42e03091  add	x2, x2, #0xc38
0xfffffff009dc4018: 03728052  mov	w3, #0x390
0xfffffff009dc401c: c77e9497  bl	#0xfffffff0082e3b38
0xfffffff009dc4020: d0fafeb0  adrp	x16, #0xfffffff007d1d000
0xfffffff009dc4024: 10e22c91  add	x16, x16, #0xb38
0xfffffff009dc4028: 10420091  add	x16, x16, #0x10
0xfffffff009dc402c: f10300aa  mov	x17, x0
0xfffffff009dc4030: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dc4034: 300ac1da  pacda	x16, x17
0xfffffff009dc4038: 100000f9  str	x16, [x0]
0xfffffff009dc403c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009dc4040: ff0f5fd6  retab	
0xfffffff009dc4044: 7f2303d5  pacibsp	
0xfffffff009dc4048: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009dc404c: fd030091  mov	x29, sp
0xfffffff009dc4050: 00fbfef0  adrp	x0, #0xfffffff007d27000
0xfffffff009dc4054: 00e03591  add	x0, x0, #0xd78
0xfffffff009dc4058: 01728052  mov	w1, #0x390
0xfffffff009dc405c: 778d9497  bl	#0xfffffff0082e7638
