; Candidate 8495
; ADRP+ADD at VM 0xfffffff0088adee4 (fileoff 0x18a9ee4): page=0x1fe966000 add_imm=0xe0f

0xfffffff0088ade64: e00315aa  mov	x0, x21
0xfffffff0088ade68: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088ade6c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088ade70: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088ade74: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088ade78: ff030291  add	sp, sp, #0x80
0xfffffff0088ade7c: ff0f5fd6  retab	
0xfffffff0088ade80: 7f2303d5  pacibsp	
0xfffffff0088ade84: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088ade88: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088ade8c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088ade90: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088ade94: fdc30191  add	x29, sp, #0x70
0xfffffff0088ade98: f30300aa  mov	x19, x0
0xfffffff0088ade9c: c00f8052  mov	w0, #0x7e
0xfffffff0088adea0: c1008052  mov	w1, #6
0xfffffff0088adea4: 4b36ff97  bl	#0xfffffff00887b7d0
0xfffffff0088adea8: 40020034  cbz	w0, #0xfffffff0088adef0
0xfffffff0088adeac: c00f8052  mov	w0, #0x7e
0xfffffff0088adeb0: 5a36ff97  bl	#0xfffffff00887b818
0xfffffff0088adeb4: f50300aa  mov	x21, x0
0xfffffff0088adeb8: bd180094  bl	#0xfffffff0088b41ac
0xfffffff0088adebc: f40300aa  mov	x20, x0
0xfffffff0088adec0: c0008052  mov	w0, #6
0xfffffff0088adec4: 6336ff97  bl	#0xfffffff00887b850
0xfffffff0088adec8: 35050034  cbz	w21, #0xfffffff0088adf6c
0xfffffff0088adecc: 284cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088aded0: 08a93791  add	x8, x8, #0xdea
0xfffffff0088aded4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088aded8: c80f8052  mov	w8, #0x7e
0xfffffff0088adedc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088adee0: f40300f9  str	x20, [sp]
0xfffffff0088adee4: 204bffd0  adrp	x0, #0xfffffff007213000
0xfffffff0088adee8: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088adeec: 5d25d497  bl	#0xfffffff007db7460
0xfffffff0088adef0: 530600b4  cbz	x19, #0xfffffff0088adfb8
0xfffffff0088adef4: 60c20591  add	x0, x19, #0x170
0xfffffff0088adef8: 07ecff97  bl	#0xfffffff0088a8f14
0xfffffff0088adefc: 20090034  cbz	w0, #0xfffffff0088ae020
0xfffffff0088adf00: f40300aa  mov	x20, x0
0xfffffff0088adf04: c00f8052  mov	w0, #0x7e
0xfffffff0088adf08: 81008052  mov	w1, #4
0xfffffff0088adf0c: 3136ff97  bl	#0xfffffff00887b7d0
0xfffffff0088adf10: 60130034  cbz	w0, #0xfffffff0088ae17c
0xfffffff0088adf14: c00f8052  mov	w0, #0x7e
0xfffffff0088adf18: 4036ff97  bl	#0xfffffff00887b818
0xfffffff0088adf1c: f60300aa  mov	x22, x0
0xfffffff0088adf20: a3180094  bl	#0xfffffff0088b41ac
0xfffffff0088adf24: f50300aa  mov	x21, x0
0xfffffff0088adf28: 80008052  mov	w0, #4
0xfffffff0088adf2c: 4936ff97  bl	#0xfffffff00887b850
0xfffffff0088adf30: 560c0034  cbz	w22, #0xfffffff0088ae0b8
0xfffffff0088adf34: 680240b9  ldr	w8, [x19]
0xfffffff0088adf38: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff0088adf3c: 084bfff0  adrp	x8, #0xfffffff007210000
0xfffffff0088adf40: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088adf44: 49aa8052  mov	w9, #0x552
0xfffffff0088adf48: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088adf4c: 284cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088adf50: 08a93791  add	x8, x8, #0xdea
0xfffffff0088adf54: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088adf58: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088adf5c: c80f8052  mov	w8, #0x7e
0xfffffff0088adf60: 204cffd0  adrp	x0, #0xfffffff007233000
