; Candidate 14502
; ADRP+ADD at VM 0xfffffff0097fcc58 (fileoff 0x27f8c58): page=0x1fddb8000 add_imm=0xe03

0xfffffff0097fcbd8: 0a488852  mov	w10, #0x4240
0xfffffff0097fcbdc: ea01a072  movk	w10, #0xf, lsl #16
0xfffffff0097fcbe0: 08250a9b  madd	x8, x8, x10, x9
0xfffffff0097fcbe4: 69298bd2  mov	x9, #0x594b
0xfffffff0097fcbe8: c910a7f2  movk	x9, #0x3886, lsl #16
0xfffffff0097fcbec: c9bad8f2  movk	x9, #0xc5d6, lsl #32
0xfffffff0097fcbf0: a98de6f2  movk	x9, #0x346d, lsl #48
0xfffffff0097fcbf4: 087dc99b  umulh	x8, x8, x9
0xfffffff0097fcbf8: 08fd4bd3  lsr	x8, x8, #0xb
0xfffffff0097fcbfc: f62300a9  stp	x22, x8, [sp]
0xfffffff0097fcc00: c0edfe90  adrp	x0, #0xfffffff0075b4000
0xfffffff0097fcc04: 00b83b91  add	x0, x0, #0xeee
0xfffffff0097fcc08: 52cab197  bl	#0xfffffff00846f550
0xfffffff0097fcc0c: 5a7b1f53  lsl	w26, w26, #1
0xfffffff0097fcc10: 5f434071  cmp	w26, #0x10, lsl #12
0xfffffff0097fcc14: 49f9ff54  b.ls	#0xfffffff0097fcb3c
0xfffffff0097fcc18: ec0f40f9  ldr	x12, [sp, #0x18]
0xfffffff0097fcc1c: 884100d1  sub	x8, x12, #0x10
0xfffffff0097fcc20: 1f4500f1  cmp	x8, #0x11
0xfffffff0097fcc24: 43090054  b.lo	#0xfffffff0097fcd4c
0xfffffff0097fcc28: 090080d2  mov	x9, #0
0xfffffff0097fcc2c: 2a430091  add	x10, x25, #0x10
0xfffffff0097fcc30: f61340f9  ldr	x22, [sp, #0x20]
0xfffffff0097fcc34: 4b696938  ldrb	w11, [x10, x9]
0xfffffff0097fcc38: 7fd10271  cmp	w11, #0xb4
0xfffffff0097fcc3c: e1080054  b.ne	#0xfffffff0097fcd58
0xfffffff0097fcc40: 29050091  add	x9, x9, #1
0xfffffff0097fcc44: ff0209eb  cmp	x23, x9
0xfffffff0097fcc48: 61ffff54  b.ne	#0xfffffff0097fcc34
0xfffffff0097fcc4c: 44000014  b	#0xfffffff0097fcd5c
0xfffffff0097fcc50: fb0300aa  mov	x27, x0
0xfffffff0097fcc54: f66f00a9  stp	x22, x27, [sp]
0xfffffff0097fcc58: c0edfe90  adrp	x0, #0xfffffff0075b4000
0xfffffff0097fcc5c: 000c3891  add	x0, x0, #0xe03
0xfffffff0097fcc60: 3ccab197  bl	#0xfffffff00846f550
0xfffffff0097fcc64: fa031baa  mov	x26, x27
0xfffffff0097fcc68: 900240f9  ldr	x16, [x20]
0xfffffff0097fcc6c: f10314aa  mov	x17, x20
0xfffffff0097fcc70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097fcc74: 301ac1da  autda	x16, x17
0xfffffff0097fcc78: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff0097fcc7c: e90310aa  mov	x9, x16
0xfffffff0097fcc80: e00314aa  mov	x0, x20
0xfffffff0097fcc84: 01008052  mov	w1, #0
0xfffffff0097fcc88: f10309aa  mov	x17, x9
0xfffffff0097fcc8c: b150f2f2  movk	x17, #0x9285, lsl #48
0xfffffff0097fcc90: 11093fd7  blraa	x8, x17
0xfffffff0097fcc94: 900240f9  ldr	x16, [x20]
0xfffffff0097fcc98: f10314aa  mov	x17, x20
0xfffffff0097fcc9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097fcca0: 301ac1da  autda	x16, x17
0xfffffff0097fcca4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0097fcca8: e90310aa  mov	x9, x16
0xfffffff0097fccac: e00314aa  mov	x0, x20
0xfffffff0097fccb0: f10309aa  mov	x17, x9
0xfffffff0097fccb4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0097fccb8: 11093fd7  blraa	x8, x17
0xfffffff0097fccbc: 700240f9  ldr	x16, [x19]
0xfffffff0097fccc0: f10313aa  mov	x17, x19
0xfffffff0097fccc4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097fccc8: 301ac1da  autda	x16, x17
0xfffffff0097fcccc: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff0097fccd0: e90310aa  mov	x9, x16
0xfffffff0097fccd4: e00313aa  mov	x0, x19
