; Candidate 1867
; ADRP+ADD at VM 0xfffffff008538908 (fileoff 0x1534908): page=0x1feba9000 add_imm=0xe22

0xfffffff008538888: e10314aa  mov	x1, x20
0xfffffff00853888c: 65b94c94  bl	#0xfffffff009866e20
0xfffffff008538890: 10a3fff0  adrp	x16, #0xfffffff00799b000
0xfffffff008538894: 10c23891  add	x16, x16, #0xe30
0xfffffff008538898: 10420091  add	x16, x16, #0x10
0xfffffff00853889c: f10300aa  mov	x17, x0
0xfffffff0085388a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085388a4: 300ac1da  pacda	x16, x17
0xfffffff0085388a8: 100000f9  str	x16, [x0]
0xfffffff0085388ac: e00314aa  mov	x0, x20
0xfffffff0085388b0: 21b2f697  bl	#0xfffffff0082e5134
0xfffffff0085388b4: e00313aa  mov	x0, x19
0xfffffff0085388b8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085388bc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085388c0: ff0f5fd6  retab	
0xfffffff0085388c4: 5f2403d5  bti	c
0xfffffff0085388c8: 8baff617  b	#0xfffffff0082e46f4
0xfffffff0085388cc: 5f2403d5  bti	c
0xfffffff0085388d0: 89aff617  b	#0xfffffff0082e46f4
0xfffffff0085388d4: 7f2303d5  pacibsp	
0xfffffff0085388d8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0085388dc: fd030091  mov	x29, sp
0xfffffff0085388e0: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085388e4: 00603791  add	x0, x0, #0xdd8
0xfffffff0085388e8: 54c2f797  bl	#0xfffffff008329238
0xfffffff0085388ec: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085388f0: 008904f9  str	x0, [x8, #0x910]
0xfffffff0085388f4: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085388f8: 00083891  add	x0, x0, #0xe02
0xfffffff0085388fc: 4fc2f797  bl	#0xfffffff008329238
0xfffffff008538900: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538904: 008d04f9  str	x0, [x8, #0x918]
0xfffffff008538908: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853890c: 00883891  add	x0, x0, #0xe22
0xfffffff008538910: 4ac2f797  bl	#0xfffffff008329238
0xfffffff008538914: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538918: 009104f9  str	x0, [x8, #0x920]
0xfffffff00853891c: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538920: 00e43891  add	x0, x0, #0xe39
0xfffffff008538924: 45c2f797  bl	#0xfffffff008329238
0xfffffff008538928: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853892c: 009504f9  str	x0, [x8, #0x928]
0xfffffff008538930: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538934: 004c3991  add	x0, x0, #0xe53
0xfffffff008538938: 40c2f797  bl	#0xfffffff008329238
0xfffffff00853893c: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538940: 009904f9  str	x0, [x8, #0x930]
0xfffffff008538944: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538948: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00853894c: 3bc2f797  bl	#0xfffffff008329238
0xfffffff008538950: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538954: 009d04f9  str	x0, [x8, #0x938]
0xfffffff008538958: e0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853895c: 00002591  add	x0, x0, #0x940
0xfffffff008538960: 215dffd0  adrp	x1, #0xfffffff0070de000
0xfffffff008538964: 21181891  add	x1, x1, #0x606
0xfffffff008538968: e2ec00b0  adrp	x2, #0xfffffff00a2d5000
0xfffffff00853896c: 42a02591  add	x2, x2, #0x968
0xfffffff008538970: 032c8052  mov	w3, #0x160
0xfffffff008538974: 71acf697  bl	#0xfffffff0082e3b38
0xfffffff008538978: 10a3fff0  adrp	x16, #0xfffffff00799b000
0xfffffff00853897c: 10023f91  add	x16, x16, #0xfc0
0xfffffff008538980: 10420091  add	x16, x16, #0x10
0xfffffff008538984: f10300aa  mov	x17, x0
