; Candidate 10560
; ADRP+ADD at VM 0xfffffff008dd509c (fileoff 0x1dd109c): page=0x1fe5db000 add_imm=0xe58

0xfffffff008dd501c: ea2eff90  adrp	x10, #0xfffffff0073b1000
0xfffffff008dd5020: 4a012091  add	x10, x10, #0x800
0xfffffff008dd5024: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008dd5028: ea0300f9  str	x10, [sp]
0xfffffff008dd502c: e02eff90  adrp	x0, #0xfffffff0073b1000
0xfffffff008dd5030: 00382291  add	x0, x0, #0x88e
0xfffffff008dd5034: 36fdda97  bl	#0xfffffff00849450c
0xfffffff008dd5038: 7f2303d5  pacibsp	
0xfffffff008dd503c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008dd5040: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008dd5044: fd830091  add	x29, sp, #0x20
0xfffffff008dd5048: 680b8052  mov	w8, #0x5b
0xfffffff008dd504c: 292ffff0  adrp	x9, #0xfffffff0073bc000
0xfffffff008dd5050: 290d1891  add	x9, x9, #0x603
0xfffffff008dd5054: 2a2fffb0  adrp	x10, #0xfffffff0073ba000
0xfffffff008dd5058: 4a313f91  add	x10, x10, #0xfcc
0xfffffff008dd505c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008dd5060: ea0300f9  str	x10, [sp]
0xfffffff008dd5064: 202ffff0  adrp	x0, #0xfffffff0073bc000
0xfffffff008dd5068: 00881791  add	x0, x0, #0x5e2
0xfffffff008dd506c: 28fdda97  bl	#0xfffffff00849450c
0xfffffff008dd5070: 7f2303d5  pacibsp	
0xfffffff008dd5074: ffc300d1  sub	sp, sp, #0x30
0xfffffff008dd5078: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008dd507c: fd830091  add	x29, sp, #0x20
0xfffffff008dd5080: 08088052  mov	w8, #0x40
0xfffffff008dd5084: 292ffff0  adrp	x9, #0xfffffff0073bc000
0xfffffff008dd5088: 294d1991  add	x9, x9, #0x653
0xfffffff008dd508c: ca2efff0  adrp	x10, #0xfffffff0073b0000
0xfffffff008dd5090: 4ae53991  add	x10, x10, #0xe79
0xfffffff008dd5094: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008dd5098: ea0300f9  str	x10, [sp]
0xfffffff008dd509c: c02efff0  adrp	x0, #0xfffffff0073b0000
0xfffffff008dd50a0: 00603991  add	x0, x0, #0xe58
0xfffffff008dd50a4: 1afdda97  bl	#0xfffffff00849450c
0xfffffff008dd50a8: 7f2303d5  pacibsp	
0xfffffff008dd50ac: ffc300d1  sub	sp, sp, #0x30
0xfffffff008dd50b0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008dd50b4: fd830091  add	x29, sp, #0x20
0xfffffff008dd50b8: 01a6fe97  bl	#0xfffffff008d7e8bc
0xfffffff008dd50bc: 28908052  mov	w8, #0x481
0xfffffff008dd50c0: 292ffff0  adrp	x9, #0xfffffff0073bc000
0xfffffff008dd50c4: 29491d91  add	x9, x9, #0x752
0xfffffff008dd50c8: 2a2fffb0  adrp	x10, #0xfffffff0073ba000
0xfffffff008dd50cc: 4a313f91  add	x10, x10, #0xfcc
0xfffffff008dd50d0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008dd50d4: ea0300a9  stp	x10, x0, [sp]
0xfffffff008dd50d8: 202ffff0  adrp	x0, #0xfffffff0073bc000
0xfffffff008dd50dc: 00c01c91  add	x0, x0, #0x730
0xfffffff008dd50e0: 0bfdda97  bl	#0xfffffff00849450c
0xfffffff008dd50e4: 7f2303d5  pacibsp	
0xfffffff008dd50e8: ffc300d1  sub	sp, sp, #0x30
0xfffffff008dd50ec: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008dd50f0: fd830091  add	x29, sp, #0x20
0xfffffff008dd50f4: f2a5fe97  bl	#0xfffffff008d7e8bc
0xfffffff008dd50f8: 881d8052  mov	w8, #0xec
0xfffffff008dd50fc: 292ffff0  adrp	x9, #0xfffffff0073bc000
0xfffffff008dd5100: 29c12891  add	x9, x9, #0xa30
0xfffffff008dd5104: 2a2fffb0  adrp	x10, #0xfffffff0073ba000
0xfffffff008dd5108: 4a313f91  add	x10, x10, #0xfcc
0xfffffff008dd510c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008dd5110: ea0300a9  stp	x10, x0, [sp]
0xfffffff008dd5114: 202ffff0  adrp	x0, #0xfffffff0073bc000
0xfffffff008dd5118: 00c01c91  add	x0, x0, #0x730
