; Candidate 14194
; ADRP+ADD at VM 0xfffffff00974c0a4 (fileoff 0x27480a4): page=0xc3f000 add_imm=0xd58

0xfffffff00974c024: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00974c028: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff00974c02c: ff2303d5  autibsp	
0xfffffff00974c030: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff00974c034: 5100f0b6  tbz	x17, #0x3e, #0xfffffff00974c03c
0xfffffff00974c038: 208e38d4  brk	#0xc471
0xfffffff00974c03c: f10302aa  mov	x17, x2
0xfffffff00974c040: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff00974c044: 110a1fd7  braa	x16, x17
0xfffffff00974c048: 7f2303d5  pacibsp	
0xfffffff00974c04c: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff00974c050: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00974c054: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00974c058: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00974c05c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00974c060: fd030191  add	x29, sp, #0x40
0xfffffff00974c064: f40302aa  mov	x20, x2
0xfffffff00974c068: f50301aa  mov	x21, x1
0xfffffff00974c06c: f30300aa  mov	x19, x0
0xfffffff00974c070: 100040f9  ldr	x16, [x0]
0xfffffff00974c074: f10300aa  mov	x17, x0
0xfffffff00974c078: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974c07c: 301ac1da  autda	x16, x17
0xfffffff00974c080: 11a880d2  mov	x17, #0x540
0xfffffff00974c084: 1002118b  add	x16, x16, x17
0xfffffff00974c088: 080240f9  ldr	x8, [x16]
0xfffffff00974c08c: e90310aa  mov	x9, x16
0xfffffff00974c090: f10309aa  mov	x17, x9
0xfffffff00974c094: 5188f3f2  movk	x17, #0x9c42, lsl #48
0xfffffff00974c098: 11093fd7  blraa	x8, x17
0xfffffff00974c09c: 000600b4  cbz	x0, #0xfffffff00974c15c
0xfffffff00974c0a0: f60300aa  mov	x22, x0
0xfffffff00974c0a4: e06100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff00974c0a8: 00603591  add	x0, x0, #0xd58
0xfffffff00974c0ac: 2b62ae97  bl	#0xfffffff0082e4958
0xfffffff00974c0b0: f70300aa  mov	x23, x0
0xfffffff00974c0b4: d00240f9  ldr	x16, [x22]
0xfffffff00974c0b8: f10316aa  mov	x17, x22
0xfffffff00974c0bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974c0c0: 301ac1da  autda	x16, x17
0xfffffff00974c0c4: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974c0c8: e90310aa  mov	x9, x16
0xfffffff00974c0cc: e00316aa  mov	x0, x22
0xfffffff00974c0d0: f10309aa  mov	x17, x9
0xfffffff00974c0d4: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974c0d8: 11093fd7  blraa	x8, x17
0xfffffff00974c0dc: f80300aa  mov	x24, x0
0xfffffff00974c0e0: 700240f9  ldr	x16, [x19]
0xfffffff00974c0e4: f10313aa  mov	x17, x19
0xfffffff00974c0e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974c0ec: 301ac1da  autda	x16, x17
0xfffffff00974c0f0: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974c0f4: e90310aa  mov	x9, x16
0xfffffff00974c0f8: e00313aa  mov	x0, x19
0xfffffff00974c0fc: f10309aa  mov	x17, x9
0xfffffff00974c100: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974c104: 11093fd7  blraa	x8, x17
0xfffffff00974c108: f90300aa  mov	x25, x0
0xfffffff00974c10c: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff00974c110: 100040f9  ldr	x16, [x0]
0xfffffff00974c114: f10300aa  mov	x17, x0
0xfffffff00974c118: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974c11c: 301ac1da  autda	x16, x17
0xfffffff00974c120: 080e49f8  ldr	x8, [x16, #0x90]!
