; Candidate 759
; ADRP+ADD at VM 0xfffffff00806d604 (fileoff 0x1069604): page=0x2151000 add_imm=0xe70

0xfffffff00806d584: e9c4ff90  adrp	x9, #0xfffffff007909000
0xfffffff00806d588: 29414c39  ldrb	w9, [x9, #0x310]
0xfffffff00806d58c: 49030034  cbz	w9, #0xfffffff00806d5f4
0xfffffff00806d590: 08051f32  orr	w8, w8, #6
0xfffffff00806d594: 681600b9  str	w8, [x19, #0x14]
0xfffffff00806d598: 100000d0  adrp	x16, #0xfffffff00806f000
0xfffffff00806d59c: 10523591  add	x16, x16, #0xd54
0xfffffff00806d5a0: f1a09ad2  mov	x17, #0xd507
0xfffffff00806d5a4: 3002c1da  pacia	x16, x17
0xfffffff00806d5a8: 703200f9  str	x16, [x19, #0x60]
0xfffffff00806d5ac: 100000d0  adrp	x16, #0xfffffff00806f000
0xfffffff00806d5b0: 10722f91  add	x16, x16, #0xbdc
0xfffffff00806d5b4: d15785d2  mov	x17, #0x2abe
0xfffffff00806d5b8: 3002c1da  pacia	x16, x17
0xfffffff00806d5bc: 703600f9  str	x16, [x19, #0x68]
0xfffffff00806d5c0: 100000d0  adrp	x16, #0xfffffff00806f000
0xfffffff00806d5c4: 10922a91  add	x16, x16, #0xaa4
0xfffffff00806d5c8: d15785d2  mov	x17, #0x2abe
0xfffffff00806d5cc: 3002c1da  pacia	x16, x17
0xfffffff00806d5d0: 703a00f9  str	x16, [x19, #0x70]
0xfffffff00806d5d4: 88d038d5  mrs	x8, tpidr_el1
0xfffffff00806d5d8: 68f600f9  str	x8, [x19, #0x1e8]
0xfffffff00806d5dc: 60c20791  add	x0, x19, #0x1f0
0xfffffff00806d5e0: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00806d5e4: 60820fad  stp	q0, q0, [x19, #0x1f0]
0xfffffff00806d5e8: 608210ad  stp	q0, q0, [x19, #0x210]
0xfffffff00806d5ec: 01018052  mov	w1, #8
0xfffffff00806d5f0: 40d80994  bl	#0xfffffff0082e36f0
0xfffffff00806d5f4: e00313aa  mov	x0, x19
0xfffffff00806d5f8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00806d5fc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00806d600: ff0f5fd6  retab	
0xfffffff00806d604: 800a01b0  adrp	x0, #0xfffffff00a1be000
0xfffffff00806d608: 00c03991  add	x0, x0, #0xe70
0xfffffff00806d60c: 00cb1094  bl	#0xfffffff0084a020c
0xfffffff00806d610: 7f2303d5  pacibsp	
0xfffffff00806d614: ffc303d1  sub	sp, sp, #0xf0
0xfffffff00806d618: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff00806d61c: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff00806d620: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff00806d624: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff00806d628: fd830391  add	x29, sp, #0xe0
0xfffffff00806d62c: c80a01d0  adrp	x8, #0xfffffff00a1c7000
0xfffffff00806d630: 08010091  add	x8, x8, #0
0xfffffff00806d634: 080140f9  ldr	x8, [x8]
0xfffffff00806d638: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff00806d63c: 087c4179  ldrh	w8, [x0, #0xbe]
0xfffffff00806d640: 68002037  tbnz	w8, #4, #0xfffffff00806d64c
0xfffffff00806d644: c0028052  mov	w0, #0x16
0xfffffff00806d648: ee000014  b	#0xfffffff00806da00
0xfffffff00806d64c: f60303aa  mov	x22, x3
0xfffffff00806d650: f30301aa  mov	x19, x1
0xfffffff00806d654: ff7f07a9  stp	xzr, xzr, [sp, #0x70]
0xfffffff00806d658: ff4300f9  str	xzr, [sp, #0x80]
0xfffffff00806d65c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00806d660: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff00806d664: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff00806d668: c8218d52  mov	w8, #0x690e
0xfffffff00806d66c: 0804b072  movk	w8, #0x8020, lsl #16
0xfffffff00806d670: e017803d  str	q0, [sp, #0x50]
0xfffffff00806d674: 5f0008eb  cmp	x2, x8
0xfffffff00806d678: e0020054  b.eq	#0xfffffff00806d6d4
0xfffffff00806d67c: 48248d52  mov	w8, #0x6922
0xfffffff00806d680: 0804b872  movk	w8, #0xc020, lsl #16
