; Candidate 9480
; ADRP+ADD at VM 0xfffffff008a5aa50 (fileoff 0x1a56a50): page=0x1fe852000 add_imm=0xe8f

0xfffffff008a5a9d0: f40300aa  mov	x20, x0
0xfffffff008a5a9d4: 700240f9  ldr	x16, [x19]
0xfffffff008a5a9d8: f10313aa  mov	x17, x19
0xfffffff008a5a9dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a5a9e0: 301ac1da  autda	x16, x17
0xfffffff008a5a9e4: 113d80d2  mov	x17, #0x1e8
0xfffffff008a5a9e8: 1002118b  add	x16, x16, x17
0xfffffff008a5a9ec: 080240f9  ldr	x8, [x16]
0xfffffff008a5a9f0: e90310aa  mov	x9, x16
0xfffffff008a5a9f4: e00313aa  mov	x0, x19
0xfffffff008a5a9f8: 010080d2  mov	x1, #0
0xfffffff008a5a9fc: f10309aa  mov	x17, x9
0xfffffff008a5aa00: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a5aa04: 11093fd7  blraa	x8, x17
0xfffffff008a5aa08: e40300aa  mov	x4, x0
0xfffffff008a5aa0c: e00314aa  mov	x0, x20
0xfffffff008a5aa10: 61008052  mov	w1, #3
0xfffffff008a5aa14: e21f8052  mov	w2, #0xff
0xfffffff008a5aa18: e30313aa  mov	x3, x19
0xfffffff008a5aa1c: ca3ee897  bl	#0xfffffff00846a544
0xfffffff008a5aa20: 608601f9  str	x0, [x19, #0x308]
0xfffffff008a5aa24: 680a4c39  ldrb	w8, [x19, #0x302]
0xfffffff008a5aa28: a8030035  cbnz	w8, #0xfffffff008a5aa9c
0xfffffff008a5aa2c: 68124c39  ldrb	w8, [x19, #0x304]
0xfffffff008a5aa30: c8020034  cbz	w8, #0xfffffff008a5aa88
0xfffffff008a5aa34: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff008a5aa38: 60c642bd  ldr	s0, [x19, #0x2c4]
0xfffffff008a5aa3c: 498fa852  mov	w9, #0x447a0000
0xfffffff008a5aa40: 2101271e  fmov	s1, w9
0xfffffff008a5aa44: 0008211e  fmul	s0, s0, s1
0xfffffff008a5aa48: 0900381e  fcvtzs	w9, s0
0xfffffff008a5aa4c: e82700a9  stp	x8, x9, [sp]
0xfffffff008a5aa50: 8042ffd0  adrp	x0, #0xfffffff0072ac000
0xfffffff008a5aa54: 003c3a91  add	x0, x0, #0xe8f
0xfffffff008a5aa58: 72f1e397  bl	#0xfffffff008357020
0xfffffff008a5aa5c: e00313aa  mov	x0, x19
0xfffffff008a5aa60: 97feff97  bl	#0xfffffff008a5a4bc
0xfffffff008a5aa64: 68124c39  ldrb	w8, [x19, #0x304]
0xfffffff008a5aa68: 1f010071  cmp	w8, #0
0xfffffff008a5aa6c: e1079f1a  cset	w1, ne
0xfffffff008a5aa70: 08000014  b	#0xfffffff008a5aa90
0xfffffff008a5aa74: ff0300f9  str	xzr, [sp]
0xfffffff008a5aa78: 8042ffd0  adrp	x0, #0xfffffff0072ac000
0xfffffff008a5aa7c: 001c3b91  add	x0, x0, #0xec7
0xfffffff008a5aa80: 68f1e397  bl	#0xfffffff008357020
0xfffffff008a5aa84: 07000014  b	#0xfffffff008a5aaa0
0xfffffff008a5aa88: 01008052  mov	w1, #0
0xfffffff008a5aa8c: 00e4002f  movi	d0, #0000000000000000
0xfffffff008a5aa90: 61c642bd  ldr	s1, [x19, #0x2c4]
0xfffffff008a5aa94: e00313aa  mov	x0, x19
0xfffffff008a5aa98: 4bfdff97  bl	#0xfffffff008a59fc4
0xfffffff008a5aa9c: 7f0e0c39  strb	wzr, [x19, #0x303]
0xfffffff008a5aaa0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008a5aaa4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008a5aaa8: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008a5aaac: ff030191  add	sp, sp, #0x40
0xfffffff008a5aab0: ff0f5fd6  retab	
0xfffffff008a5aab4: 5f2403d5  bti	c
0xfffffff008a5aab8: 0f27e217  b	#0xfffffff0082e46f4
0xfffffff008a5aabc: 7f2303d5  pacibsp	
0xfffffff008a5aac0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a5aac4: fd030091  mov	x29, sp
0xfffffff008a5aac8: 20c400b0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a5aacc: 00e02491  add	x0, x0, #0x938
