; Candidate 14858
; ADRP+ADD at VM 0xfffffff0099c3f5c (fileoff 0x29bff5c): page=0x1fdc36000 add_imm=0xec5

0xfffffff0099c3edc: 280c0054  b.hi	#0xfffffff0099c4060
0xfffffff0099c3ee0: 1f1a00f1  cmp	x16, #6
0xfffffff0099c3ee4: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff0099c3ee8: 110000b0  adrp	x17, #0xfffffff0099c4000
0xfffffff0099c3eec: 31420891  add	x17, x17, #0x210
0xfffffff0099c3ef0: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0099c3ef4: 11000010  adr	x17, #0xfffffff0099c3ef4
0xfffffff0099c3ef8: 3002108b  add	x16, x17, x16
0xfffffff0099c3efc: 00021fd6  br	x16
0xfffffff0099c3f00: 9f2403d5  bti	j
0xfffffff0099c3f04: f50300aa  mov	x21, x0
0xfffffff0099c3f08: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0099c3f0c: bf7f3da9  stp	xzr, xzr, [x29, #-0x30]
0xfffffff0099c3f10: bf831cf8  stur	xzr, [x29, #-0x38]
0xfffffff0099c3f14: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff0099c3f18: a6e300d1  sub	x6, x29, #0x38
0xfffffff0099c3f1c: e1008052  mov	w1, #7
0xfffffff0099c3f20: 020080d2  mov	x2, #0
0xfffffff0099c3f24: 03008052  mov	w3, #0
0xfffffff0099c3f28: 040080d2  mov	x4, #0
0xfffffff0099c3f2c: 050080d2  mov	x5, #0
0xfffffff0099c3f30: 07008052  mov	w7, #0
0xfffffff0099c3f34: f5edff97  bl	#0xfffffff0099bf708
0xfffffff0099c3f38: c0110035  cbnz	w0, #0xfffffff0099c4170
0xfffffff0099c3f3c: 884f00d0  adrp	x8, #0xfffffff00a3b5000
0xfffffff0099c3f40: 08413d91  add	x8, x8, #0xf50
0xfffffff0099c3f44: 08014039  ldrb	w8, [x8]
0xfffffff0099c3f48: 08010036  tbz	w8, #0, #0xfffffff0099c3f68
0xfffffff0099c3f4c: a8e1fed0  adrp	x8, #0xfffffff0075f9000
0xfffffff0099c3f50: 08c13b91  add	x8, x8, #0xef0
0xfffffff0099c3f54: 891f8052  mov	w9, #0xfc
0xfffffff0099c3f58: e82700a9  stp	x8, x9, [sp]
0xfffffff0099c3f5c: a0e1fed0  adrp	x0, #0xfffffff0075f9000
0xfffffff0099c3f60: 00143b91  add	x0, x0, #0xec5
0xfffffff0099c3f64: 7badaa97  bl	#0xfffffff00846f550
0xfffffff0099c3f68: 68d24039  ldrb	w8, [x19, #0x34]
0xfffffff0099c3f6c: 1f010071  cmp	w8, #0
0xfffffff0099c3f70: e8179f1a  cset	w8, eq
0xfffffff0099c3f74: 0801152a  orr	w8, w8, w21
0xfffffff0099c3f78: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0099c3f7c: 880c0036  tbz	w8, #0, #0xfffffff0099c410c
0xfffffff0099c3f80: bfff39a9  stp	xzr, xzr, [x29, #-0x68]
0xfffffff0099c3f84: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff0099c3f88: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff0099c3f8c: a6a301d1  sub	x6, x29, #0x68
0xfffffff0099c3f90: c1008052  mov	w1, #6
0xfffffff0099c3f94: 020080d2  mov	x2, #0
0xfffffff0099c3f98: 03008052  mov	w3, #0
0xfffffff0099c3f9c: 040080d2  mov	x4, #0
0xfffffff0099c3fa0: 050080d2  mov	x5, #0
0xfffffff0099c3fa4: 07008052  mov	w7, #0
0xfffffff0099c3fa8: d8edff97  bl	#0xfffffff0099bf708
0xfffffff0099c3fac: a00f0035  cbnz	w0, #0xfffffff0099c41a0
0xfffffff0099c3fb0: d5010034  cbz	w21, #0xfffffff0099c3fe8
0xfffffff0099c3fb4: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0099c3fb8: 100040f9  ldr	x16, [x0]
0xfffffff0099c3fbc: f10300aa  mov	x17, x0
0xfffffff0099c3fc0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099c3fc4: 301ac1da  autda	x16, x17
0xfffffff0099c3fc8: 11b280d2  mov	x17, #0x590
0xfffffff0099c3fcc: 1002118b  add	x16, x16, x17
0xfffffff0099c3fd0: 080240f9  ldr	x8, [x16]
0xfffffff0099c3fd4: e90310aa  mov	x9, x16
0xfffffff0099c3fd8: f10309aa  mov	x17, x9
