; Candidate 5615
; ADRP+ADD at VM 0xfffffff0087fce58 (fileoff 0x17f8e58): page=0x1fe9ed000 add_imm=0xe80

0xfffffff0087fcdd8: e8179f1a  cset	w8, eq
0xfffffff0087fcddc: 0900080a  and	w9, w0, w8
0xfffffff0087fcde0: a87240b9  ldr	w8, [x21, #0x70]
0xfffffff0087fcde4: 3f050071  cmp	w9, #1
0xfffffff0087fcde8: 41030054  b.ne	#0xfffffff0087fce50
0xfffffff0087fcdec: e9c30191  add	x9, sp, #0x70
0xfffffff0087fcdf0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087fcdf4: c050fff0  adrp	x0, #0xfffffff007217000
0xfffffff0087fcdf8: 00ec1591  add	x0, x0, #0x57b
0xfffffff0087fcdfc: 99e9d697  bl	#0xfffffff007db7460
0xfffffff0087fce00: 1e000014  b	#0xfffffff0087fce78
0xfffffff0087fce04: eadc0294  bl	#0xfffffff0088b41ac
0xfffffff0087fce08: f70300aa  mov	x23, x0
0xfffffff0087fce0c: e00316aa  mov	x0, x22
0xfffffff0087fce10: 90fa0194  bl	#0xfffffff00887b850
0xfffffff0087fce14: a97240b9  ldr	w9, [x21, #0x70]
0xfffffff0087fce18: e8c30191  add	x8, sp, #0x70
0xfffffff0087fce1c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087fce20: e80314aa  mov	x8, x20
0xfffffff0087fce24: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fce28: f70300f9  str	x23, [sp]
0xfffffff0087fce2c: 604fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fce30: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fce34: 6190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087fce38: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fce3c: 2352ffb0  adrp	x3, #0xfffffff007241000
0xfffffff0087fce40: 635c3991  add	x3, x3, #0xe57
0xfffffff0087fce44: 02008052  mov	w2, #0
0xfffffff0087fce48: bad8ec97  bl	#0xfffffff008333130
0xfffffff0087fce4c: 0b000014  b	#0xfffffff0087fce78
0xfffffff0087fce50: e9c30191  add	x9, sp, #0x70
0xfffffff0087fce54: e92300a9  stp	x9, x8, [sp]
0xfffffff0087fce58: 604fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fce5c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fce60: 6190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087fce64: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fce68: 2352ffb0  adrp	x3, #0xfffffff007241000
0xfffffff0087fce6c: 63083991  add	x3, x3, #0xe42
0xfffffff0087fce70: 02008052  mov	w2, #0
0xfffffff0087fce74: afd8ec97  bl	#0xfffffff008333130
0xfffffff0087fce78: e00314aa  mov	x0, x20
0xfffffff0087fce7c: e10316aa  mov	x1, x22
0xfffffff0087fce80: 54fa0194  bl	#0xfffffff00887b7d0
0xfffffff0087fce84: e0070034  cbz	w0, #0xfffffff0087fcf80
0xfffffff0087fce88: e00314aa  mov	x0, x20
0xfffffff0087fce8c: 63fa0194  bl	#0xfffffff00887b818
0xfffffff0087fce90: 5302f837  tbnz	w19, #0x1f, #0xfffffff0087fced8
0xfffffff0087fce94: 78021b12  and	w24, w19, #0x20
0xfffffff0087fce98: 19000052  eor	w25, w0, #1
0xfffffff0087fce9c: c4dc0294  bl	#0xfffffff0088b41ac
0xfffffff0087fcea0: f70300aa  mov	x23, x0
0xfffffff0087fcea4: e00316aa  mov	x0, x22
0xfffffff0087fcea8: 6afa0194  bl	#0xfffffff00887b850
0xfffffff0087fceac: 2817582a  orr	w8, w25, w24, lsr #5
0xfffffff0087fceb0: e8020037  tbnz	w8, #0, #0xfffffff0087fcf0c
0xfffffff0087fceb4: a99a40b9  ldr	w9, [x21, #0x98]
0xfffffff0087fceb8: e8c30191  add	x8, sp, #0x70
0xfffffff0087fcebc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087fcec0: e80314aa  mov	x8, x20
0xfffffff0087fcec4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fcec8: f70300f9  str	x23, [sp]
0xfffffff0087fcecc: c050fff0  adrp	x0, #0xfffffff007217000
0xfffffff0087fced0: 00581791  add	x0, x0, #0x5d6
0xfffffff0087fced4: 0c000014  b	#0xfffffff0087fcf04
