; Candidate 5044
; ADRP+ADD at VM 0xfffffff0087d42e0 (fileoff 0x17d02e0): page=0x1fea15000 add_imm=0xe80

0xfffffff0087d4260: f60300aa  mov	x22, x0
0xfffffff0087d4264: d27f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d4268: f50300aa  mov	x21, x0
0xfffffff0087d426c: e0008052  mov	w0, #7
0xfffffff0087d4270: 789d0294  bl	#0xfffffff00887b850
0xfffffff0087d4274: d6010034  cbz	w22, #0xfffffff0087d42ac
0xfffffff0087d4278: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087d427c: e851ffb0  adrp	x8, #0xfffffff007211000
0xfffffff0087d4280: 09b52291  add	x9, x8, #0x8ad
0xfffffff0087d4284: e851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d4288: 08712591  add	x8, x8, #0x95c
0xfffffff0087d428c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d4290: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087d4294: 080a8052  mov	w8, #0x50
0xfffffff0087d4298: e051ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d429c: 00dc2791  add	x0, x0, #0x9f7
0xfffffff0087d42a0: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d42a4: 6f8cd797  bl	#0xfffffff007db7460
0xfffffff0087d42a8: 16000014  b	#0xfffffff0087d4300
0xfffffff0087d42ac: c07f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d42b0: f50300aa  mov	x21, x0
0xfffffff0087d42b4: e0008052  mov	w0, #7
0xfffffff0087d42b8: 669d0294  bl	#0xfffffff00887b850
0xfffffff0087d42bc: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087d42c0: e851ffb0  adrp	x8, #0xfffffff007211000
0xfffffff0087d42c4: 09b52291  add	x9, x8, #0x8ad
0xfffffff0087d42c8: e851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d42cc: 08712591  add	x8, x8, #0x95c
0xfffffff0087d42d0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d42d4: 080a8052  mov	w8, #0x50
0xfffffff0087d42d8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d42dc: f50300f9  str	x21, [sp]
0xfffffff0087d42e0: a050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d42e4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d42e8: a191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d42ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d42f0: 2353fff0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d42f4: 639c0f91  add	x3, x3, #0x3e7
0xfffffff0087d42f8: 02008052  mov	w2, #0
0xfffffff0087d42fc: 8d7bed97  bl	#0xfffffff008333130
0xfffffff0087d4300: 825a40b9  ldr	w2, [x20, #0x58]
0xfffffff0087d4304: 96138052  mov	w22, #0x9c
0xfffffff0087d4308: d674a572  movk	w22, #0x2ba6, lsl #16
0xfffffff0087d430c: 80138052  mov	w0, #0x9c
0xfffffff0087d4310: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087d4314: 21018052  mov	w1, #9
0xfffffff0087d4318: 030080d2  mov	x3, #0
0xfffffff0087d431c: 040080d2  mov	x4, #0
0xfffffff0087d4320: 050080d2  mov	x5, #0
0xfffffff0087d4324: f8a6e697  bl	#0xfffffff00817df04
0xfffffff0087d4328: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0087d432c: 100040f9  ldr	x16, [x0]
0xfffffff0087d4330: f10300aa  mov	x17, x0
0xfffffff0087d4334: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d4338: 301ac1da  autda	x16, x17
0xfffffff0087d433c: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0087d4340: e90310aa  mov	x9, x16
0xfffffff0087d4344: 700300d0  adrp	x16, #0xfffffff008842000
0xfffffff0087d4348: 10b20491  add	x16, x16, #0x12c
0xfffffff0087d434c: 31a897d2  mov	x17, #0xbd41
0xfffffff0087d4350: 3002c1da  pacia	x16, x17
0xfffffff0087d4354: e10310aa  mov	x1, x16
0xfffffff0087d4358: e20314aa  mov	x2, x20
0xfffffff0087d435c: 030080d2  mov	x3, #0
