; Candidate 3676
; ADRP+ADD at VM 0xfffffff00874db20 (fileoff 0x1749b20): page=0x1fe9e4000 add_imm=0xd90

0xfffffff00874daa0: 680240f9  ldr	x8, [x19]
0xfffffff00874daa4: e81300f9  str	x8, [sp, #0x20]
0xfffffff00874daa8: 680a40b9  ldr	w8, [x19, #8]
0xfffffff00874daac: e82b00b9  str	w8, [sp, #0x28]
0xfffffff00874dab0: c8008052  mov	w8, #6
0xfffffff00874dab4: e81b00f9  str	x8, [sp, #0x30]
0xfffffff00874dab8: 896242b9  ldr	w9, [x20, #0x260]
0xfffffff00874dabc: e84700b9  str	w8, [sp, #0x44]
0xfffffff00874dac0: e93b00b9  str	w9, [sp, #0x38]
0xfffffff00874dac4: e1830091  add	x1, sp, #0x20
0xfffffff00874dac8: e00314aa  mov	x0, x20
0xfffffff00874dacc: 81000094  bl	#0xfffffff00874dcd0
0xfffffff00874dad0: f50300aa  mov	x21, x0
0xfffffff00874dad4: 00020035  cbnz	w0, #0xfffffff00874db14
0xfffffff00874dad8: 1a000014  b	#0xfffffff00874db40
0xfffffff00874dadc: 800640f9  ldr	x0, [x20, #8]
0xfffffff00874dae0: edabff97  bl	#0xfffffff008738a94
0xfffffff00874dae4: 800640f9  ldr	x0, [x20, #8]
0xfffffff00874dae8: ebabff97  bl	#0xfffffff008738a94
0xfffffff00874daec: f60300a9  stp	x22, x0, [sp]
0xfffffff00874daf0: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874daf4: 00403691  add	x0, x0, #0xd90
0xfffffff00874daf8: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874dafc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874db00: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874db04: 63a02091  add	x3, x3, #0x828
0xfffffff00874db08: 02008052  mov	w2, #0
0xfffffff00874db0c: 8995ef97  bl	#0xfffffff008333130
0xfffffff00874db10: 55008052  mov	w21, #2
0xfffffff00874db14: 680a40b9  ldr	w8, [x19, #8]
0xfffffff00874db18: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff00874db1c: f60300f9  str	x22, [sp]
0xfffffff00874db20: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874db24: 00403691  add	x0, x0, #0xd90
0xfffffff00874db28: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874db2c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874db30: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874db34: 63582191  add	x3, x3, #0x856
0xfffffff00874db38: 02008052  mov	w2, #0
0xfffffff00874db3c: 7d95ef97  bl	#0xfffffff008333130
0xfffffff00874db40: e00315aa  mov	x0, x21
0xfffffff00874db44: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00874db48: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00874db4c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00874db50: ff830291  add	sp, sp, #0xa0
0xfffffff00874db54: ff0f5fd6  retab	
0xfffffff00874db58: 15008052  mov	w21, #0
0xfffffff00874db5c: f9ffff17  b	#0xfffffff00874db40
0xfffffff00874db60: 7f2303d5  pacibsp	
0xfffffff00874db64: ff0301d1  sub	sp, sp, #0x40
0xfffffff00874db68: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00874db6c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00874db70: fdc30091  add	x29, sp, #0x30
0xfffffff00874db74: 091040b9  ldr	w9, [x0, #0x10]
0xfffffff00874db78: 28050011  add	w8, w9, #1
0xfffffff00874db7c: 081000b9  str	w8, [x0, #0x10]
0xfffffff00874db80: 4902f836  tbz	w9, #0x1f, #0xfffffff00874dbc8
0xfffffff00874db84: f30300aa  mov	x19, x0
0xfffffff00874db88: 290840b9  ldr	w9, [x1, #8]
0xfffffff00874db8c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00874db90: 4850fff0  adrp	x8, #0xfffffff007158000
0xfffffff00874db94: 08f92c91  add	x8, x8, #0xb3e
0xfffffff00874db98: e80300f9  str	x8, [sp]
0xfffffff00874db9c: 204fff90  adrp	x0, #0xfffffff007131000
