; Candidate 16640
; ADRP+ADD at VM 0xfffffff009f0c2e0 (fileoff 0x2f082e0): page=0x1fd942000 add_imm=0xd40

0xfffffff009f0c260: a0040034  cbz	w0, #0xfffffff009f0c2f4
0xfffffff009f0c264: f60300aa  mov	x22, x0
0xfffffff009f0c268: 083e8452  mov	w8, #0x21f0
0xfffffff009f0c26c: 6802088b  add	x8, x19, x8
0xfffffff009f0c270: 691a8e52  mov	w9, #0x70d3
0xfffffff009f0c274: f72700a9  stp	x23, x9, [sp]
0xfffffff009f0c278: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff009f0c27c: 00cafed0  adrp	x0, #0xfffffff00784e000
0xfffffff009f0c280: 00e83691  add	x0, x0, #0xdba
0xfffffff009f0c284: 90cdfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f0c288: 7f6610f9  str	xzr, [x19, #0x20c8]
0xfffffff009f0c28c: 0b000014  b	#0xfffffff009f0c2b8
0xfffffff009f0c290: d6028052  mov	w22, #0x16
0xfffffff009f0c294: 083e8452  mov	w8, #0x21f0
0xfffffff009f0c298: 6802088b  add	x8, x19, x8
0xfffffff009f0c29c: e9138e52  mov	w9, #0x709f
0xfffffff009f0c2a0: f72700a9  stp	x23, x9, [sp]
0xfffffff009f0c2a4: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff009f0c2a8: 00cafed0  adrp	x0, #0xfffffff00784e000
0xfffffff009f0c2ac: 00443391  add	x0, x0, #0xcd1
0xfffffff009f0c2b0: 85cdfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f0c2b4: 7f6a10f9  str	xzr, [x19, #0x20d0]
0xfffffff009f0c2b8: e00314aa  mov	x0, x20
0xfffffff009f0c2bc: 20817a97  bl	#0xfffffff007dac73c
0xfffffff009f0c2c0: 2e000014  b	#0xfffffff009f0c378
0xfffffff009f0c2c4: e9c9fed0  adrp	x9, #0xfffffff00784a000
0xfffffff009f0c2c8: 299d0691  add	x9, x9, #0x1a7
0xfffffff009f0c2cc: ea0316aa  mov	x10, x22
0xfffffff009f0c2d0: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f0c2d4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f0c2d8: 88168e52  mov	w8, #0x70b4
0xfffffff009f0c2dc: f72300a9  stp	x23, x8, [sp]
0xfffffff009f0c2e0: 00cafed0  adrp	x0, #0xfffffff00784e000
0xfffffff009f0c2e4: 00003591  add	x0, x0, #0xd40
0xfffffff009f0c2e8: 56cdfd97  bl	#0xfffffff009e7f840
0xfffffff009f0c2ec: 9f0200f9  str	xzr, [x20]
0xfffffff009f0c2f0: 22000014  b	#0xfffffff009f0c378
0xfffffff009f0c2f4: e00314aa  mov	x0, x20
0xfffffff009f0c2f8: 11817a97  bl	#0xfffffff007dac73c
0xfffffff009f0c2fc: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff009f0c300: 09e14039  ldrb	w9, [x8, #0x38]
0xfffffff009f0c304: 69013036  tbz	w9, #6, #0xfffffff009f0c330
0xfffffff009f0c308: 08c14039  ldrb	w8, [x8, #0x30]
0xfffffff009f0c30c: 28010837  tbnz	w8, #1, #0xfffffff009f0c330
0xfffffff009f0c310: 08f58352  mov	w8, #0x1fa8
0xfffffff009f0c314: 7402088b  add	x20, x19, x8
0xfffffff009f0c318: e00314aa  mov	x0, x20
0xfffffff009f0c31c: ec7d7a97  bl	#0xfffffff007dabacc
0xfffffff009f0c320: 686e50f9  ldr	x8, [x19, #0x20d8]
0xfffffff009f0c324: 080500b4  cbz	x8, #0xfffffff009f0c3c4
0xfffffff009f0c328: e00314aa  mov	x0, x20
0xfffffff009f0c32c: 04817a97  bl	#0xfffffff007dac73c
0xfffffff009f0c330: e00313aa  mov	x0, x19
0xfffffff009f0c334: bee4fc97  bl	#0xfffffff009e4562c
0xfffffff009f0c338: e00313aa  mov	x0, x19
0xfffffff009f0c33c: 4bfdff97  bl	#0xfffffff009f0b868
0xfffffff009f0c340: 20010034  cbz	w0, #0xfffffff009f0c364
0xfffffff009f0c344: 083e8452  mov	w8, #0x21f0
0xfffffff009f0c348: 6802088b  add	x8, x19, x8
0xfffffff009f0c34c: 291f8e52  mov	w9, #0x70f9
0xfffffff009f0c350: f72700a9  stp	x23, x9, [sp]
0xfffffff009f0c354: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009f0c358: 00cafed0  adrp	x0, #0xfffffff00784e000
0xfffffff009f0c35c: 00a03891  add	x0, x0, #0xe28
