; Candidate 6159
; ADRP+ADD at VM 0xfffffff008817c54 (fileoff 0x1813c54): page=0x1fe9d2000 add_imm=0xe80

0xfffffff008817bd4: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff008817bd8: e10316aa  mov	x1, x22
0xfffffff008817bdc: 020080d2  mov	x2, #0
0xfffffff008817be0: 030080d2  mov	x3, #0
0xfffffff008817be4: 040080d2  mov	x4, #0
0xfffffff008817be8: 050080d2  mov	x5, #0
0xfffffff008817bec: c698e597  bl	#0xfffffff00817df04
0xfffffff008817bf0: e00315aa  mov	x0, x21
0xfffffff008817bf4: e10316aa  mov	x1, x22
0xfffffff008817bf8: 2f040294  bl	#0xfffffff008898cb4
0xfffffff008817bfc: 60120011  add	w0, w19, #4
0xfffffff008817c00: e10316aa  mov	x1, x22
0xfffffff008817c04: 020080d2  mov	x2, #0
0xfffffff008817c08: 030080d2  mov	x3, #0
0xfffffff008817c0c: 040080d2  mov	x4, #0
0xfffffff008817c10: 050080d2  mov	x5, #0
0xfffffff008817c14: bc98e597  bl	#0xfffffff00817df04
0xfffffff008817c18: 18000014  b	#0xfffffff008817c78
0xfffffff008817c1c: 64710294  bl	#0xfffffff0088b41ac
0xfffffff008817c20: f30300aa  mov	x19, x0
0xfffffff008817c24: 80008052  mov	w0, #4
0xfffffff008817c28: 0a8f0194  bl	#0xfffffff00887b850
0xfffffff008817c2c: 2850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff008817c30: 08450491  add	x8, x8, #0x111
0xfffffff008817c34: 89078152  mov	w9, #0x83c
0xfffffff008817c38: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff008817c3c: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817c40: 08353c91  add	x8, x8, #0xf0d
0xfffffff008817c44: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008817c48: 880e8052  mov	w8, #0x74
0xfffffff008817c4c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008817c50: f30300f9  str	x19, [sp]
0xfffffff008817c54: 804effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008817c58: 00003a91  add	x0, x0, #0xe80
0xfffffff008817c5c: 818fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008817c60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008817c64: 8351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff008817c68: 63d83291  add	x3, x3, #0xcb6
0xfffffff008817c6c: 02008052  mov	w2, #0
0xfffffff008817c70: 306dec97  bl	#0xfffffff008333130
0xfffffff008817c74: 147d8012  mov	w20, #-0x3e9
0xfffffff008817c78: 800e8052  mov	w0, #0x74
0xfffffff008817c7c: c1008052  mov	w1, #6
0xfffffff008817c80: d48e0194  bl	#0xfffffff00887b7d0
0xfffffff008817c84: c0040034  cbz	w0, #0xfffffff008817d1c
0xfffffff008817c88: 800e8052  mov	w0, #0x74
0xfffffff008817c8c: e38e0194  bl	#0xfffffff00887b818
0xfffffff008817c90: f50300aa  mov	x21, x0
0xfffffff008817c94: 46710294  bl	#0xfffffff0088b41ac
0xfffffff008817c98: f30300aa  mov	x19, x0
0xfffffff008817c9c: c0008052  mov	w0, #6
0xfffffff008817ca0: ec8e0194  bl	#0xfffffff00887b850
0xfffffff008817ca4: 75010034  cbz	w21, #0xfffffff008817cd0
0xfffffff008817ca8: ff5302a9  stp	xzr, x20, [sp, #0x20]
0xfffffff008817cac: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817cb0: 08353c91  add	x8, x8, #0xf0d
0xfffffff008817cb4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008817cb8: 880e8052  mov	w8, #0x74
0xfffffff008817cbc: f32300a9  stp	x19, x8, [sp]
0xfffffff008817cc0: e04fffd0  adrp	x0, #0xfffffff007215000
0xfffffff008817cc4: 00a81591  add	x0, x0, #0x56a
0xfffffff008817cc8: e67dd697  bl	#0xfffffff007db7460
0xfffffff008817ccc: 14000014  b	#0xfffffff008817d1c
0xfffffff008817cd0: 37710294  bl	#0xfffffff0088b41ac
