; Candidate 5836
; ADRP+ADD at VM 0xfffffff0088078e4 (fileoff 0x18038e4): page=0x1fe9e2000 add_imm=0xe80

0xfffffff008807864: b5080034  cbz	w21, #0xfffffff008807978
0xfffffff008807868: c80240b9  ldr	w8, [x22]
0xfffffff00880786c: e8ff03a9  stp	x8, xzr, [sp, #0x38]
0xfffffff008807870: 8850fff0  adrp	x8, #0xfffffff00721a000
0xfffffff008807874: 08411791  add	x8, x8, #0x5d0
0xfffffff008807878: 89408052  mov	w9, #0x204
0xfffffff00880787c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008807880: 8850fff0  adrp	x8, #0xfffffff00721a000
0xfffffff008807884: 08cd1891  add	x8, x8, #0x633
0xfffffff008807888: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880788c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008807890: 880e8052  mov	w8, #0x74
0xfffffff008807894: 8050fff0  adrp	x0, #0xfffffff00721a000
0xfffffff008807898: 00781691  add	x0, x0, #0x59e
0xfffffff00880789c: f42300a9  stp	x20, x8, [sp]
0xfffffff0088078a0: f0bed697  bl	#0xfffffff007db7460
0xfffffff0088078a4: 4d000014  b	#0xfffffff0088079d8
0xfffffff0088078a8: 41b20294  bl	#0xfffffff0088b41ac
0xfffffff0088078ac: f50300aa  mov	x21, x0
0xfffffff0088078b0: 80008052  mov	w0, #4
0xfffffff0088078b4: e7cf0194  bl	#0xfffffff00887b850
0xfffffff0088078b8: e80314aa  mov	x8, x20
0xfffffff0088078bc: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088078c0: 4850ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0088078c4: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088078c8: e93f8052  mov	w9, #0x1ff
0xfffffff0088078cc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088078d0: 8850fff0  adrp	x8, #0xfffffff00721a000
0xfffffff0088078d4: 08cd1891  add	x8, x8, #0x633
0xfffffff0088078d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088078dc: 880e8052  mov	w8, #0x74
0xfffffff0088078e0: f52300a9  stp	x21, x8, [sp]
0xfffffff0088078e4: 004fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088078e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088078ec: 0190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088078f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088078f4: e351ffd0  adrp	x3, #0xfffffff007245000
0xfffffff0088078f8: 637c1491  add	x3, x3, #0x51f
0xfffffff0088078fc: 02008052  mov	w2, #0
0xfffffff008807900: 0caeec97  bl	#0xfffffff008333130
0xfffffff008807904: 36000014  b	#0xfffffff0088079dc
0xfffffff008807908: f40300aa  mov	x20, x0
0xfffffff00880790c: 800e8052  mov	w0, #0x74
0xfffffff008807910: 81008052  mov	w1, #4
0xfffffff008807914: afcf0194  bl	#0xfffffff00887b7d0
0xfffffff008807918: 20060034  cbz	w0, #0xfffffff0088079dc
0xfffffff00880791c: 17070091  add	x23, x24, #1
0xfffffff008807920: 800e8052  mov	w0, #0x74
0xfffffff008807924: bdcf0194  bl	#0xfffffff00887b818
0xfffffff008807928: f60300aa  mov	x22, x0
0xfffffff00880792c: 20b20294  bl	#0xfffffff0088b41ac
0xfffffff008807930: f50300aa  mov	x21, x0
0xfffffff008807934: 80008052  mov	w0, #4
0xfffffff008807938: c6cf0194  bl	#0xfffffff00887b850
0xfffffff00880793c: 16060034  cbz	w22, #0xfffffff0088079fc
0xfffffff008807940: e80314aa  mov	x8, x20
0xfffffff008807944: f7a303a9  stp	x23, x8, [sp, #0x38]
0xfffffff008807948: 4850ffb0  adrp	x8, #0xfffffff007210000
0xfffffff00880794c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008807950: 49418052  mov	w9, #0x20a
0xfffffff008807954: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008807958: 8850fff0  adrp	x8, #0xfffffff00721a000
0xfffffff00880795c: 08cd1891  add	x8, x8, #0x633
0xfffffff008807960: e8a701a9  stp	x8, x9, [sp, #0x18]
