; Candidate 3651
; ADRP+ADD at VM 0xfffffff00874af90 (fileoff 0x1746f90): page=0x1fe9e7000 add_imm=0xd90

0xfffffff00874af10: 63103d91  add	x3, x3, #0xf44
0xfffffff00874af14: 87a0ef97  bl	#0xfffffff008333130
0xfffffff00874af18: 26000014  b	#0xfffffff00874afb0
0xfffffff00874af1c: 287b74b8  ldr	w8, [x25, x20, lsl #2]
0xfffffff00874af20: c802080b  add	w8, w22, w8
0xfffffff00874af24: 08050011  add	w8, w8, #1
0xfffffff00874af28: 1f011c6b  cmp	w8, w28
0xfffffff00874af2c: e9339c1a  csel	w9, wzr, w28, lo
0xfffffff00874af30: 1601094b  sub	w22, w8, w9
0xfffffff00874af34: a80a40b9  ldr	w8, [x21, #8]
0xfffffff00874af38: df02086b  cmp	w22, w8
0xfffffff00874af3c: 88c39f1a  csel	w8, w28, wzr, gt
0xfffffff00874af40: cb02084b  sub	w11, w22, w8
0xfffffff00874af44: 4a430031  adds	w10, w26, #0x10
0xfffffff00874af48: c0010054  b.eq	#0xfffffff00874af80
0xfffffff00874af4c: 090080d2  mov	x9, #0
0xfffffff00874af50: e8031baa  mov	x8, x27
0xfffffff00874af54: 0c014039  ldrb	w12, [x8]
0xfffffff00874af58: cc000034  cbz	w12, #0xfffffff00874af70
0xfffffff00874af5c: 0c1140b9  ldr	w12, [x8, #0x10]
0xfffffff00874af60: 0d054039  ldrb	w13, [x8, #1]
0xfffffff00874af64: bf010071  cmp	w13, #0
0xfffffff00874af68: 80014b7a  ccmp	w12, w11, #0, eq
0xfffffff00874af6c: a0020054  b.eq	#0xfffffff00874afc0
0xfffffff00874af70: 29050091  add	x9, x9, #1
0xfffffff00874af74: 08010391  add	x8, x8, #0xc0
0xfffffff00874af78: 5f0109eb  cmp	x10, x9
0xfffffff00874af7c: c1feff54  b.ne	#0xfffffff00874af54
0xfffffff00874af80: f75301a9  stp	x23, x20, [sp, #0x10]
0xfffffff00874af84: 6850ffd0  adrp	x8, #0xfffffff007158000
0xfffffff00874af88: 08b90d91  add	x8, x8, #0x36e
0xfffffff00874af8c: e82f00a9  stp	x8, x11, [sp]
0xfffffff00874af90: 204ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00874af94: 00403691  add	x0, x0, #0xd90
0xfffffff00874af98: 8195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874af9c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874afa0: 02008052  mov	w2, #0
0xfffffff00874afa4: a34fffb0  adrp	x3, #0xfffffff00713f000
0xfffffff00874afa8: 63243c91  add	x3, x3, #0xf09
0xfffffff00874afac: 61a0ef97  bl	#0xfffffff008333130
0xfffffff00874afb0: 88060011  add	w8, w20, #1
0xfffffff00874afb4: 1f450071  cmp	w8, #0x11
0xfffffff00874afb8: e1f5ff54  b.ne	#0xfffffff00874ae74
0xfffffff00874afbc: 8c000014  b	#0xfffffff00874b1ec
0xfffffff00874afc0: 09feff37  tbnz	w9, #0x1f, #0xfffffff00874af80
0xfffffff00874afc4: 9f02096b  cmp	w20, w9
0xfffffff00874afc8: 82090054  b.hs	#0xfffffff00874b0f8
0xfffffff00874afcc: 000544ad  ldp	q0, q1, [x8, #0x80]
0xfffffff00874afd0: e00706ad  stp	q0, q1, [sp, #0xc0]
0xfffffff00874afd4: 000545ad  ldp	q0, q1, [x8, #0xa0]
0xfffffff00874afd8: e00707ad  stp	q0, q1, [sp, #0xe0]
0xfffffff00874afdc: 000542ad  ldp	q0, q1, [x8, #0x40]
0xfffffff00874afe0: e00704ad  stp	q0, q1, [sp, #0x80]
0xfffffff00874afe4: 000543ad  ldp	q0, q1, [x8, #0x60]
0xfffffff00874afe8: e00705ad  stp	q0, q1, [sp, #0xa0]
0xfffffff00874afec: 000540ad  ldp	q0, q1, [x8]
0xfffffff00874aff0: e00702ad  stp	q0, q1, [sp, #0x40]
0xfffffff00874aff4: 000541ad  ldp	q0, q1, [x8, #0x20]
0xfffffff00874aff8: e00703ad  stp	q0, q1, [sp, #0x60]
0xfffffff00874affc: 290500d1  sub	x9, x9, #1
0xfffffff00874b000: 00057ead  ldp	q0, q1, [x8, #-0x40]
0xfffffff00874b004: 000504ad  stp	q0, q1, [x8, #0x80]
0xfffffff00874b008: 00057fad  ldp	q0, q1, [x8, #-0x20]
0xfffffff00874b00c: 000505ad  stp	q0, q1, [x8, #0xa0]
