; Candidate 3004
; ADRP+ADD at VM 0xfffffff008703860 (fileoff 0x16ff860): page=0x1fea2e000 add_imm=0xd90

0xfffffff0087037e0: 1f090072  tst	w8, #7
0xfffffff0087037e4: 00010054  b.eq	#0xfffffff008703804
0xfffffff0087037e8: 16008052  mov	w22, #0
0xfffffff0087037ec: 081d0011  add	w8, w8, #7
0xfffffff0087037f0: 08711d12  and	w8, w8, #0xfffffff8
0xfffffff0087037f4: e80200b9  str	w8, [x23]
0xfffffff0087037f8: 04000014  b	#0xfffffff008703808
0xfffffff0087037fc: 16090012  and	w22, w8, #7
0xfffffff008703800: 02000014  b	#0xfffffff008703808
0xfffffff008703804: 16008052  mov	w22, #0
0xfffffff008703808: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff00870380c: 08b0a552  mov	w8, #0x2d800000
0xfffffff008703810: c80a1133  bfi	w8, w22, #0xf, #3
0xfffffff008703814: 689e03b9  str	w8, [x19, #0x39c]
0xfffffff008703818: 750c40f9  ldr	x21, [x3, #0x18]
0xfffffff00870381c: b4b24bb9  ldr	w20, [x21, #0xbb0]
0xfffffff008703820: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff008703824: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff008703828: a26301d1  sub	x2, x29, #0x58
0xfffffff00870382c: e3830191  add	x3, sp, #0x60
0xfffffff008703830: e00315aa  mov	x0, x21
0xfffffff008703834: b0ca0294  bl	#0xfffffff0087b62f4
0xfffffff008703838: e0050034  cbz	w0, #0xfffffff0087038f4
0xfffffff00870383c: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008703840: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff008703844: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff008703848: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff00870384c: c90100b4  cbz	x9, #0xfffffff008703884
0xfffffff008703850: c8d68052  mov	w8, #0x6b6
0xfffffff008703854: 8952ff90  adrp	x9, #0xfffffff007153000
0xfffffff008703858: 29593f91  add	x9, x9, #0xfd6
0xfffffff00870385c: e92300a9  stp	x9, x8, [sp]
0xfffffff008703860: 6051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008703864: 00403691  add	x0, x0, #0xd90
0xfffffff008703868: c197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870386c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008703870: 8351fff0  adrp	x3, #0xfffffff007136000
0xfffffff008703874: 63042d91  add	x3, x3, #0xb41
0xfffffff008703878: 02008052  mov	w2, #0
0xfffffff00870387c: 2dbef097  bl	#0xfffffff008333130
0xfffffff008703880: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff008703884: 094328ab  adds	x9, x24, w8, uxtw
0xfffffff008703888: 62030054  b.hs	#0xfffffff0087038f4
0xfffffff00870388c: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008703890: 6a9e43b9  ldr	w10, [x19, #0x39c]
0xfffffff008703894: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff008703898: 49551633  bfi	w9, w10, #0xa, #0x16
0xfffffff00870389c: 699e03b9  str	w9, [x19, #0x39c]
0xfffffff0087038a0: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff0087038a4: 380940f9  ldr	x24, [x9, #0x10]
0xfffffff0087038a8: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0087038ac: 690000b5  cbnz	x9, #0xfffffff0087038b8
0xfffffff0087038b0: 087d4092  and	x8, x8, #0xffffffff
0xfffffff0087038b4: 0e000014  b	#0xfffffff0087038ec
0xfffffff0087038b8: e8d68052  mov	w8, #0x6b7
0xfffffff0087038bc: 8952ff90  adrp	x9, #0xfffffff007153000
0xfffffff0087038c0: 29593f91  add	x9, x9, #0xfd6
0xfffffff0087038c4: e92300a9  stp	x9, x8, [sp]
0xfffffff0087038c8: 6051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087038cc: 00403691  add	x0, x0, #0xd90
0xfffffff0087038d0: c197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087038d4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087038d8: 8351fff0  adrp	x3, #0xfffffff007136000
0xfffffff0087038dc: 63d42d91  add	x3, x3, #0xb75
