; Candidate 5625
; ADRP+ADD at VM 0xfffffff0087fd6b4 (fileoff 0x17f96b4): page=0x1fe9ec000 add_imm=0xe80

0xfffffff0087fd634: f70300aa  mov	x23, x0
0xfffffff0087fd638: e00314aa  mov	x0, x20
0xfffffff0087fd63c: 85f80194  bl	#0xfffffff00887b850
0xfffffff0087fd640: 88175a2a  orr	w8, w28, w26, lsr #5
0xfffffff0087fd644: bc50ffd0  adrp	x28, #0xfffffff007213000
0xfffffff0087fd648: 9ce32891  add	x28, x28, #0xa38
0xfffffff0087fd64c: 28090037  tbnz	w8, #0, #0xfffffff0087fd770
0xfffffff0087fd650: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff0087fd654: 28254029  ldp	w8, w9, [x9]
0xfffffff0087fd658: 2a6740b9  ldr	w10, [x25, #0x64]
0xfffffff0087fd65c: 5f910071  cmp	w10, #0x24
0xfffffff0087fd660: 2c100054  b.gt	#0xfffffff0087fd864
0xfffffff0087fd664: 6a1b0034  cbz	w10, #0xfffffff0087fd9d0
0xfffffff0087fd668: 5f510071  cmp	w10, #0x14
0xfffffff0087fd66c: f10317aa  mov	x17, x23
0xfffffff0087fd670: 411c0054  b.ne	#0xfffffff0087fd9f8
0xfffffff0087fd674: ca50ffd0  adrp	x10, #0xfffffff007217000
0xfffffff0087fd678: 4a312791  add	x10, x10, #0x9cc
0xfffffff0087fd67c: e6000014  b	#0xfffffff0087fda14
0xfffffff0087fd680: cbda0294  bl	#0xfffffff0088b41ac
0xfffffff0087fd684: f30300aa  mov	x19, x0
0xfffffff0087fd688: 80008052  mov	w0, #4
0xfffffff0087fd68c: 71f80194  bl	#0xfffffff00887b850
0xfffffff0087fd690: c850ffd0  adrp	x8, #0xfffffff007217000
0xfffffff0087fd694: 08012191  add	x8, x8, #0x840
0xfffffff0087fd698: 690b8052  mov	w9, #0x5b
0xfffffff0087fd69c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087fd6a0: c850ffd0  adrp	x8, #0xfffffff007217000
0xfffffff0087fd6a4: 088d2091  add	x8, x8, #0x823
0xfffffff0087fd6a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087fd6ac: 880e8052  mov	w8, #0x74
0xfffffff0087fd6b0: f32300a9  stp	x19, x8, [sp]
0xfffffff0087fd6b4: 604fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fd6b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fd6bc: 4190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fd6c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fd6c4: 2352ffb0  adrp	x3, #0xfffffff007242000
0xfffffff0087fd6c8: 63840291  add	x3, x3, #0xa1
0xfffffff0087fd6cc: 02008052  mov	w2, #0
0xfffffff0087fd6d0: 98d6ec97  bl	#0xfffffff008333130
0xfffffff0087fd6d4: 5c090014  b	#0xfffffff0087ffc44
0xfffffff0087fd6d8: a0060034  cbz	w0, #0xfffffff0087fd7ac
0xfffffff0087fd6dc: e803154b  neg	w8, w21
0xfffffff0087fd6e0: 68062837  tbnz	w8, #5, #0xfffffff0087fd7ac
0xfffffff0087fd6e4: 88274029  ldp	w8, w9, [x28]
0xfffffff0087fd6e8: 0a3783b9  ldrsw	x10, [x24, #0x334]
0xfffffff0087fd6ec: 5f190071  cmp	w10, #6
0xfffffff0087fd6f0: c2230054  b.hs	#0xfffffff0087fdb68
0xfffffff0087fd6f4: 6b90ff90  adrp	x11, #0xfffffff007a09000
0xfffffff0087fd6f8: 6be13291  add	x11, x11, #0xcb8
0xfffffff0087fd6fc: 6a796af8  ldr	x10, [x11, x10, lsl #3]
0xfffffff0087fd700: 20010014  b	#0xfffffff0087fdb80
0xfffffff0087fd704: 60060034  cbz	w0, #0xfffffff0087fd7d0
0xfffffff0087fd708: e803154b  neg	w8, w21
0xfffffff0087fd70c: 28062837  tbnz	w8, #5, #0xfffffff0087fd7d0
0xfffffff0087fd710: 88274029  ldp	w8, w9, [x28]
0xfffffff0087fd714: 2a6740b9  ldr	w10, [x25, #0x64]
0xfffffff0087fd718: 5f910071  cmp	w10, #0x24
0xfffffff0087fd71c: 4c240054  b.gt	#0xfffffff0087fdba4
0xfffffff0087fd720: 8a250034  cbz	w10, #0xfffffff0087fdbd0
0xfffffff0087fd724: 5f510071  cmp	w10, #0x14
0xfffffff0087fd728: 01260054  b.ne	#0xfffffff0087fdbe8
0xfffffff0087fd72c: ca50ffd0  adrp	x10, #0xfffffff007217000
0xfffffff0087fd730: 4a312791  add	x10, x10, #0x9cc
