; Candidate 9327
; ADRP+ADD at VM 0xfffffff008a266e4 (fileoff 0x1a226e4): page=0x1fe876000 add_imm=0xe2f

0xfffffff008a26664: 784a8052  mov	w24, #0x253
0xfffffff008a26668: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008a2666c: bb43ffb0  adrp	x27, #0xfffffff00729b000
0xfffffff008a26670: 7be30291  add	x27, x27, #0xb8
0xfffffff008a26674: e06f00a9  stp	x0, x27, [sp]
0xfffffff008a26678: 8043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a2667c: 00003991  add	x0, x0, #0xe40
0xfffffff008a26680: 2181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a26684: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a26688: c343ffd0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a2668c: 63b01191  add	x3, x3, #0x46c
0xfffffff008a26690: 02028052  mov	w2, #0x10
0xfffffff008a26694: a732e497  bl	#0xfffffff008333130
0xfffffff008a26698: 900240f9  ldr	x16, [x20]
0xfffffff008a2669c: f10314aa  mov	x17, x20
0xfffffff008a266a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a266a4: 301ac1da  autda	x16, x17
0xfffffff008a266a8: f10310aa  mov	x17, x16
0xfffffff008a266ac: f147c1da  xpacd	x17
0xfffffff008a266b0: 1f0211eb  cmp	x16, x17
0xfffffff008a266b4: 40000054  b.eq	#0xfffffff008a266bc
0xfffffff008a266b8: 408e38d4  brk	#0xc472
0xfffffff008a266bc: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a266c0: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a266c4: e00314aa  mov	x0, x20
0xfffffff008a266c8: 010080d2  mov	x1, #0
0xfffffff008a266cc: f10308aa  mov	x17, x8
0xfffffff008a266d0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a266d4: 31093fd7  blraa	x9, x17
0xfffffff008a266d8: f35b02a9  stp	x19, x22, [sp, #0x20]
0xfffffff008a266dc: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008a266e0: e06f00a9  stp	x0, x27, [sp]
0xfffffff008a266e4: a043ffd0  adrp	x0, #0xfffffff00729c000
0xfffffff008a266e8: 00bc3891  add	x0, x0, #0xe2f
0xfffffff008a266ec: 4dc2e497  bl	#0xfffffff008357020
0xfffffff008a266f0: 480340b9  ldr	w8, [x26]
0xfffffff008a266f4: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008a266f8: 20010054  b.eq	#0xfffffff008a2671c
0xfffffff008a266fc: e80316aa  mov	x8, x22
0xfffffff008a26700: 047d4093  sxtw	x4, w8
0xfffffff008a26704: 20070011  add	w0, w25, #1
0xfffffff008a26708: e10314aa  mov	x1, x20
0xfffffff008a2670c: e20315aa  mov	x2, x21
0xfffffff008a26710: e30313aa  mov	x3, x19
0xfffffff008a26714: 050080d2  mov	x5, #0
0xfffffff008a26718: fb5ddd97  bl	#0xfffffff00817df04
0xfffffff008a2671c: e00316aa  mov	x0, x22
0xfffffff008a26720: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008a26724: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008a26728: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008a2672c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008a26730: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008a26734: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008a26738: ff430291  add	sp, sp, #0x90
0xfffffff008a2673c: ff0f5fd6  retab	
0xfffffff008a26740: 900240f9  ldr	x16, [x20]
0xfffffff008a26744: f10314aa  mov	x17, x20
0xfffffff008a26748: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2674c: 301ac1da  autda	x16, x17
0xfffffff008a26750: 113d80d2  mov	x17, #0x1e8
0xfffffff008a26754: 1002118b  add	x16, x16, x17
0xfffffff008a26758: 080240f9  ldr	x8, [x16]
0xfffffff008a2675c: e90310aa  mov	x9, x16
0xfffffff008a26760: e00314aa  mov	x0, x20
