; Candidate 7307
; ADRP+ADD at VM 0xfffffff008866380 (fileoff 0x1862380): page=0x1fe983000 add_imm=0xe80

0xfffffff008866300: 29813091  add	x9, x9, #0xc20
0xfffffff008866304: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008866308: 084effb0  adrp	x8, #0xfffffff007227000
0xfffffff00886630c: 08811191  add	x8, x8, #0x460
0xfffffff008866310: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008866314: 680c8052  mov	w8, #0x63
0xfffffff008866318: 834fffb0  adrp	x3, #0xfffffff007257000
0xfffffff00886631c: 637c0391  add	x3, x3, #0xdf
0xfffffff008866320: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008866324: f40300f9  str	x20, [sp]
0xfffffff008866328: 004cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886632c: 00003a91  add	x0, x0, #0xe80
0xfffffff008866330: 018dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008866334: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008866338: 02008052  mov	w2, #0
0xfffffff00886633c: 7d33eb97  bl	#0xfffffff008333130
0xfffffff008866340: f47c8012  mov	w20, #-0x3e8
0xfffffff008866344: befaff17  b	#0xfffffff008864e3c
0xfffffff008866348: 99370194  bl	#0xfffffff0088b41ac
0xfffffff00886634c: f40300aa  mov	x20, x0
0xfffffff008866350: 80008052  mov	w0, #4
0xfffffff008866354: 3f550094  bl	#0xfffffff00887b850
0xfffffff008866358: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886635c: e87304a9  stp	x8, x28, [sp, #0x40]
0xfffffff008866360: 084efff0  adrp	x8, #0xfffffff007229000
0xfffffff008866364: 082d1d91  add	x8, x8, #0x74b
0xfffffff008866368: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00886636c: e8808052  mov	w8, #0x407
0xfffffff008866370: fb2302a9  stp	x27, x8, [sp, #0x20]
0xfffffff008866374: e06b01a9  stp	x0, x26, [sp, #0x10]
0xfffffff008866378: 680c8052  mov	w8, #0x63
0xfffffff00886637c: f42300a9  stp	x20, x8, [sp]
0xfffffff008866380: 004cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008866384: 00003a91  add	x0, x0, #0xe80
0xfffffff008866388: 018dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00886638c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008866390: 834fffb0  adrp	x3, #0xfffffff007257000
0xfffffff008866394: 63a00591  add	x3, x3, #0x168
0xfffffff008866398: 02008052  mov	w2, #0
0xfffffff00886639c: 6533eb97  bl	#0xfffffff008333130
0xfffffff0088663a0: 147e8012  mov	w20, #-0x3f1
0xfffffff0088663a4: a6faff17  b	#0xfffffff008864e3c
0xfffffff0088663a8: 7f2303d5  pacibsp	
0xfffffff0088663ac: ff0303d1  sub	sp, sp, #0xc0
0xfffffff0088663b0: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff0088663b4: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff0088663b8: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff0088663bc: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff0088663c0: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff0088663c4: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff0088663c8: fdc30291  add	x29, sp, #0xb0
0xfffffff0088663cc: f30300aa  mov	x19, x0
0xfffffff0088663d0: bfc31ab8  stur	wzr, [x29, #-0x54]
0xfffffff0088663d4: 600c8052  mov	w0, #0x63
0xfffffff0088663d8: c1008052  mov	w1, #6
0xfffffff0088663dc: fd540094  bl	#0xfffffff00887b7d0
0xfffffff0088663e0: a0050034  cbz	w0, #0xfffffff008866494
0xfffffff0088663e4: 600c8052  mov	w0, #0x63
0xfffffff0088663e8: 0c550094  bl	#0xfffffff00887b818
0xfffffff0088663ec: f50300aa  mov	x21, x0
0xfffffff0088663f0: 6f370194  bl	#0xfffffff0088b41ac
0xfffffff0088663f4: f40300aa  mov	x20, x0
0xfffffff0088663f8: c0008052  mov	w0, #6
0xfffffff0088663fc: 15550094  bl	#0xfffffff00887b850
