; Candidate 15455
; ADRP+ADD at VM 0xfffffff009bb8464 (fileoff 0x2bb4464): page=0x1fda85000 add_imm=0xe56

0xfffffff009bb83e4: ff0e0071  cmp	w23, #3
0xfffffff009bb83e8: 08e4ff54  b.hi	#0xfffffff009bb8068
0xfffffff009bb83ec: f003172a  mov	w16, w23
0xfffffff009bb83f0: 1f0e00f1  cmp	x16, #3
0xfffffff009bb83f4: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff009bb83f8: 11000090  adrp	x17, #0xfffffff009bb8000
0xfffffff009bb83fc: 31c22791  add	x17, x17, #0x9f0
0xfffffff009bb8400: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff009bb8404: 11000010  adr	x17, #0xfffffff009bb8404
0xfffffff009bb8408: 3002108b  add	x16, x17, x16
0xfffffff009bb840c: 00021fd6  br	x16
0xfffffff009bb8410: 9f2403d5  bti	j
0xfffffff009bb8414: a80a4079  ldrh	w8, [x21, #4]
0xfffffff009bb8418: 08140034  cbz	w8, #0xfffffff009bb8698
0xfffffff009bb841c: 094000d0  adrp	x9, #0xfffffff00a3ba000
0xfffffff009bb8420: 29e11c91  add	x9, x9, #0x738
0xfffffff009bb8424: 290140b9  ldr	w9, [x9]
0xfffffff009bb8428: 69130036  tbz	w9, #0, #0xfffffff009bb8694
0xfffffff009bb842c: e91700f9  str	x9, [sp, #0x28]
0xfffffff009bb8430: 8910f036  tbz	w9, #0x1e, #0xfffffff009bb8640
0xfffffff009bb8434: 9a568c97  bl	#0xfffffff007ecde9c
0xfffffff009bb8438: 1f040071  cmp	w0, #1
0xfffffff009bb843c: 01100054  b.ne	#0xfffffff009bb863c
0xfffffff009bb8440: 680a4039  ldrb	w8, [x19, #2]
0xfffffff009bb8444: 08711912  and	w8, w8, #0xffffff8f
0xfffffff009bb8448: a90a4079  ldrh	w9, [x21, #4]
0xfffffff009bb844c: 2ad4feb0  adrp	x10, #0xfffffff00763d000
0xfffffff009bb8450: 4a553091  add	x10, x10, #0xc15
0xfffffff009bb8454: 2bd4feb0  adrp	x11, #0xfffffff00763d000
0xfffffff009bb8458: 6bdd2491  add	x11, x11, #0x937
0xfffffff009bb845c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009bb8460: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009bb8464: 20d4feb0  adrp	x0, #0xfffffff00763d000
0xfffffff009bb8468: 00583991  add	x0, x0, #0xe56
0xfffffff009bb846c: ed7a9e97  bl	#0xfffffff008357020
0xfffffff009bb8470: 89000014  b	#0xfffffff009bb8694
0xfffffff009bb8474: 9f2403d5  bti	j
0xfffffff009bb8478: a80e4039  ldrb	w8, [x21, #3]
0xfffffff009bb847c: 1f111e72  tst	w8, #0x7c
0xfffffff009bb8480: e01f0054  b.eq	#0xfffffff009bb887c
0xfffffff009bb8484: 094000d0  adrp	x9, #0xfffffff00a3ba000
0xfffffff009bb8488: 29e11c91  add	x9, x9, #0x738
0xfffffff009bb848c: 290140b9  ldr	w9, [x9]
0xfffffff009bb8490: e90c0036  tbz	w9, #0, #0xfffffff009bb862c
0xfffffff009bb8494: e91700f9  str	x9, [sp, #0x28]
0xfffffff009bb8498: 290af036  tbz	w9, #0x1e, #0xfffffff009bb85dc
0xfffffff009bb849c: 80568c97  bl	#0xfffffff007ecde9c
0xfffffff009bb84a0: 1f040071  cmp	w0, #1
0xfffffff009bb84a4: a1090054  b.ne	#0xfffffff009bb85d8
0xfffffff009bb84a8: 680a4039  ldrb	w8, [x19, #2]
0xfffffff009bb84ac: 08711912  and	w8, w8, #0xffffff8f
0xfffffff009bb84b0: a90e4039  ldrb	w9, [x21, #3]
0xfffffff009bb84b4: 2ad4feb0  adrp	x10, #0xfffffff00763d000
0xfffffff009bb84b8: 4a553091  add	x10, x10, #0xc15
0xfffffff009bb84bc: 2bd4feb0  adrp	x11, #0xfffffff00763d000
0xfffffff009bb84c0: 6bdd2491  add	x11, x11, #0x937
0xfffffff009bb84c4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009bb84c8: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009bb84cc: 20d4feb0  adrp	x0, #0xfffffff00763d000
0xfffffff009bb84d0: 00103891  add	x0, x0, #0xe04
0xfffffff009bb84d4: d37a9e97  bl	#0xfffffff008357020
0xfffffff009bb84d8: 55000014  b	#0xfffffff009bb862c
0xfffffff009bb84dc: 9f2403d5  bti	j
0xfffffff009bb84e0: a80e4039  ldrb	w8, [x21, #3]
