; Candidate 40
; ADRP+ADD at VM 0xfffffff007d99734 (fileoff 0xd95734): page=0x2422000 add_imm=0xd48

0xfffffff007d996b4: 7f9202b9  str	wzr, [x19, #0x290]
0xfffffff007d996b8: 7f4601f9  str	xzr, [x19, #0x288]
0xfffffff007d996bc: 7f5201f9  str	xzr, [x19, #0x2a0]
0xfffffff007d996c0: 7f4e01f9  str	xzr, [x19, #0x298]
0xfffffff007d996c4: 7fb202b9  str	wzr, [x19, #0x2b0]
0xfffffff007d996c8: 7f5601f9  str	xzr, [x19, #0x2a8]
0xfffffff007d996cc: 7f6201f9  str	xzr, [x19, #0x2c0]
0xfffffff007d996d0: 7f5e01f9  str	xzr, [x19, #0x2b8]
0xfffffff007d996d4: 7fd202b9  str	wzr, [x19, #0x2d0]
0xfffffff007d996d8: 7f6601f9  str	xzr, [x19, #0x2c8]
0xfffffff007d996dc: 932101f0  adrp	x19, #0xfffffff00a1cc000
0xfffffff007d996e0: 73020c91  add	x19, x19, #0x300
0xfffffff007d996e4: e00313aa  mov	x0, x19
0xfffffff007d996e8: c1008052  mov	w1, #6
0xfffffff007d996ec: 02008052  mov	w2, #0
0xfffffff007d996f0: 98070094  bl	#0xfffffff007d9b550
0xfffffff007d996f4: 604604f9  str	x0, [x19, #0x888]
0xfffffff007d996f8: e00313aa  mov	x0, x19
0xfffffff007d996fc: e1008052  mov	w1, #7
0xfffffff007d99700: 02008052  mov	w2, #0
0xfffffff007d99704: 93070094  bl	#0xfffffff007d9b550
0xfffffff007d99708: 604a04f9  str	x0, [x19, #0x890]
0xfffffff007d9970c: 732101b0  adrp	x19, #0xfffffff00a1c6000
0xfffffff007d99710: 73a20791  add	x19, x19, #0x1e8
0xfffffff007d99714: e00313aa  mov	x0, x19
0xfffffff007d99718: a1008052  mov	w1, #5
0xfffffff007d9971c: 02008052  mov	w2, #0
0xfffffff007d99720: 8c070094  bl	#0xfffffff007d9b550
0xfffffff007d99724: 60d602f9  str	x0, [x19, #0x5a8]
0xfffffff007d99728: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff007d9972c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff007d99730: ff0f5fd6  retab	
0xfffffff007d99734: 002101d0  adrp	x0, #0xfffffff00a1bb000
0xfffffff007d99738: 00203591  add	x0, x0, #0xd48
0xfffffff007d9973c: b41a1c94  bl	#0xfffffff0084a020c
0xfffffff007d99740: 7f2303d5  pacibsp	
0xfffffff007d99744: ff0301d1  sub	sp, sp, #0x40
0xfffffff007d99748: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff007d9974c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007d99750: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007d99754: fdc30091  add	x29, sp, #0x30
0xfffffff007d99758: 95d038d5  mrs	x21, tpidr_el1
0xfffffff007d9975c: e00315aa  mov	x0, x21
0xfffffff007d99760: 80d00194  bl	#0xfffffff007e0d960
0xfffffff007d99764: f40300aa  mov	x20, x0
0xfffffff007d99768: 080080d2  mov	x8, #0
0xfffffff007d9976c: 16e00291  add	x22, x0, #0xb8
0xfffffff007d99770: a91a44b9  ldr	w9, [x21, #0x418]
0xfffffff007d99774: 0a000391  add	x10, x0, #0xc0
0xfffffff007d99778: 497de8c8  casa	x8, x9, [x10]
0xfffffff007d9977c: 1f0100f1  cmp	x8, #0
0xfffffff007d99780: c1010054  b.ne	#0xfffffff007d997b8
0xfffffff007d99784: 905e41f9  ldr	x16, [x20, #0x2b8]
0xfffffff007d99788: 500200b4  cbz	x16, #0xfffffff007d997d0
0xfffffff007d9978c: 88e20a91  add	x8, x20, #0x2b8
0xfffffff007d99790: f10308aa  mov	x17, x8
0xfffffff007d99794: 316af7f2  movk	x17, #0xbb51, lsl #48
0xfffffff007d99798: 301ac1da  autda	x16, x17
0xfffffff007d9979c: f10310aa  mov	x17, x16
0xfffffff007d997a0: f147c1da  xpacd	x17
0xfffffff007d997a4: 1f0211eb  cmp	x16, x17
0xfffffff007d997a8: 40000054  b.eq	#0xfffffff007d997b0
0xfffffff007d997ac: 408e38d4  brk	#0xc472
0xfffffff007d997b0: e00310aa  mov	x0, x16
