; Candidate 2386
; ADRP+ADD at VM 0xfffffff008643c74 (fileoff 0x163fc74): page=0x1feaca000 add_imm=0xe75

0xfffffff008643bf4: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff008643bf8: 100040f9  ldr	x16, [x0]
0xfffffff008643bfc: f10300aa  mov	x17, x0
0xfffffff008643c00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008643c04: 301ac1da  autda	x16, x17
0xfffffff008643c08: 113d80d2  mov	x17, #0x1e8
0xfffffff008643c0c: 1002118b  add	x16, x16, x17
0xfffffff008643c10: 080240f9  ldr	x8, [x16]
0xfffffff008643c14: e90310aa  mov	x9, x16
0xfffffff008643c18: 010080d2  mov	x1, #0
0xfffffff008643c1c: f10309aa  mov	x17, x9
0xfffffff008643c20: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008643c24: 11093fd7  blraa	x8, x17
0xfffffff008643c28: f51300f9  str	x21, [sp, #0x20]
0xfffffff008643c2c: 885d8052  mov	w8, #0x2ec
0xfffffff008643c30: 6956ffb0  adrp	x9, #0xfffffff007110000
0xfffffff008643c34: 29f12391  add	x9, x9, #0x8fc
0xfffffff008643c38: 4a56ffd0  adrp	x10, #0xfffffff00710d000
0xfffffff008643c3c: 4a653a91  add	x10, x10, #0xe99
0xfffffff008643c40: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008643c44: ea0300a9  stp	x10, x0, [sp]
0xfffffff008643c48: 2056ffb0  adrp	x0, #0xfffffff007108000
0xfffffff008643c4c: 00380f91  add	x0, x0, #0x3ce
0xfffffff008643c50: 1df2ff97  bl	#0xfffffff0086404c4
0xfffffff008643c54: 0e000014  b	#0xfffffff008643c8c
0xfffffff008643c58: e80313aa  mov	x8, x19
0xfffffff008643c5c: 6956ffb0  adrp	x9, #0xfffffff007110000
0xfffffff008643c60: 29f12391  add	x9, x9, #0x8fc
0xfffffff008643c64: 8a56ffb0  adrp	x10, #0xfffffff007114000
0xfffffff008643c68: 4a012191  add	x10, x10, #0x840
0xfffffff008643c6c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008643c70: ea0300f9  str	x10, [sp]
0xfffffff008643c74: 4056ffd0  adrp	x0, #0xfffffff00710d000
0xfffffff008643c78: 00d43991  add	x0, x0, #0xe75
0xfffffff008643c7c: 12f2ff97  bl	#0xfffffff0086404c4
0xfffffff008643c80: c8578052  mov	w8, #0x2be
0xfffffff008643c84: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008643c88: 15110011  add	w21, w8, #4
0xfffffff008643c8c: 880240f9  ldr	x8, [x20]
0xfffffff008643c90: e8d701a9  stp	x8, x21, [sp, #0x18]
0xfffffff008643c94: 6956ffb0  adrp	x9, #0xfffffff007110000
0xfffffff008643c98: 29f12391  add	x9, x9, #0x8fc
0xfffffff008643c9c: 8a56ffb0  adrp	x10, #0xfffffff007114000
0xfffffff008643ca0: 4a012191  add	x10, x10, #0x840
0xfffffff008643ca4: e9cf00a9  stp	x9, x19, [sp, #8]
0xfffffff008643ca8: ea0300f9  str	x10, [sp]
0xfffffff008643cac: 4056ffb0  adrp	x0, #0xfffffff00710c000
0xfffffff008643cb0: 00d82291  add	x0, x0, #0x8b6
0xfffffff008643cb4: 04f2ff97  bl	#0xfffffff0086404c4
0xfffffff008643cb8: e00315aa  mov	x0, x21
0xfffffff008643cbc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008643cc0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008643cc4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008643cc8: ff830191  add	sp, sp, #0x60
0xfffffff008643ccc: ff0f5fd6  retab	
0xfffffff008643cd0: 5f2403d5  bti	c
0xfffffff008643cd4: 09f44239  ldrb	w9, [x0, #0xbd]
0xfffffff008643cd8: c9000034  cbz	w9, #0xfffffff008643cf0
0xfffffff008643cdc: e80300aa  mov	x8, x0
0xfffffff008643ce0: 00008052  mov	w0, #0
0xfffffff008643ce4: 08b140b9  ldr	w8, [x8, #0xb0]
0xfffffff008643ce8: 280000b9  str	w8, [x1]
0xfffffff008643cec: c0035fd6  ret	
0xfffffff008643cf0: e0588052  mov	w0, #0x2c7
