; Candidate 16126
; ADRP+ADD at VM 0xfffffff009e23288 (fileoff 0x2e1f288): page=0x1fd880000 add_imm=0xe00

0xfffffff009e23208: f50301aa  mov	x21, x1
0xfffffff009e2320c: f30300aa  mov	x19, x0
0xfffffff009e23210: e02c0090  adrp	x0, #0xfffffff00a3bf000
0xfffffff009e23214: 00401991  add	x0, x0, #0x650
0xfffffff009e23218: 2d227e97  bl	#0xfffffff007dabacc
0xfffffff009e2321c: e82c0090  adrp	x8, #0xfffffff00a3bf000
0xfffffff009e23220: 143d43f9  ldr	x20, [x8, #0x678]
0xfffffff009e23224: 340300b4  cbz	x20, #0xfffffff009e23288
0xfffffff009e23228: bf060031  cmn	w21, #1
0xfffffff009e2322c: 40020054  b.eq	#0xfffffff009e23274
0xfffffff009e23230: 881640b9  ldr	w8, [x20, #0x14]
0xfffffff009e23234: 1f01156b  cmp	w8, w21
0xfffffff009e23238: c0030054  b.eq	#0xfffffff009e232b0
0xfffffff009e2323c: 941e40f9  ldr	x20, [x20, #0x38]
0xfffffff009e23240: 94ffffb5  cbnz	x20, #0xfffffff009e23230
0xfffffff009e23244: f50300f9  str	x21, [sp]
0xfffffff009e23248: 00c4fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2324c: 00003891  add	x0, x0, #0xe00
0xfffffff009e23250: 21f8fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e23254: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e23258: e3cffeb0  adrp	x3, #0xfffffff007820000
0xfffffff009e2325c: 63001791  add	x3, x3, #0x5c0
0xfffffff009e23260: 42008052  mov	w2, #2
0xfffffff009e23264: b33f9497  bl	#0xfffffff008333130
0xfffffff009e23268: 10000014  b	#0xfffffff009e232a8
0xfffffff009e2326c: 941e40f9  ldr	x20, [x20, #0x38]
0xfffffff009e23270: b40200b4  cbz	x20, #0xfffffff009e232c4
0xfffffff009e23274: e00314aa  mov	x0, x20
0xfffffff009e23278: e10313aa  mov	x1, x19
0xfffffff009e2327c: 1c000094  bl	#0xfffffff009e232ec
0xfffffff009e23280: 60ffff34  cbz	w0, #0xfffffff009e2326c
0xfffffff009e23284: 0e000014  b	#0xfffffff009e232bc
0xfffffff009e23288: 00c4fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2328c: 00003891  add	x0, x0, #0xe00
0xfffffff009e23290: 21f8fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e23294: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e23298: e3cffeb0  adrp	x3, #0xfffffff007820000
0xfffffff009e2329c: 63a41691  add	x3, x3, #0x5a9
0xfffffff009e232a0: 02028052  mov	w2, #0x10
0xfffffff009e232a4: a33f9497  bl	#0xfffffff008333130
0xfffffff009e232a8: 75008052  mov	w21, #3
0xfffffff009e232ac: 07000014  b	#0xfffffff009e232c8
0xfffffff009e232b0: e00314aa  mov	x0, x20
0xfffffff009e232b4: e10313aa  mov	x1, x19
0xfffffff009e232b8: 0d000094  bl	#0xfffffff009e232ec
0xfffffff009e232bc: f50300aa  mov	x21, x0
0xfffffff009e232c0: 02000014  b	#0xfffffff009e232c8
0xfffffff009e232c4: 15008052  mov	w21, #0
0xfffffff009e232c8: e02c0090  adrp	x0, #0xfffffff00a3bf000
0xfffffff009e232cc: 00401991  add	x0, x0, #0x650
0xfffffff009e232d0: 1b257e97  bl	#0xfffffff007dac73c
0xfffffff009e232d4: e00315aa  mov	x0, x21
0xfffffff009e232d8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009e232dc: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009e232e0: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009e232e4: ff030191  add	sp, sp, #0x40
0xfffffff009e232e8: ff0f5fd6  retab	
0xfffffff009e232ec: 7f2303d5  pacibsp	
0xfffffff009e232f0: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009e232f4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009e232f8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009e232fc: fd830091  add	x29, sp, #0x20
0xfffffff009e23300: f40301aa  mov	x20, x1
0xfffffff009e23304: f30300aa  mov	x19, x0
