; Candidate 9353
; ADRP+ADD at VM 0xfffffff008a2b280 (fileoff 0x1a27280): page=0x1fe86e000 add_imm=0xe40

0xfffffff008a2b200: 080240f9  ldr	x8, [x16]
0xfffffff008a2b204: e90310aa  mov	x9, x16
0xfffffff008a2b208: e00314aa  mov	x0, x20
0xfffffff008a2b20c: e10313aa  mov	x1, x19
0xfffffff008a2b210: f10309aa  mov	x17, x9
0xfffffff008a2b214: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2b218: 11093fd7  blraa	x8, x17
0xfffffff008a2b21c: e00314aa  mov	x0, x20
0xfffffff008a2b220: 86b6f097  bl	#0xfffffff008658c38
0xfffffff008a2b224: f50300aa  mov	x21, x0
0xfffffff008a2b228: 900240f9  ldr	x16, [x20]
0xfffffff008a2b22c: f10314aa  mov	x17, x20
0xfffffff008a2b230: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2b234: 301ac1da  autda	x16, x17
0xfffffff008a2b238: f10310aa  mov	x17, x16
0xfffffff008a2b23c: f147c1da  xpacd	x17
0xfffffff008a2b240: 1f0211eb  cmp	x16, x17
0xfffffff008a2b244: 40000054  b.eq	#0xfffffff008a2b24c
0xfffffff008a2b248: 408e38d4  brk	#0xc472
0xfffffff008a2b24c: 08c21191  add	x8, x16, #0x470
0xfffffff008a2b250: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2b254: e00314aa  mov	x0, x20
0xfffffff008a2b258: e10313aa  mov	x1, x19
0xfffffff008a2b25c: f10308aa  mov	x17, x8
0xfffffff008a2b260: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2b264: 31093fd7  blraa	x9, x17
0xfffffff008a2b268: e04f02a9  stp	x0, x19, [sp, #0x20]
0xfffffff008a2b26c: 17618052  mov	w23, #0x308
0xfffffff008a2b270: f75b01a9  stp	x23, x22, [sp, #0x10]
0xfffffff008a2b274: 9843ffd0  adrp	x24, #0xfffffff00729d000
0xfffffff008a2b278: 18171d91  add	x24, x24, #0x745
0xfffffff008a2b27c: f56300a9  stp	x21, x24, [sp]
0xfffffff008a2b280: 6043ffd0  adrp	x0, #0xfffffff007299000
0xfffffff008a2b284: 00003991  add	x0, x0, #0xe40
0xfffffff008a2b288: 0181ff90  adrp	x1, #0xfffffff007a4b000
0xfffffff008a2b28c: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a2b290: a343ffb0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a2b294: 63b43391  add	x3, x3, #0xced
0xfffffff008a2b298: 02028052  mov	w2, #0x10
0xfffffff008a2b29c: a51fe497  bl	#0xfffffff008333130
0xfffffff008a2b2a0: e00314aa  mov	x0, x20
0xfffffff008a2b2a4: 65b6f097  bl	#0xfffffff008658c38
0xfffffff008a2b2a8: f50300aa  mov	x21, x0
0xfffffff008a2b2ac: 900240f9  ldr	x16, [x20]
0xfffffff008a2b2b0: f10314aa  mov	x17, x20
0xfffffff008a2b2b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2b2b8: 301ac1da  autda	x16, x17
0xfffffff008a2b2bc: f10310aa  mov	x17, x16
0xfffffff008a2b2c0: f147c1da  xpacd	x17
0xfffffff008a2b2c4: 1f0211eb  cmp	x16, x17
0xfffffff008a2b2c8: 40000054  b.eq	#0xfffffff008a2b2d0
0xfffffff008a2b2cc: 408e38d4  brk	#0xc472
0xfffffff008a2b2d0: 08c21191  add	x8, x16, #0x470
0xfffffff008a2b2d4: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2b2d8: e00314aa  mov	x0, x20
0xfffffff008a2b2dc: e10313aa  mov	x1, x19
0xfffffff008a2b2e0: f10308aa  mov	x17, x8
0xfffffff008a2b2e4: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2b2e8: 31093fd7  blraa	x9, x17
0xfffffff008a2b2ec: e04f02a9  stp	x0, x19, [sp, #0x20]
0xfffffff008a2b2f0: f75b01a9  stp	x23, x22, [sp, #0x10]
0xfffffff008a2b2f4: f56300a9  stp	x21, x24, [sp]
0xfffffff008a2b2f8: 8043ffd0  adrp	x0, #0xfffffff00729d000
0xfffffff008a2b2fc: 00641d91  add	x0, x0, #0x759
