; Candidate 180
; ADRP+ADD at VM 0xfffffff007e2d748 (fileoff 0xe29748): page=0x23a4000 add_imm=0xd20

0xfffffff007e2d6c8: 68220091  add	x8, x19, #8
0xfffffff007e2d6cc: 291844b9  ldr	w9, [x1, #0x418]
0xfffffff007e2d6d0: e20309aa  mov	x2, x9
0xfffffff007e2d6d4: 1ffda288  casl	w2, wzr, [x8]
0xfffffff007e2d6d8: 5f00096b  cmp	w2, w9
0xfffffff007e2d6dc: 811c0054  b.ne	#0xfffffff007e2da6c
0xfffffff007e2d6e0: 603a40f9  ldr	x0, [x19, #0x70]
0xfffffff007e2d6e4: e10315aa  mov	x1, x21
0xfffffff007e2d6e8: 02408052  mov	w2, #0x200
0xfffffff007e2d6ec: c3018052  mov	w3, #0xe
0xfffffff007e2d6f0: 02590094  bl	#0xfffffff007e43af8
0xfffffff007e2d6f4: e00313aa  mov	x0, x19
0xfffffff007e2d6f8: b1fbfd97  bl	#0xfffffff007dac5bc
0xfffffff007e2d6fc: 69924878  ldurh	w9, [x19, #0x89]
0xfffffff007e2d700: 28391f12  and	w8, w9, #0xfffe
0xfffffff007e2d704: 68920878  sturh	w8, [x19, #0x89]
0xfffffff007e2d708: 7f3e00f9  str	xzr, [x19, #0x78]
0xfffffff007e2d70c: 29011036  tbz	w9, #2, #0xfffffff007e2d730
0xfffffff007e2d710: 48ff9f52  mov	w8, #0xfffa
0xfffffff007e2d714: 2801080a  and	w8, w9, w8
0xfffffff007e2d718: 68920878  sturh	w8, [x19, #0x89]
0xfffffff007e2d71c: e00313aa  mov	x0, x19
0xfffffff007e2d720: 01008052  mov	w1, #0
0xfffffff007e2d724: 02008052  mov	w2, #0
0xfffffff007e2d728: 045bfe97  bl	#0xfffffff007dc4338
0xfffffff007e2d72c: 68924878  ldurh	w8, [x19, #0x89]
0xfffffff007e2d730: a80e1837  tbnz	w8, #3, #0xfffffff007e2d904
0xfffffff007e2d734: 081d0453  ubfx	w8, w8, #4, #4
0xfffffff007e2d738: 1f290071  cmp	w8, #0xa
0xfffffff007e2d73c: 400e0054  b.eq	#0xfffffff007e2d904
0xfffffff007e2d740: 1f110071  cmp	w8, #4
0xfffffff007e2d744: a10d0054  b.ne	#0xfffffff007e2d8f8
0xfffffff007e2d748: 201d0190  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2d74c: 00803491  add	x0, x0, #0xd20
0xfffffff007e2d750: d3fbfd97  bl	#0xfffffff007dac69c
0xfffffff007e2d754: 20080034  cbz	w0, #0xfffffff007e2d858
0xfffffff007e2d758: e00313aa  mov	x0, x19
0xfffffff007e2d75c: 61008052  mov	w1, #3
0xfffffff007e2d760: 02008052  mov	w2, #0
0xfffffff007e2d764: 36eeff97  bl	#0xfffffff007e2903c
0xfffffff007e2d768: 5c000014  b	#0xfffffff007e2d8d8
0xfffffff007e2d76c: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff007e2d770: ea2f40f9  ldr	x10, [sp, #0x58]
0xfffffff007e2d774: 0b1d0190  adrp	x11, #0xfffffff00a1cd000
0xfffffff007e2d778: 6b2946b9  ldr	w11, [x11, #0x628]
0xfffffff007e2d77c: 4a0140b9  ldr	w10, [x10]
0xfffffff007e2d780: 2c708252  mov	w12, #0x1381
0xfffffff007e2d784: ed90fff0  adrp	x13, #0xfffffff00704c000
0xfffffff007e2d788: ad490091  add	x13, x13, #0x12
0xfffffff007e2d78c: ed3302a9  stp	x13, x12, [sp, #0x20]
0xfffffff007e2d790: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff007e2d794: e82f00a9  stp	x8, x11, [sp]
0xfffffff007e2d798: e090fff0  adrp	x0, #0xfffffff00704c000
0xfffffff007e2d79c: 00340991  add	x0, x0, #0x24d
0xfffffff007e2d7a0: 5b9b1994  bl	#0xfffffff00849450c
0xfffffff007e2d7a4: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff007e2d7a8: ea2f40f9  ldr	x10, [sp, #0x58]
0xfffffff007e2d7ac: 4a0140b9  ldr	w10, [x10]
0xfffffff007e2d7b0: cb708252  mov	w11, #0x1386
0xfffffff007e2d7b4: eb1300f9  str	x11, [sp, #0x20]
0xfffffff007e2d7b8: eb90fff0  adrp	x11, #0xfffffff00704c000
0xfffffff007e2d7bc: 6b490091  add	x11, x11, #0x12
0xfffffff007e2d7c0: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff007e2d7c4: e82700a9  stp	x8, x9, [sp]
