; Candidate 16196
; ADRP+ADD at VM 0xfffffff009e2f890 (fileoff 0x2e2b890): page=0x1fd874000 add_imm=0xe00

0xfffffff009e2f810: 013543f9  ldr	x1, [x8, #0x668]
0xfffffff009e2f814: b6d0ff97  bl	#0xfffffff009e23aec
0xfffffff009e2f818: f40300aa  mov	x20, x0
0xfffffff009e2f81c: 600300b4  cbz	x0, #0xfffffff009e2f888
0xfffffff009e2f820: e00314aa  mov	x0, x20
0xfffffff009e2f824: 77b77c97  bl	#0xfffffff007d5d600
0xfffffff009e2f828: e30300aa  mov	x3, x0
0xfffffff009e2f82c: e0230091  add	x0, sp, #8
0xfffffff009e2f830: e10313aa  mov	x1, x19
0xfffffff009e2f834: e20314aa  mov	x2, x20
0xfffffff009e2f838: 04008052  mov	w4, #0
0xfffffff009e2f83c: e7d8ff97  bl	#0xfffffff009e25bd8
0xfffffff009e2f840: f50300aa  mov	x21, x0
0xfffffff009e2f844: 80030035  cbnz	w0, #0xfffffff009e2f8b4
0xfffffff009e2f848: e00740f9  ldr	x0, [sp, #8]
0xfffffff009e2f84c: 82cffe90  adrp	x2, #0xfffffff00781f000
0xfffffff009e2f850: 42243291  add	x2, x2, #0xc89
0xfffffff009e2f854: e10313aa  mov	x1, x19
0xfffffff009e2f858: 8bd9ff97  bl	#0xfffffff009e25e84
0xfffffff009e2f85c: f50300aa  mov	x21, x0
0xfffffff009e2f860: 15000014  b	#0xfffffff009e2f8b4
0xfffffff009e2f864: a0c3fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2f868: 00003891  add	x0, x0, #0xe00
0xfffffff009e2f86c: c1f7fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2f870: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2f874: 83cffed0  adrp	x3, #0xfffffff007821000
0xfffffff009e2f878: 63881791  add	x3, x3, #0x5e2
0xfffffff009e2f87c: 2d0e9497  bl	#0xfffffff008333130
0xfffffff009e2f880: d5028052  mov	w21, #0x16
0xfffffff009e2f884: 11000014  b	#0xfffffff009e2f8c8
0xfffffff009e2f888: a83240f9  ldr	x8, [x21, #0x60]
0xfffffff009e2f88c: e80300f9  str	x8, [sp]
0xfffffff009e2f890: a0c3fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2f894: 00003891  add	x0, x0, #0xe00
0xfffffff009e2f898: c1f7fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2f89c: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2f8a0: 83cffed0  adrp	x3, #0xfffffff007821000
0xfffffff009e2f8a4: 63a01891  add	x3, x3, #0x628
0xfffffff009e2f8a8: 02008052  mov	w2, #0
0xfffffff009e2f8ac: 210e9497  bl	#0xfffffff008333130
0xfffffff009e2f8b0: 55008052  mov	w21, #2
0xfffffff009e2f8b4: e00314aa  mov	x0, x20
0xfffffff009e2f8b8: 3295ff97  bl	#0xfffffff009e14d80
0xfffffff009e2f8bc: e0230091  add	x0, sp, #8
0xfffffff009e2f8c0: e10313aa  mov	x1, x19
0xfffffff009e2f8c4: 9ed5ff97  bl	#0xfffffff009e24f3c
0xfffffff009e2f8c8: e00315aa  mov	x0, x21
0xfffffff009e2f8cc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009e2f8d0: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009e2f8d4: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009e2f8d8: ff030191  add	sp, sp, #0x40
0xfffffff009e2f8dc: ff0f5fd6  retab	
0xfffffff009e2f8e0: 7f2303d5  pacibsp	
0xfffffff009e2f8e4: ff0301d1  sub	sp, sp, #0x40
0xfffffff009e2f8e8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009e2f8ec: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e2f8f0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e2f8f4: fdc30091  add	x29, sp, #0x30
0xfffffff009e2f8f8: f40303aa  mov	x20, x3
0xfffffff009e2f8fc: e30302aa  mov	x3, x2
0xfffffff009e2f900: f30300aa  mov	x19, x0
0xfffffff009e2f904: ff0700f9  str	xzr, [sp, #8]
0xfffffff009e2f908: e0230091  add	x0, sp, #8
0xfffffff009e2f90c: e10313aa  mov	x1, x19
