; Candidate 6075
; ADRP+ADD at VM 0xfffffff008813090 (fileoff 0x180f090): page=0x1fe9d6000 add_imm=0xe80

0xfffffff008813010: 35050034  cbz	w21, #0xfffffff0088130b4
0xfffffff008813014: e80240b9  ldr	w8, [x23]
0xfffffff008813018: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff00881301c: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813020: 08392891  add	x8, x8, #0xa0e
0xfffffff008813024: e9748052  mov	w9, #0x3a7
0xfffffff008813028: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881302c: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813030: 08992491  add	x8, x8, #0x926
0xfffffff008813034: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008813038: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881303c: 880e8052  mov	w8, #0x74
0xfffffff008813040: 4050ffd0  adrp	x0, #0xfffffff00721d000
0xfffffff008813044: 00042791  add	x0, x0, #0x9c1
0xfffffff008813048: 0affff17  b	#0xfffffff008812c70
0xfffffff00881304c: 58840294  bl	#0xfffffff0088b41ac
0xfffffff008813050: f40300aa  mov	x20, x0
0xfffffff008813054: 80008052  mov	w0, #4
0xfffffff008813058: fea10194  bl	#0xfffffff00887b850
0xfffffff00881305c: 08034079  ldrh	w8, [x24]
0xfffffff008813060: e9008052  mov	w9, #7
0xfffffff008813064: e92704a9  stp	x9, x9, [sp, #0x40]
0xfffffff008813068: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00881306c: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813070: 083d2a91  add	x8, x8, #0xa8f
0xfffffff008813074: e9758052  mov	w9, #0x3af
0xfffffff008813078: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881307c: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813080: 08992491  add	x8, x8, #0x926
0xfffffff008813084: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008813088: 880e8052  mov	w8, #0x74
0xfffffff00881308c: f42300a9  stp	x20, x8, [sp]
0xfffffff008813090: a04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008813094: 00003a91  add	x0, x0, #0xe80
0xfffffff008813098: a18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881309c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088130a0: a351ff90  adrp	x3, #0xfffffff007247000
0xfffffff0088130a4: 63f43891  add	x3, x3, #0xe3d
0xfffffff0088130a8: 02008052  mov	w2, #0
0xfffffff0088130ac: 2180ec97  bl	#0xfffffff008333130
0xfffffff0088130b0: 42ffff17  b	#0xfffffff008812db8
0xfffffff0088130b4: 3e840294  bl	#0xfffffff0088b41ac
0xfffffff0088130b8: f40300aa  mov	x20, x0
0xfffffff0088130bc: 80008052  mov	w0, #4
0xfffffff0088130c0: e4a10194  bl	#0xfffffff00887b850
0xfffffff0088130c4: e80240b9  ldr	w8, [x23]
0xfffffff0088130c8: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0088130cc: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff0088130d0: 08392891  add	x8, x8, #0xa0e
0xfffffff0088130d4: e9748052  mov	w9, #0x3a7
0xfffffff0088130d8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088130dc: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff0088130e0: 08992491  add	x8, x8, #0x926
0xfffffff0088130e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088130e8: 880e8052  mov	w8, #0x74
0xfffffff0088130ec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088130f0: f40300f9  str	x20, [sp]
0xfffffff0088130f4: a04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088130f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088130fc: a18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008813100: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008813104: a351ff90  adrp	x3, #0xfffffff007247000
0xfffffff008813108: 63c43791  add	x3, x3, #0xdf1
0xfffffff00881310c: 02008052  mov	w2, #0
