; Candidate 600
; ADRP+ADD at VM 0xfffffff007fa272c (fileoff 0xf9e72c): page=0x1ff0c3000 add_imm=0xec0

0xfffffff007fa26ac: cddb0a94  bl	#0xfffffff0082595e0
0xfffffff007fa26b0: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007fa26b4: a8c20091  add	x8, x21, #0x30
0xfffffff007fa26b8: 291844b9  ldr	w9, [x1, #0x418]
0xfffffff007fa26bc: e20309aa  mov	x2, x9
0xfffffff007fa26c0: 1ffda288  casl	w2, wzr, [x8]
0xfffffff007fa26c4: 5f00096b  cmp	w2, w9
0xfffffff007fa26c8: a1040054  b.ne	#0xfffffff007fa275c
0xfffffff007fa26cc: e00314aa  mov	x0, x20
0xfffffff007fa26d0: 01008052  mov	w1, #0
0xfffffff007fa26d4: 55f5ff97  bl	#0xfffffff007f9fc28
0xfffffff007fa26d8: 80ceffd0  adrp	x0, #0xfffffff007974000
0xfffffff007fa26dc: 00c01791  add	x0, x0, #0x5f0
0xfffffff007fa26e0: e10313aa  mov	x1, x19
0xfffffff007fa26e4: 4a9df997  bl	#0xfffffff007e09c0c
0xfffffff007fa26e8: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff007fa26ec: 291101b0  adrp	x9, #0xfffffff00a1c7000
0xfffffff007fa26f0: 29010091  add	x9, x9, #0
0xfffffff007fa26f4: 290140f9  ldr	x9, [x9]
0xfffffff007fa26f8: 3f0108eb  cmp	x9, x8
0xfffffff007fa26fc: 61030054  b.ne	#0xfffffff007fa2768
0xfffffff007fa2700: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff007fa2704: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff007fa2708: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff007fa270c: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff007fa2710: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff007fa2714: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff007fa2718: ff830291  add	sp, sp, #0xa0
0xfffffff007fa271c: ff0f5fd6  retab	
0xfffffff007fa2720: 6087ffd0  adrp	x0, #0xfffffff007090000
0xfffffff007fa2724: 00540091  add	x0, x0, #0x15
0xfffffff007fa2728: 09000014  b	#0xfffffff007fa274c
0xfffffff007fa272c: 0086fff0  adrp	x0, #0xfffffff007065000
0xfffffff007fa2730: 00003b91  add	x0, x0, #0xec0
0xfffffff007fa2734: 0186fff0  adrp	x1, #0xfffffff007065000
0xfffffff007fa2738: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa273c: 022b8252  mov	w2, #0x1158
0xfffffff007fa2740: 35f41394  bl	#0xfffffff00849f814
0xfffffff007fa2744: 6087ffb0  adrp	x0, #0xfffffff00708f000
0xfffffff007fa2748: 00dc3f91  add	x0, x0, #0xff7
0xfffffff007fa274c: 0186fff0  adrp	x1, #0xfffffff007065000
0xfffffff007fa2750: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa2754: 422c8252  mov	w2, #0x1162
0xfffffff007fa2758: 2ff41394  bl	#0xfffffff00849f814
0xfffffff007fa275c: a0a20091  add	x0, x21, #0x28
0xfffffff007fa2760: 0128f897  bl	#0xfffffff007dac764
0xfffffff007fa2764: daffff17  b	#0xfffffff007fa26cc
0xfffffff007fa2768: b9edf697  bl	#0xfffffff007d5de4c
0xfffffff007fa276c: 7f2303d5  pacibsp	
0xfffffff007fa2770: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff007fa2774: fd030091  mov	x29, sp
0xfffffff007fa2778: 1f080071  cmp	w0, #2
0xfffffff007fa277c: 60000054  b.eq	#0xfffffff007fa2788
0xfffffff007fa2780: 1f780071  cmp	w0, #0x1e
0xfffffff007fa2784: e1080054  b.ne	#0xfffffff007fa28a0
0xfffffff007fa2788: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007fa278c: 400003ad  stp	q0, q0, [x2, #0x60]
0xfffffff007fa2790: 400002ad  stp	q0, q0, [x2, #0x40]
0xfffffff007fa2794: 400001ad  stp	q0, q0, [x2, #0x20]
0xfffffff007fa2798: 400000ad  stp	q0, q0, [x2]
0xfffffff007fa279c: 48080091  add	x8, x2, #2
0xfffffff007fa27a0: 2b004039  ldrb	w11, [x1]
0xfffffff007fa27a4: 49000b8b  add	x9, x2, x11
0xfffffff007fa27a8: 4b000039  strb	w11, [x2]
