; Candidate 8196
; ADRP+ADD at VM 0xfffffff00889b8a0 (fileoff 0x18978a0): page=0x1fe94e000 add_imm=0xe80

0xfffffff00889b820: 9b0f40b9  ldr	w27, [x28, #0xc]
0xfffffff00889b824: e00317aa  mov	x0, x23
0xfffffff00889b828: 824ffe97  bl	#0xfffffff00882f630
0xfffffff00889b82c: fb8303a9  stp	x27, x0, [sp, #0x38]
0xfffffff00889b830: f5eb02a9  stp	x21, x26, [sp, #0x28]
0xfffffff00889b834: e8830691  add	x8, sp, #0x1a0
0xfffffff00889b838: e8f301a9  stp	x8, x28, [sp, #0x18]
0xfffffff00889b83c: e80314aa  mov	x8, x20
0xfffffff00889b840: e8e700a9  stp	x8, x25, [sp, #8]
0xfffffff00889b844: f80300f9  str	x24, [sp]
0xfffffff00889b848: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889b84c: 00003a91  add	x0, x0, #0xe80
0xfffffff00889b850: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889b854: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889b858: 234effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889b85c: 633c3091  add	x3, x3, #0xc0f
0xfffffff00889b860: 02008052  mov	w2, #0
0xfffffff00889b864: 335eea97  bl	#0xfffffff008333130
0xfffffff00889b868: 16000014  b	#0xfffffff00889b8c0
0xfffffff00889b86c: 08b78752  mov	w8, #0x3db8
0xfffffff00889b870: fa4f40f9  ldr	x26, [sp, #0x98]
0xfffffff00889b874: 5703088b  add	x23, x26, x8
0xfffffff00889b878: e00317aa  mov	x0, x23
0xfffffff00889b87c: 6d4ffe97  bl	#0xfffffff00882f630
0xfffffff00889b880: 55e34029  ldp	w21, w24, [x26, #4]
0xfffffff00889b884: 590f40b9  ldr	w25, [x26, #0xc]
0xfffffff00889b888: e00317aa  mov	x0, x23
0xfffffff00889b88c: 694ffe97  bl	#0xfffffff00882f630
0xfffffff00889b890: f90302a9  stp	x25, x0, [sp, #0x20]
0xfffffff00889b894: f56301a9  stp	x21, x24, [sp, #0x10]
0xfffffff00889b898: e8830691  add	x8, sp, #0x1a0
0xfffffff00889b89c: e86b00a9  stp	x8, x26, [sp]
0xfffffff00889b8a0: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889b8a4: 00003a91  add	x0, x0, #0xe80
0xfffffff00889b8a8: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889b8ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889b8b0: 234effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889b8b4: 63982f91  add	x3, x3, #0xbe6
0xfffffff00889b8b8: 02008052  mov	w2, #0
0xfffffff00889b8bc: 1d5eea97  bl	#0xfffffff008333130
0xfffffff00889b8c0: 08b78752  mov	w8, #0x3db8
0xfffffff00889b8c4: e94f40f9  ldr	x9, [sp, #0x98]
0xfffffff00889b8c8: 3501088b  add	x21, x9, x8
0xfffffff00889b8cc: e00315aa  mov	x0, x21
0xfffffff00889b8d0: ae51fe97  bl	#0xfffffff00882ff88
0xfffffff00889b8d4: f80300aa  mov	x24, x0
0xfffffff00889b8d8: f54b00f9  str	x21, [sp, #0x90]
0xfffffff00889b8dc: e00315aa  mov	x0, x21
0xfffffff00889b8e0: bf51fe97  bl	#0xfffffff00882ffdc
0xfffffff00889b8e4: 1f0300eb  cmp	x24, x0
0xfffffff00889b8e8: a0230054  b.eq	#0xfffffff00889bd5c
0xfffffff00889b8ec: e803134b  neg	w8, w19
0xfffffff00889b8f0: e88f00b9  str	w8, [sp, #0x8c]
0xfffffff00889b8f4: e80314aa  mov	x8, x20
0xfffffff00889b8f8: e8a307a9  stp	x8, x8, [sp, #0x78]
0xfffffff00889b8fc: fa830291  add	x26, sp, #0xa0
0xfffffff00889b900: 1b208052  mov	w27, #0x100
0xfffffff00889b904: bc4cffd0  adrp	x28, #0xfffffff007231000
0xfffffff00889b908: 9ceb2f91  add	x28, x28, #0xbfa
0xfffffff00889b90c: e83b00f9  str	x8, [sp, #0x70]
0xfffffff00889b910: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00889b914: e0030cad  stp	q0, q0, [sp, #0x180]
0xfffffff00889b918: e0030bad  stp	q0, q0, [sp, #0x160]
0xfffffff00889b91c: e0030aad  stp	q0, q0, [sp, #0x140]
