; Candidate 4984
; ADRP+ADD at VM 0xfffffff0087d0510 (fileoff 0x17cc510): page=0x1fea19000 add_imm=0xe80

0xfffffff0087d0490: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff0087d0494: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087d0498: 48198052  mov	w8, #0xca
0xfffffff0087d049c: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d04a0: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d04a4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d04a8: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d04ac: 08712591  add	x8, x8, #0x95c
0xfffffff0087d04b0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d04b4: 080a8052  mov	w8, #0x50
0xfffffff0087d04b8: 0052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d04bc: 00783791  add	x0, x0, #0xdde
0xfffffff0087d04c0: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d04c4: e79bd797  bl	#0xfffffff007db7460
0xfffffff0087d04c8: fd000014  b	#0xfffffff0087d08bc
0xfffffff0087d04cc: 388f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d04d0: f50300aa  mov	x21, x0
0xfffffff0087d04d4: 80008052  mov	w0, #4
0xfffffff0087d04d8: deac0294  bl	#0xfffffff00887b850
0xfffffff0087d04dc: f45b04a9  stp	x20, x22, [sp, #0x40]
0xfffffff0087d04e0: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d04e4: 08553791  add	x8, x8, #0xdd5
0xfffffff0087d04e8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0087d04ec: 681f8052  mov	w8, #0xfb
0xfffffff0087d04f0: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d04f4: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d04f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d04fc: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0500: 08712591  add	x8, x8, #0x95c
0xfffffff0087d0504: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d0508: 080a8052  mov	w8, #0x50
0xfffffff0087d050c: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d0510: c050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d0514: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d0518: c191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d051c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d0520: 4353ffd0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d0524: 63082d91  add	x3, x3, #0xb42
0xfffffff0087d0528: 02008052  mov	w2, #0
0xfffffff0087d052c: 018bed97  bl	#0xfffffff008333130
0xfffffff0087d0530: 03010014  b	#0xfffffff0087d093c
0xfffffff0087d0534: 1e8f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d0538: f50300aa  mov	x21, x0
0xfffffff0087d053c: 80008052  mov	w0, #4
0xfffffff0087d0540: c4ac0294  bl	#0xfffffff00887b850
0xfffffff0087d0544: f45b04a9  stp	x20, x22, [sp, #0x40]
0xfffffff0087d0548: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d054c: 08553791  add	x8, x8, #0xdd5
0xfffffff0087d0550: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0087d0554: e8188052  mov	w8, #0xc7
0xfffffff0087d0558: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d055c: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d0560: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d0564: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0568: 08712591  add	x8, x8, #0x95c
0xfffffff0087d056c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d0570: 080a8052  mov	w8, #0x50
0xfffffff0087d0574: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d0578: c050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d057c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d0580: c191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d0584: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d0588: 4353ffd0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d058c: 63902291  add	x3, x3, #0x8a4
