; Candidate 16555
; ADRP+ADD at VM 0xfffffff009edd978 (fileoff 0x2ed9978): page=0x1fd96a000 add_imm=0xd6d

0xfffffff009edd8f8: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff009edd8fc: 091440f9  ldr	x9, [x0, #0x28]
0xfffffff009edd900: 3401088b  add	x20, x9, x8
0xfffffff009edd904: 280440f9  ldr	x8, [x1, #8]
0xfffffff009edd908: 9f0208eb  cmp	x20, x8
0xfffffff009edd90c: e9050054  b.ls	#0xfffffff009edd9c8
0xfffffff009edd910: f30301aa  mov	x19, x1
0xfffffff009edd914: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff009edd918: 880300b4  cbz	x8, #0xfffffff009edd988
0xfffffff009edd91c: 770e40f9  ldr	x23, [x19, #0x18]
0xfffffff009edd920: f40a40b9  ldr	w20, [x23, #8]
0xfffffff009edd924: 9f0a0071  cmp	w20, #2
0xfffffff009edd928: 4b0e0054  b.lt	#0xfffffff009eddaf0
0xfffffff009edd92c: 600240f9  ldr	x0, [x19]
0xfffffff009edd930: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff009edd934: e5e30091  add	x5, sp, #0x38
0xfffffff009edd938: 21008052  mov	w1, #1
0xfffffff009edd93c: e20314aa  mov	x2, x20
0xfffffff009edd940: 030080d2  mov	x3, #0
0xfffffff009edd944: 04008052  mov	w4, #0
0xfffffff009edd948: 27520094  bl	#0xfffffff009ef21e4
0xfffffff009edd94c: e80240f9  ldr	x8, [x23]
0xfffffff009edd950: 00040034  cbz	w0, #0xfffffff009edd9d0
0xfffffff009edd954: f60300aa  mov	x22, x0
0xfffffff009edd958: 080140f9  ldr	x8, [x8]
0xfffffff009edd95c: 080540f9  ldr	x8, [x8, #8]
0xfffffff009edd960: e8db01a9  stp	x8, x22, [sp, #0x18]
0xfffffff009edd964: 48cbfed0  adrp	x8, #0xfffffff007847000
0xfffffff009edd968: 085d3591  add	x8, x8, #0xd57
0xfffffff009edd96c: 29e98652  mov	w9, #0x3749
0xfffffff009edd970: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff009edd974: e80300f9  str	x8, [sp]
0xfffffff009edd978: 40cbfed0  adrp	x0, #0xfffffff007847000
0xfffffff009edd97c: 00b43591  add	x0, x0, #0xd6d
0xfffffff009edd980: d187fe97  bl	#0xfffffff009e7f8c4
0xfffffff009edd984: 39000014  b	#0xfffffff009edda68
0xfffffff009edd988: 610e40f9  ldr	x1, [x19, #0x18]
0xfffffff009edd98c: 584a0094  bl	#0xfffffff009ef02ec
0xfffffff009edd990: 60010034  cbz	w0, #0xfffffff009edd9bc
0xfffffff009edd994: f60300aa  mov	x22, x0
0xfffffff009edd998: 48cbfed0  adrp	x8, #0xfffffff007847000
0xfffffff009edd99c: 085d3591  add	x8, x8, #0xd57
0xfffffff009edd9a0: 89e68652  mov	w9, #0x3734
0xfffffff009edd9a4: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009edd9a8: e80300f9  str	x8, [sp]
0xfffffff009edd9ac: 40cbfed0  adrp	x0, #0xfffffff007847000
0xfffffff009edd9b0: 00980a91  add	x0, x0, #0x2a6
0xfffffff009edd9b4: c487fe97  bl	#0xfffffff009e7f8c4
0xfffffff009edd9b8: 4f000014  b	#0xfffffff009eddaf4
0xfffffff009edd9bc: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff009edd9c0: 9f0208eb  cmp	x20, x8
0xfffffff009edd9c4: c2faff54  b.hs	#0xfffffff009edd91c
0xfffffff009edd9c8: 16008052  mov	w22, #0
0xfffffff009edd9cc: 4a000014  b	#0xfffffff009eddaf4
0xfffffff009edd9d0: 89060051  sub	w9, w20, #1
0xfffffff009edd9d4: 095969f8  ldr	x9, [x8, w9, uxtw #3]
0xfffffff009edd9d8: 2a0940f9  ldr	x10, [x9, #0x10]
0xfffffff009edd9dc: 291540f9  ldr	x9, [x9, #0x28]
0xfffffff009edd9e0: 29010a8b  add	x9, x9, x10
0xfffffff009edd9e4: 020140f9  ldr	x2, [x8]
0xfffffff009edd9e8: 480840f9  ldr	x8, [x2, #0x10]
0xfffffff009edd9ec: 280108cb  sub	x8, x9, x8
0xfffffff009edd9f0: 49008052  mov	w9, #2
0xfffffff009edd9f4: 49040039  strb	w9, [x2, #1]
