; Candidate 15722
; ADRP+ADD at VM 0xfffffff009ce17b4 (fileoff 0x2cdd7b4): page=0x6da000 add_imm=0xce0

0xfffffff009ce1734: ff430191  add	sp, sp, #0x50
0xfffffff009ce1738: ff0f5fd6  retab	
0xfffffff009ce173c: 5f2403d5  bti	c
0xfffffff009ce1740: 004040f9  ldr	x0, [x0, #0x80]
0xfffffff009ce1744: c0035fd6  ret	
0xfffffff009ce1748: 5f2403d5  bti	c
0xfffffff009ce174c: ea0b9817  b	#0xfffffff0082e46f4
0xfffffff009ce1750: 5f2403d5  bti	c
0xfffffff009ce1754: 006440b9  ldr	w0, [x0, #0x64]
0xfffffff009ce1758: c0035fd6  ret	
0xfffffff009ce175c: 5f2403d5  bti	c
0xfffffff009ce1760: e50b9817  b	#0xfffffff0082e46f4
0xfffffff009ce1764: 7f2303d5  pacibsp	
0xfffffff009ce1768: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009ce176c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009ce1770: fd430091  add	x29, sp, #0x10
0xfffffff009ce1774: d33600d0  adrp	x19, #0xfffffff00a3bb000
0xfffffff009ce1778: 73e23291  add	x19, x19, #0xcb8
0xfffffff009ce177c: 01ccfeb0  adrp	x1, #0xfffffff007662000
0xfffffff009ce1780: 215c1291  add	x1, x1, #0x497
0xfffffff009ce1784: e200ffb0  adrp	x2, #0xfffffff007cfe000
0xfffffff009ce1788: 423044f9  ldr	x2, [x2, #0x860]
0xfffffff009ce178c: e00313aa  mov	x0, x19
0xfffffff009ce1790: 030f8052  mov	w3, #0x78
0xfffffff009ce1794: e9089897  bl	#0xfffffff0082e3b38
0xfffffff009ce1798: f000fff0  adrp	x16, #0xfffffff007d00000
0xfffffff009ce179c: 10221691  add	x16, x16, #0x588
0xfffffff009ce17a0: 10420091  add	x16, x16, #0x10
0xfffffff009ce17a4: f10313aa  mov	x17, x19
0xfffffff009ce17a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ce17ac: 300ac1da  pacda	x16, x17
0xfffffff009ce17b0: 700200f9  str	x16, [x19]
0xfffffff009ce17b4: c03600d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009ce17b8: 00803391  add	x0, x0, #0xce0
0xfffffff009ce17bc: 01ccfeb0  adrp	x1, #0xfffffff007662000
0xfffffff009ce17c0: 21441e91  add	x1, x1, #0x791
0xfffffff009ce17c4: e20313aa  mov	x2, x19
0xfffffff009ce17c8: 03118052  mov	w3, #0x88
0xfffffff009ce17cc: db089897  bl	#0xfffffff0082e3b38
0xfffffff009ce17d0: f000fff0  adrp	x16, #0xfffffff007d00000
0xfffffff009ce17d4: 10421d91  add	x16, x16, #0x750
0xfffffff009ce17d8: 10420091  add	x16, x16, #0x10
0xfffffff009ce17dc: f10300aa  mov	x17, x0
0xfffffff009ce17e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ce17e4: 300ac1da  pacda	x16, x17
0xfffffff009ce17e8: 100000f9  str	x16, [x0]
0xfffffff009ce17ec: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009ce17f0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009ce17f4: ff0f5fd6  retab	
0xfffffff009ce17f8: 7f2303d5  pacibsp	
0xfffffff009ce17fc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009ce1800: fd030091  mov	x29, sp
0xfffffff009ce1804: c03600d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009ce1808: 00803391  add	x0, x0, #0xce0
0xfffffff009ce180c: ba0b9897  bl	#0xfffffff0082e46f4
0xfffffff009ce1810: c03600d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009ce1814: 00e03291  add	x0, x0, #0xcb8
0xfffffff009ce1818: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009ce181c: ff2303d5  autibsp	
0xfffffff009ce1820: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009ce1824: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009ce182c
0xfffffff009ce1828: 208e38d4  brk	#0xc471
0xfffffff009ce182c: b20b9817  b	#0xfffffff0082e46f4
0xfffffff009ce1830: 7f2303d5  pacibsp	
