; Candidate 7852
; ADRP+ADD at VM 0xfffffff0088834fc (fileoff 0x187f4fc): page=0x1fe966000 add_imm=0xe80

0xfffffff00888347c: f52704a9  stp	x21, x9, [sp, #0x40]
0xfffffff008883480: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008883484: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff008883488: 08ad0691  add	x8, x8, #0x1ab
0xfffffff00888348c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008883490: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff008883494: 08fd0891  add	x8, x8, #0x23f
0xfffffff008883498: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888349c: 880b8052  mov	w8, #0x5c
0xfffffff0088834a0: 604cfff0  adrp	x0, #0xfffffff007212000
0xfffffff0088834a4: 00043091  add	x0, x0, #0xc01
0xfffffff0088834a8: f72300a9  stp	x23, x8, [sp]
0xfffffff0088834ac: edcfd497  bl	#0xfffffff007db7460
0xfffffff0088834b0: 1b000014  b	#0xfffffff00888351c
0xfffffff0088834b4: 3ec30094  bl	#0xfffffff0088b41ac
0xfffffff0088834b8: f70300aa  mov	x23, x0
0xfffffff0088834bc: e0008052  mov	w0, #7
0xfffffff0088834c0: e4e0ff97  bl	#0xfffffff00887b850
0xfffffff0088834c4: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0088834c8: e903162a  mov	w9, w22
0xfffffff0088834cc: ea0315aa  mov	x10, x21
0xfffffff0088834d0: ea2704a9  stp	x10, x9, [sp, #0x40]
0xfffffff0088834d4: e90314aa  mov	x9, x20
0xfffffff0088834d8: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088834dc: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff0088834e0: 08ad0691  add	x8, x8, #0x1ab
0xfffffff0088834e4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088834e8: 484dffd0  adrp	x8, #0xfffffff00722d000
0xfffffff0088834ec: 08fd0891  add	x8, x8, #0x23f
0xfffffff0088834f0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088834f4: 880b8052  mov	w8, #0x5c
0xfffffff0088834f8: f72300a9  stp	x23, x8, [sp]
0xfffffff0088834fc: 204bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008883500: 00003a91  add	x0, x0, #0xe80
0xfffffff008883504: 218cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008883508: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888350c: c34effb0  adrp	x3, #0xfffffff00725c000
0xfffffff008883510: 63300191  add	x3, x3, #0x4c
0xfffffff008883514: 02008052  mov	w2, #0
0xfffffff008883518: 06bfea97  bl	#0xfffffff008333130
0xfffffff00888351c: 414cff90  adrp	x1, #0xfffffff00720b000
0xfffffff008883520: 21001e91  add	x1, x1, #0x780
0xfffffff008883524: e00313aa  mov	x0, x19
0xfffffff008883528: 82008052  mov	w2, #4
0xfffffff00888352c: e30314aa  mov	x3, x20
0xfffffff008883530: e40315aa  mov	x4, x21
0xfffffff008883534: e50316aa  mov	x5, x22
0xfffffff008883538: 4dfeff97  bl	#0xfffffff008882e6c
0xfffffff00888353c: f70300aa  mov	x23, x0
0xfffffff008883540: 1fc00f31  cmn	w0, #0x3f0
0xfffffff008883544: c40a407a  ccmp	w22, #0, #4, eq
0xfffffff008883548: 40010054  b.eq	#0xfffffff008883570
0xfffffff00888354c: 414cff90  adrp	x1, #0xfffffff00720b000
0xfffffff008883550: 21401e91  add	x1, x1, #0x790
0xfffffff008883554: e00313aa  mov	x0, x19
0xfffffff008883558: a2008052  mov	w2, #5
0xfffffff00888355c: e30314aa  mov	x3, x20
0xfffffff008883560: e40315aa  mov	x4, x21
0xfffffff008883564: 25008052  mov	w5, #1
0xfffffff008883568: 41feff97  bl	#0xfffffff008882e6c
0xfffffff00888356c: f70300aa  mov	x23, x0
0xfffffff008883570: f7000035  cbnz	w23, #0xfffffff00888358c
0xfffffff008883574: d6000034  cbz	w22, #0xfffffff00888358c
0xfffffff008883578: e00313aa  mov	x0, x19
