; Candidate 6441
; ADRP+ADD at VM 0xfffffff00882b800 (fileoff 0x1827800): page=0x1fe9be000 add_imm=0xe80

0xfffffff00882b780: f60300aa  mov	x22, x0
0xfffffff00882b784: 8a220294  bl	#0xfffffff0088b41ac
0xfffffff00882b788: f50300aa  mov	x21, x0
0xfffffff00882b78c: 80008052  mov	w0, #4
0xfffffff00882b790: 30400194  bl	#0xfffffff00887b850
0xfffffff00882b794: b6040034  cbz	w22, #0xfffffff00882b828
0xfffffff00882b798: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00882b79c: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b7a0: 08a90091  add	x8, x8, #0x2a
0xfffffff00882b7a4: 092f8052  mov	w9, #0x178
0xfffffff00882b7a8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882b7ac: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b7b0: 08d50691  add	x8, x8, #0x1b5
0xfffffff00882b7b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882b7b8: a80a8052  mov	w8, #0x55
0xfffffff00882b7bc: a04ffff0  adrp	x0, #0xfffffff007222000
0xfffffff00882b7c0: 00e80891  add	x0, x0, #0x23a
0xfffffff00882b7c4: a8ffff17  b	#0xfffffff00882b664
0xfffffff00882b7c8: 79220294  bl	#0xfffffff0088b41ac
0xfffffff00882b7cc: f50300aa  mov	x21, x0
0xfffffff00882b7d0: 80008052  mov	w0, #4
0xfffffff00882b7d4: 1f400194  bl	#0xfffffff00887b850
0xfffffff00882b7d8: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00882b7dc: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b7e0: 08710891  add	x8, x8, #0x21c
0xfffffff00882b7e4: 692e8052  mov	w9, #0x173
0xfffffff00882b7e8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882b7ec: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b7f0: 08d50691  add	x8, x8, #0x1b5
0xfffffff00882b7f4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882b7f8: a80a8052  mov	w8, #0x55
0xfffffff00882b7fc: f52300a9  stp	x21, x8, [sp]
0xfffffff00882b800: e04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882b804: 00003a91  add	x0, x0, #0xe80
0xfffffff00882b808: e18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00882b80c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882b810: 0351ffb0  adrp	x3, #0xfffffff00724c000
0xfffffff00882b814: 63481091  add	x3, x3, #0x412
0xfffffff00882b818: 02008052  mov	w2, #0
0xfffffff00882b81c: 451eec97  bl	#0xfffffff008333130
0xfffffff00882b820: c07e8012  mov	w0, #-0x3f7
0xfffffff00882b824: aaffff17  b	#0xfffffff00882b6cc
0xfffffff00882b828: 61220294  bl	#0xfffffff0088b41ac
0xfffffff00882b82c: f50300aa  mov	x21, x0
0xfffffff00882b830: 80008052  mov	w0, #4
0xfffffff00882b834: 07400194  bl	#0xfffffff00887b850
0xfffffff00882b838: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00882b83c: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b840: 08a90091  add	x8, x8, #0x2a
0xfffffff00882b844: 092f8052  mov	w9, #0x178
0xfffffff00882b848: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882b84c: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b850: 08d50691  add	x8, x8, #0x1b5
0xfffffff00882b854: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882b858: a80a8052  mov	w8, #0x55
0xfffffff00882b85c: f52300a9  stp	x21, x8, [sp]
0xfffffff00882b860: e04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882b864: 00003a91  add	x0, x0, #0xe80
0xfffffff00882b868: e18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00882b86c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882b870: 0351ffb0  adrp	x3, #0xfffffff00724c000
0xfffffff00882b874: 63201191  add	x3, x3, #0x448
0xfffffff00882b878: 02008052  mov	w2, #0
0xfffffff00882b87c: 2d1eec97  bl	#0xfffffff008333130
