; Candidate 16269
; ADRP+ADD at VM 0xfffffff009e3cf1c (fileoff 0x2e38f1c): page=0x1fd9ea000 add_imm=0xd23

0xfffffff009e3ce9c: ff7f00f9  str	xzr, [sp, #0xf8]
0xfffffff009e3cea0: a10640f9  ldr	x1, [x21, #8]
0xfffffff009e3cea4: a3e20291  add	x3, x21, #0xb8
0xfffffff009e3cea8: 627e40f9  ldr	x2, [x19, #0xf8]
0xfffffff009e3ceac: 44d1fed0  adrp	x4, #0xfffffff007866000
0xfffffff009e3ceb0: 84400b91  add	x4, x4, #0x2d0
0xfffffff009e3ceb4: e5e30391  add	x5, sp, #0xf8
0xfffffff009e3ceb8: e00313aa  mov	x0, x19
0xfffffff009e3cebc: 5b970294  bl	#0xfffffff009ee2c28
0xfffffff009e3cec0: fc0300aa  mov	x28, x0
0xfffffff009e3cec4: 80010034  cbz	w0, #0xfffffff009e3cef4
0xfffffff009e3cec8: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff009e3cecc: 28cffed0  adrp	x8, #0xfffffff007822000
0xfffffff009e3ced0: 00a942fd  ldr	d0, [x8, #0x550]
0xfffffff009e3ced4: e0ab00fd  str	d0, [sp, #0x150]
0xfffffff009e3ced8: e2830191  add	x2, sp, #0x60
0xfffffff009e3cedc: e00313aa  mov	x0, x19
0xfffffff009e3cee0: e10315aa  mov	x1, x21
0xfffffff009e3cee4: c56b0494  bl	#0xfffffff009f57df8
0xfffffff009e3cee8: 80040034  cbz	w0, #0xfffffff009e3cf78
0xfffffff009e3ceec: da028052  mov	w26, #0x16
0xfffffff009e3cef0: e6ffff17  b	#0xfffffff009e3ce88
0xfffffff009e3cef4: fa2b00f9  str	x26, [sp, #0x50]
0xfffffff009e3cef8: fc4f00b9  str	w28, [sp, #0x4c]
0xfffffff009e3cefc: 083e8452  mov	w8, #0x21f0
0xfffffff009e3cf00: 6802088b  add	x8, x19, x8
0xfffffff009e3cf04: e9bf40f9  ldr	x9, [sp, #0x178]
0xfffffff009e3cf08: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e3cf0c: 48cffed0  adrp	x8, #0xfffffff007826000
0xfffffff009e3cf10: 08d93291  add	x8, x8, #0xcb6
0xfffffff009e3cf14: 293d8252  mov	w9, #0x11e9
0xfffffff009e3cf18: e82700a9  stp	x8, x9, [sp]
0xfffffff009e3cf1c: 40cffed0  adrp	x0, #0xfffffff007826000
0xfffffff009e3cf20: 008c3491  add	x0, x0, #0xd23
0xfffffff009e3cf24: 680a0194  bl	#0xfffffff009e7f8c4
0xfffffff009e3cf28: e8bf40f9  ldr	x8, [sp, #0x178]
0xfffffff009e3cf2c: fb7f40f9  ldr	x27, [sp, #0xf8]
0xfffffff009e3cf30: 680700f9  str	x8, [x27, #8]
0xfffffff009e3cf34: e00313aa  mov	x0, x19
0xfffffff009e3cf38: 21008052  mov	w1, #1
0xfffffff009e3cf3c: e2031baa  mov	x2, x27
0xfffffff009e3cf40: e30316aa  mov	x3, x22
0xfffffff009e3cf44: 98b10294  bl	#0xfffffff009ee95a4
0xfffffff009e3cf48: fa0300aa  mov	x26, x0
0xfffffff009e3cf4c: 682b4079  ldrh	w8, [x27, #0x14]
0xfffffff009e3cf50: 6803088b  add	x8, x27, x8
0xfffffff009e3cf54: 0081c13c  ldur	q0, [x8, #0x18]
0xfffffff009e3cf58: e057803d  str	q0, [sp, #0x150]
0xfffffff009e3cf5c: fcaf40f9  ldr	x28, [sp, #0x158]
0xfffffff009e3cf60: e0031baa  mov	x0, x27
0xfffffff009e3cf64: 4e940294  bl	#0xfffffff009ee209c
0xfffffff009e3cf68: 1af9ff35  cbnz	w26, #0xfffffff009e3ce88
0xfffffff009e3cf6c: 9b9f4092  and	x27, x28, #0xffffffffff
0xfffffff009e3cf70: fc4f40b9  ldr	w28, [sp, #0x4c]
0xfffffff009e3cf74: 21000014  b	#0xfffffff009e3cff8
0xfffffff009e3cf78: fa2b00f9  str	x26, [sp, #0x50]
0xfffffff009e3cf7c: e03340f9  ldr	x0, [sp, #0x60]
0xfffffff009e3cf80: 1b1040f9  ldr	x27, [x0, #0x20]
0xfffffff009e3cf84: 46940294  bl	#0xfffffff009ee209c
0xfffffff009e3cf88: a87240b9  ldr	w8, [x21, #0x70]
0xfffffff009e3cf8c: e9031baa  mov	x9, x27
0xfffffff009e3cf90: 095d58b3  bfi	x9, x8, #0x28, #0x18
0xfffffff009e3cf94: e9af00f9  str	x9, [sp, #0x158]
0xfffffff009e3cf98: e1bf40f9  ldr	x1, [sp, #0x178]
