; Candidate 3806
; ADRP+ADD at VM 0xfffffff008760df4 (fileoff 0x175cdf4): page=0x1fe9d1000 add_imm=0xd90

0xfffffff008760d74: 8b011633  bfi	w11, w12, #0xa, #1
0xfffffff008760d78: 0b3100b9  str	w11, [x8, #0x30]
0xfffffff008760d7c: 4a595e39  ldrb	w10, [x10, #0x796]
0xfffffff008760d80: 6b791412  and	w11, w11, #0xfffff7ff
0xfffffff008760d84: 6a2d0a2a  orr	w10, w11, w10, lsl #11
0xfffffff008760d88: 0a3100b9  str	w10, [x8, #0x30]
0xfffffff008760d8c: 2b3d40b9  ldr	w11, [x9, #0x3c]
0xfffffff008760d90: 6a0d1133  bfi	w10, w11, #0xf, #4
0xfffffff008760d94: 0a3100b9  str	w10, [x8, #0x30]
0xfffffff008760d98: 2b3940b9  ldr	w11, [x9, #0x38]
0xfffffff008760d9c: 6a0d0d33  bfi	w10, w11, #0x13, #4
0xfffffff008760da0: 0a3100b9  str	w10, [x8, #0x30]
0xfffffff008760da4: 291d40b9  ldr	w9, [x9, #0x1c]
0xfffffff008760da8: 2a050833  bfi	w10, w9, #0x18, #2
0xfffffff008760dac: 0a3100b9  str	w10, [x8, #0x30]
0xfffffff008760db0: 00008052  mov	w0, #0
0xfffffff008760db4: c0035fd6  ret	
0xfffffff008760db8: 5f2403d5  bti	c
0xfffffff008760dbc: e2000034  cbz	w2, #0xfffffff008760dd8
0xfffffff008760dc0: 5f000071  cmp	w2, #0
0xfffffff008760dc4: 48a4821a  cinc	w8, w2, lt
0xfffffff008760dc8: 087d0113  asr	w8, w8, #1
0xfffffff008760dcc: 0839010b  add	w8, w8, w1, lsl #14
0xfffffff008760dd0: 000dc21a  sdiv	w0, w8, w2
0xfffffff008760dd4: c0035fd6  ret	
0xfffffff008760dd8: 7f2303d5  pacibsp	
0xfffffff008760ddc: ff8300d1  sub	sp, sp, #0x20
0xfffffff008760de0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008760de4: fd430091  add	x29, sp, #0x10
0xfffffff008760de8: c84fffb0  adrp	x8, #0xfffffff007159000
0xfffffff008760dec: 08b52a91  add	x8, x8, #0xaad
0xfffffff008760df0: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008760df4: 804effb0  adrp	x0, #0xfffffff007131000
0xfffffff008760df8: 00403691  add	x0, x0, #0xd90
0xfffffff008760dfc: e194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008760e00: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008760e04: 034fffd0  adrp	x3, #0xfffffff007142000
0xfffffff008760e08: 63640b91  add	x3, x3, #0x2d9
0xfffffff008760e0c: c948ef97  bl	#0xfffffff008333130
0xfffffff008760e10: 00008012  mov	w0, #-1
0xfffffff008760e14: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008760e18: ff830091  add	sp, sp, #0x20
0xfffffff008760e1c: ff2303d5  autibsp	
0xfffffff008760e20: c0035fd6  ret	
0xfffffff008760e24: 5f2403d5  bti	c
0xfffffff008760e28: e2010034  cbz	w2, #0xfffffff008760e64
0xfffffff008760e2c: 687c021b  mul	w8, w3, w2
0xfffffff008760e30: 0839014b  sub	w8, w8, w1, lsl #14
0xfffffff008760e34: 2900024b  sub	w9, w1, w2
0xfffffff008760e38: 29491353  lsl	w9, w9, #0xd
0xfffffff008760e3c: 5f000071  cmp	w2, #0
0xfffffff008760e40: 4aa4821a  cinc	w10, w2, lt
0xfffffff008760e44: 29058a0b  add	w9, w9, w10, asr #1
0xfffffff008760e48: 290dc21a  sdiv	w9, w9, w2
0xfffffff008760e4c: 1f010071  cmp	w8, #0
0xfffffff008760e50: 08a5881a  cinc	w8, w8, lt
0xfffffff008760e54: 2805484b  sub	w8, w9, w8, lsr #1
0xfffffff008760e58: 08010211  add	w8, w8, #0x80
0xfffffff008760e5c: 00350012  and	w0, w8, #0x3fff
0xfffffff008760e60: c0035fd6  ret	
0xfffffff008760e64: 7f2303d5  pacibsp	
0xfffffff008760e68: ff8300d1  sub	sp, sp, #0x20
0xfffffff008760e6c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008760e70: fd430091  add	x29, sp, #0x10
