; Candidate 6258
; ADRP+ADD at VM 0xfffffff00881da0c (fileoff 0x1819a0c): page=0x1fe9cc000 add_imm=0xe80

0xfffffff00881d98c: 63800291  add	x3, x3, #0xa0
0xfffffff00881d990: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881d994: f60300f9  str	x22, [sp]
0xfffffff00881d998: 604eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00881d99c: 00003a91  add	x0, x0, #0xe80
0xfffffff00881d9a0: 418ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00881d9a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881d9a8: 02008052  mov	w2, #0
0xfffffff00881d9ac: e155ec97  bl	#0xfffffff008333130
0xfffffff00881d9b0: f60317aa  mov	x22, x23
0xfffffff00881d9b4: e6000014  b	#0xfffffff00881dd4c
0xfffffff00881d9b8: fd590294  bl	#0xfffffff0088b41ac
0xfffffff00881d9bc: f70300aa  mov	x23, x0
0xfffffff00881d9c0: 80008052  mov	w0, #4
0xfffffff00881d9c4: a3770194  bl	#0xfffffff00887b850
0xfffffff00881d9c8: e80316aa  mov	x8, x22
0xfffffff00881d9cc: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881d9d0: e82b00f9  str	x8, [sp, #0x50]
0xfffffff00881d9d4: e80315aa  mov	x8, x21
0xfffffff00881d9d8: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00881d9dc: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881d9e0: 884ffff0  adrp	x8, #0xfffffff007210000
0xfffffff00881d9e4: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881d9e8: a9708152  mov	w9, #0xb85
0xfffffff00881d9ec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881d9f0: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881d9f4: 08bd3391  add	x8, x8, #0xcef
0xfffffff00881d9f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881d9fc: 880e8052  mov	w8, #0x74
0xfffffff00881da00: 6351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff00881da04: 63500391  add	x3, x3, #0xd4
0xfffffff00881da08: f72300a9  stp	x23, x8, [sp]
0xfffffff00881da0c: 604eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00881da10: 00003a91  add	x0, x0, #0xe80
0xfffffff00881da14: 418ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00881da18: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881da1c: 02008052  mov	w2, #0
0xfffffff00881da20: c455ec97  bl	#0xfffffff008333130
0xfffffff00881da24: ca000014  b	#0xfffffff00881dd4c
0xfffffff00881da28: 800e8052  mov	w0, #0x74
0xfffffff00881da2c: 81008052  mov	w1, #4
0xfffffff00881da30: 68770194  bl	#0xfffffff00887b7d0
0xfffffff00881da34: a0180034  cbz	w0, #0xfffffff00881dd48
0xfffffff00881da38: 800e8052  mov	w0, #0x74
0xfffffff00881da3c: 77770194  bl	#0xfffffff00887b818
0xfffffff00881da40: f70300aa  mov	x23, x0
0xfffffff00881da44: da590294  bl	#0xfffffff0088b41ac
0xfffffff00881da48: f60300aa  mov	x22, x0
0xfffffff00881da4c: 80008052  mov	w0, #4
0xfffffff00881da50: 80770194  bl	#0xfffffff00887b850
0xfffffff00881da54: 37060034  cbz	w23, #0xfffffff00881db18
0xfffffff00881da58: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00881da5c: e90315aa  mov	x9, x21
0xfffffff00881da60: e9ff04a9  stp	x9, xzr, [sp, #0x48]
0xfffffff00881da64: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff00881da68: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881da6c: 08e51191  add	x8, x8, #0x479
0xfffffff00881da70: 49718152  mov	w9, #0xb8a
0xfffffff00881da74: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881da78: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881da7c: 08bd3391  add	x8, x8, #0xcef
0xfffffff00881da80: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881da84: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881da88: 880e8052  mov	w8, #0x74
