; Candidate 5207
; ADRP+ADD at VM 0xfffffff0087df8b8 (fileoff 0x17db8b8): page=0x1fea0a000 add_imm=0xe80

0xfffffff0087df838: 601000b4  cbz	x0, #0xfffffff0087dfa44
0xfffffff0087df83c: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff0087df840: 100040f9  ldr	x16, [x0]
0xfffffff0087df844: f10300aa  mov	x17, x0
0xfffffff0087df848: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087df84c: 301ac1da  autda	x16, x17
0xfffffff0087df850: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff0087df854: e90310aa  mov	x9, x16
0xfffffff0087df858: f10309aa  mov	x17, x9
0xfffffff0087df85c: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff0087df860: 11093fd7  blraa	x8, x17
0xfffffff0087df864: 1a008052  mov	w26, #0
0xfffffff0087df868: ca000014  b	#0xfffffff0087dfb90
0xfffffff0087df86c: 50520394  bl	#0xfffffff0088b41ac
0xfffffff0087df870: fa0300aa  mov	x26, x0
0xfffffff0087df874: c0008052  mov	w0, #6
0xfffffff0087df878: f66f0294  bl	#0xfffffff00887b850
0xfffffff0087df87c: e80319aa  mov	x8, x25
0xfffffff0087df880: e86305a9  stp	x8, x24, [sp, #0x50]
0xfffffff0087df884: f65f04a9  stp	x22, x23, [sp, #0x40]
0xfffffff0087df888: e80315aa  mov	x8, x21
0xfffffff0087df88c: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff0087df890: 8851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087df894: 08991491  add	x8, x8, #0x526
0xfffffff0087df898: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087df89c: 8851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087df8a0: 081d0291  add	x8, x8, #0x87
0xfffffff0087df8a4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087df8a8: 280a8052  mov	w8, #0x51
0xfffffff0087df8ac: e352ffb0  adrp	x3, #0xfffffff00723c000
0xfffffff0087df8b0: 63100e91  add	x3, x3, #0x384
0xfffffff0087df8b4: fa2300a9  stp	x26, x8, [sp]
0xfffffff0087df8b8: 4050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087df8bc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087df8c0: 4191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087df8c4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087df8c8: 02008052  mov	w2, #0
0xfffffff0087df8cc: 194eed97  bl	#0xfffffff008333130
0xfffffff0087df8d0: b4f7ffb5  cbnz	x20, #0xfffffff0087df7c4
0xfffffff0087df8d4: 200a8052  mov	w0, #0x51
0xfffffff0087df8d8: 81008052  mov	w1, #4
0xfffffff0087df8dc: bd6f0294  bl	#0xfffffff00887b7d0
0xfffffff0087df8e0: e00a0034  cbz	w0, #0xfffffff0087dfa3c
0xfffffff0087df8e4: 200a8052  mov	w0, #0x51
0xfffffff0087df8e8: cc6f0294  bl	#0xfffffff00887b818
0xfffffff0087df8ec: fb0300aa  mov	x27, x0
0xfffffff0087df8f0: 2f520394  bl	#0xfffffff0088b41ac
0xfffffff0087df8f4: fa0300aa  mov	x26, x0
0xfffffff0087df8f8: 80008052  mov	w0, #4
0xfffffff0087df8fc: d56f0294  bl	#0xfffffff00887b850
0xfffffff0087df900: 5b060034  cbz	w27, #0xfffffff0087df9c8
0xfffffff0087df904: e80319aa  mov	x8, x25
0xfffffff0087df908: e86306a9  stp	x8, x24, [sp, #0x60]
0xfffffff0087df90c: f65f05a9  stp	x22, x23, [sp, #0x50]
0xfffffff0087df910: e80315aa  mov	x8, x21
0xfffffff0087df914: 8951fff0  adrp	x9, #0xfffffff007212000
0xfffffff0087df918: 29e11591  add	x9, x9, #0x578
0xfffffff0087df91c: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff0087df920: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff0087df924: 28638052  mov	w8, #0x319
0xfffffff0087df928: 8951fff0  adrp	x9, #0xfffffff007212000
0xfffffff0087df92c: 29991491  add	x9, x9, #0x526
0xfffffff0087df930: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087df934: 8851fff0  adrp	x8, #0xfffffff007212000
