; Candidate 11080
; ADRP+ADD at VM 0xfffffff008e4cf88 (fileoff 0x1e48f88): page=0x1fe588000 add_imm=0xe0c

0xfffffff008e4cf08: 63008052  mov	w3, #3
0xfffffff008e4cf0c: 24008052  mov	w4, #1
0xfffffff008e4cf10: 25008052  mov	w5, #1
0xfffffff008e4cf14: 91ba0094  bl	#0xfffffff008e7b958
0xfffffff008e4cf18: e00313aa  mov	x0, x19
0xfffffff008e4cf1c: 81058c52  mov	w1, #0x602c
0xfffffff008e4cf20: 8100a072  movk	w1, #4, lsl #16
0xfffffff008e4cf24: 02008052  mov	w2, #0
0xfffffff008e4cf28: 7fba0094  bl	#0xfffffff008e7b924
0xfffffff008e4cf2c: e00313aa  mov	x0, x19
0xfffffff008e4cf30: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008e4cf34: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008e4cf38: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008e4cf3c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008e4cf40: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff008e4cf44: ffc30191  add	sp, sp, #0x70
0xfffffff008e4cf48: ff2303d5  autibsp	
0xfffffff008e4cf4c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008e4cf50: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008e4cf58
0xfffffff008e4cf54: 208e38d4  brk	#0xc471
0xfffffff008e4cf58: 89bb0014  b	#0xfffffff008e7bd7c
0xfffffff008e4cf5c: 88618052  mov	w8, #0x30c
0xfffffff008e4cf60: 492cff90  adrp	x9, #0xfffffff0073d4000
0xfffffff008e4cf64: 29853591  add	x9, x9, #0xd61
0xfffffff008e4cf68: e3a300a9  stp	x3, x8, [sp, #8]
0xfffffff008e4cf6c: e90300f9  str	x9, [sp]
0xfffffff008e4cf70: 402cff90  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4cf74: 008c3791  add	x0, x0, #0xde3
0xfffffff008e4cf78: 06000014  b	#0xfffffff008e4cf90
0xfffffff008e4cf7c: 482cff90  adrp	x8, #0xfffffff0073d4000
0xfffffff008e4cf80: 08853591  add	x8, x8, #0xd61
0xfffffff008e4cf84: e80300f9  str	x8, [sp]
0xfffffff008e4cf88: 402cff90  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4cf8c: 00303891  add	x0, x0, #0xe0c
0xfffffff008e4cf90: 2428d497  bl	#0xfffffff008357020
0xfffffff008e4cf94: 000080d2  mov	x0, #0
0xfffffff008e4cf98: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008e4cf9c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008e4cfa0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008e4cfa4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008e4cfa8: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff008e4cfac: ffc30191  add	sp, sp, #0x70
0xfffffff008e4cfb0: ff0f5fd6  retab	
0xfffffff008e4cfb4: 7f2303d5  pacibsp	
0xfffffff008e4cfb8: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff008e4cfbc: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008e4cfc0: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008e4cfc4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008e4cfc8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008e4cfcc: fd030191  add	x29, sp, #0x40
0xfffffff008e4cfd0: f30301aa  mov	x19, x1
0xfffffff008e4cfd4: f50300aa  mov	x21, x0
0xfffffff008e4cfd8: 00a84df9  ldr	x0, [x0, #0x1b50]
0xfffffff008e4cfdc: c10c8052  mov	w1, #0x66
0xfffffff008e4cfe0: edd1ff97  bl	#0xfffffff008e41794
0xfffffff008e4cfe4: f40300aa  mov	x20, x0
0xfffffff008e4cfe8: b00240f9  ldr	x16, [x21]
0xfffffff008e4cfec: f10315aa  mov	x17, x21
0xfffffff008e4cff0: 1178f1f2  movk	x17, #0x8bc0, lsl #48
0xfffffff008e4cff4: 301ac1da  autda	x16, x17
0xfffffff008e4cff8: 118b80d2  mov	x17, #0x458
0xfffffff008e4cffc: 1002118b  add	x16, x16, x17
0xfffffff008e4d000: 080240f9  ldr	x8, [x16]
0xfffffff008e4d004: e90310aa  mov	x9, x16
