; Candidate 4208
; ADRP+ADD at VM 0xfffffff00879693c (fileoff 0x179293c): page=0x1fe99b000 add_imm=0xd90

0xfffffff0087968bc: 08798552  mov	w8, #0x2bc8
0xfffffff0087968c0: 606aa83c  str	q0, [x19, x8]
0xfffffff0087968c4: 60da55f9  ldr	x0, [x19, #0x2bb0]
0xfffffff0087968c8: a00000b4  cbz	x0, #0xfffffff0087968dc
0xfffffff0087968cc: 61c26bb9  ldr	w1, [x19, #0x2bc0]
0xfffffff0087968d0: 2c01ef97  bl	#0xfffffff008356d80
0xfffffff0087968d4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0087968d8: 60ee8a3d  str	q0, [x19, #0x2bb0]
0xfffffff0087968dc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087968e0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0087968e4: ff0f5fd6  retab	
0xfffffff0087968e8: 5f2403d5  bti	c
0xfffffff0087968ec: 08906bb9  ldr	w8, [x0, #0x2b90]
0xfffffff0087968f0: 1f010071  cmp	w8, #0
0xfffffff0087968f4: e0079f1a  cset	w0, ne
0xfffffff0087968f8: c0035fd6  ret	
0xfffffff0087968fc: 7f2303d5  pacibsp	
0xfffffff008796900: ff8301d1  sub	sp, sp, #0x60
0xfffffff008796904: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008796908: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00879690c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008796910: fd430191  add	x29, sp, #0x50
0xfffffff008796914: 287840b9  ldr	w8, [x1, #0x78]
0xfffffff008796918: 1f450071  cmp	w8, #0x11
0xfffffff00879691c: 23020054  b.lo	#0xfffffff008796960
0xfffffff008796920: 53588052  mov	w19, #0x2c2
0xfffffff008796924: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008796928: 09028052  mov	w9, #0x10
0xfffffff00879692c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008796930: 294effb0  adrp	x9, #0xfffffff00715b000
0xfffffff008796934: 299d0991  add	x9, x9, #0x267
0xfffffff008796938: e90300f9  str	x9, [sp]
0xfffffff00879693c: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796940: 00403691  add	x0, x0, #0xd90
0xfffffff008796944: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796948: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879694c: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff008796950: 63ac3591  add	x3, x3, #0xd6b
0xfffffff008796954: 02008052  mov	w2, #0
0xfffffff008796958: f671ee97  bl	#0xfffffff008333130
0xfffffff00879695c: 3b000014  b	#0xfffffff008796a48
0xfffffff008796960: f50301aa  mov	x21, x1
0xfffffff008796964: 287c40b9  ldr	w8, [x1, #0x7c]
0xfffffff008796968: 1f050471  cmp	w8, #0x101
0xfffffff00879696c: 23020054  b.lo	#0xfffffff0087969b0
0xfffffff008796970: 53588052  mov	w19, #0x2c2
0xfffffff008796974: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008796978: 09208052  mov	w9, #0x100
0xfffffff00879697c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008796980: 294effb0  adrp	x9, #0xfffffff00715b000
0xfffffff008796984: 299d0991  add	x9, x9, #0x267
0xfffffff008796988: e90300f9  str	x9, [sp]
0xfffffff00879698c: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796990: 00403691  add	x0, x0, #0xd90
0xfffffff008796994: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796998: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879699c: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff0087969a0: 637c3691  add	x3, x3, #0xd9f
0xfffffff0087969a4: 02008052  mov	w2, #0
0xfffffff0087969a8: e271ee97  bl	#0xfffffff008333130
0xfffffff0087969ac: 27000014  b	#0xfffffff008796a48
0xfffffff0087969b0: f40300aa  mov	x20, x0
0xfffffff0087969b4: 086869b9  ldr	w8, [x0, #0x2968]
0xfffffff0087969b8: 09050051  sub	w9, w8, #1
