; Candidate 2755
; ADRP+ADD at VM 0xfffffff0086e69cc (fileoff 0x16e29cc): page=0x1fea4b000 add_imm=0xd90

0xfffffff0086e694c: eb030caa  mov	x11, x12
0xfffffff0086e6950: 29050071  subs	w9, w9, #1
0xfffffff0086e6954: a1feff54  b.ne	#0xfffffff0086e6928
0xfffffff0086e6958: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e695c: 290140b9  ldr	w9, [x9]
0xfffffff0086e6960: 3f011a6a  tst	w9, w26
0xfffffff0086e6964: 80010054  b.eq	#0xfffffff0086e6994
0xfffffff0086e6968: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e696c: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e6970: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6974: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e6978: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e697c: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e6980: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e6984: 02008052  mov	w2, #0
0xfffffff0086e6988: ea31f197  bl	#0xfffffff008333130
0xfffffff0086e698c: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e6990: 080240b9  ldr	w8, [x16]
0xfffffff0086e6994: 957e1f53  lsr	w21, w20, #0x1f
0xfffffff0086e6998: 897a1f53  lsl	w9, w20, #1
0xfffffff0086e699c: 290200b9  str	w9, [x17]
0xfffffff0086e69a0: 08050051  sub	w8, w8, #1
0xfffffff0086e69a4: 080200b9  str	w8, [x16]
0xfffffff0086e69a8: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e69ac: 290140b9  ldr	w9, [x9]
0xfffffff0086e69b0: 3f011a6a  tst	w9, w26
0xfffffff0086e69b4: e0010054  b.eq	#0xfffffff0086e69f0
0xfffffff0086e69b8: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0086e69bc: 4853ffd0  adrp	x8, #0xfffffff007150000
0xfffffff0086e69c0: 08d11491  add	x8, x8, #0x534
0xfffffff0086e69c4: 29008052  mov	w9, #1
0xfffffff0086e69c8: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e69cc: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e69d0: 00403691  add	x0, x0, #0xd90
0xfffffff0086e69d4: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e69d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e69dc: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e69e0: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e69e4: 02008052  mov	w2, #0
0xfffffff0086e69e8: d231f197  bl	#0xfffffff008333130
0xfffffff0086e69ec: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e69f0: 140080d2  mov	x20, #0
0xfffffff0086e69f4: 080340f9  ldr	x8, [x24]
0xfffffff0086e69f8: 15dd0039  strb	w21, [x8, #0x37]
0xfffffff0086e69fc: 080340f9  ldr	x8, [x24]
0xfffffff0086e6a00: 08dd4039  ldrb	w8, [x8, #0x37]
0xfffffff0086e6a04: a8000034  cbz	w8, #0xfffffff0086e6a18
0xfffffff0086e6a08: e00313aa  mov	x0, x19
0xfffffff0086e6a0c: 60130094  bl	#0xfffffff0086eb78c
0xfffffff0086e6a10: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e6a14: 02000014  b	#0xfffffff0086e6a1c
0xfffffff0086e6a18: e01f8052  mov	w0, #0xff
0xfffffff0086e6a1c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0086e6a20: 0801148b  add	x8, x8, x20
0xfffffff0086e6a24: 001d0039  strb	w0, [x8, #7]
0xfffffff0086e6a28: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0086e6a2c: 0801148b  add	x8, x8, x20
0xfffffff0086e6a30: 00e10039  strb	w0, [x8, #0x38]
0xfffffff0086e6a34: 94060091  add	x20, x20, #1
0xfffffff0086e6a38: 9f0e00f1  cmp	x20, #3
0xfffffff0086e6a3c: 01feff54  b.ne	#0xfffffff0086e69fc
0xfffffff0086e6a40: 080240b9  ldr	w8, [x16]
0xfffffff0086e6a44: 68000034  cbz	w8, #0xfffffff0086e6a50
0xfffffff0086e6a48: 340240b9  ldr	w20, [x17]
