; Candidate 10723
; ADRP+ADD at VM 0xfffffff008de4408 (fileoff 0x1de0408): page=0x1fe5e0000 add_imm=0xd21

0xfffffff008de4388: ea2700a9  stp	x10, x9, [sp]
0xfffffff008de438c: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4390: 00543891  add	x0, x0, #0xe15
0xfffffff008de4394: 23cbd597  bl	#0xfffffff008357020
0xfffffff008de4398: 75ffff17  b	#0xfffffff008de416c
0xfffffff008de439c: 7f2303d5  pacibsp	
0xfffffff008de43a0: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008de43a4: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008de43a8: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008de43ac: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008de43b0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008de43b4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008de43b8: fd430191  add	x29, sp, #0x50
0xfffffff008de43bc: ff4300d1  sub	sp, sp, #0x10
0xfffffff008de43c0: f50303aa  mov	x21, x3
0xfffffff008de43c4: f60302aa  mov	x22, x2
0xfffffff008de43c8: f40301aa  mov	x20, x1
0xfffffff008de43cc: f30300aa  mov	x19, x0
0xfffffff008de43d0: 6868ff90  adrp	x8, #0xfffffff007af0000
0xfffffff008de43d4: 086946f9  ldr	x8, [x8, #0xcd0]
0xfffffff008de43d8: 080140f9  ldr	x8, [x8]
0xfffffff008de43dc: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008de43e0: dba800f0  adrp	x27, #0xfffffff00a2ff000
0xfffffff008de43e4: 7b432c91  add	x27, x27, #0xb10
0xfffffff008de43e8: 68034039  ldrb	w8, [x27]
0xfffffff008de43ec: f92effd0  adrp	x25, #0xfffffff0073c2000
0xfffffff008de43f0: 39c70e91  add	x25, x25, #0x3b1
0xfffffff008de43f4: fa2effb0  adrp	x26, #0xfffffff0073c1000
0xfffffff008de43f8: 5a9f0c91  add	x26, x26, #0x327
0xfffffff008de43fc: 1f290071  cmp	w8, #0xa
0xfffffff008de4400: c8000054  b.hi	#0xfffffff008de4418
0xfffffff008de4404: fa67bfa9  stp	x26, x25, [sp, #-0x10]!
0xfffffff008de4408: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de440c: 00843491  add	x0, x0, #0xd21
0xfffffff008de4410: 04cbd597  bl	#0xfffffff008357020
0xfffffff008de4414: ff430091  add	sp, sp, #0x10
0xfffffff008de4418: 730800b4  cbz	x19, #0xfffffff008de4524
0xfffffff008de441c: 560000b5  cbnz	x22, #0xfffffff008de4424
0xfffffff008de4420: 750900b5  cbnz	x21, #0xfffffff008de454c
0xfffffff008de4424: bf0604f1  cmp	x21, #0x101
0xfffffff008de4428: 620a0054  b.hs	#0xfffffff008de4574
0xfffffff008de442c: bf0e40f2  tst	x21, #0xf
0xfffffff008de4430: 610b0054  b.ne	#0xfffffff008de459c
0xfffffff008de4434: fc030091  mov	x28, sp
0xfffffff008de4438: b7220091  add	x23, x21, #8
0xfffffff008de443c: e90317aa  mov	x9, x23
0xfffffff008de4440: 7068ff90  adrp	x16, #0xfffffff007af0000
0xfffffff008de4444: 108646f9  ldr	x16, [x16, #0xd08]
0xfffffff008de4448: 1f0a3fd6  blraaz	x16
0xfffffff008de444c: e8030091  mov	x8, sp
0xfffffff008de4450: a95e0091  add	x9, x21, #0x17
0xfffffff008de4454: 29ed7c92  and	x9, x9, #0xfffffffffffffff0
0xfffffff008de4458: 180109cb  sub	x24, x8, x9
0xfffffff008de445c: 1f030091  mov	sp, x24
0xfffffff008de4460: e00318aa  mov	x0, x24
0xfffffff008de4464: e10317aa  mov	x1, x23
0xfffffff008de4468: b6a1bd97  bl	#0xfffffff007d4cb40
0xfffffff008de446c: 28008052  mov	w8, #1
0xfffffff008de4470: 08570029  stp	w8, w21, [x24]
0xfffffff008de4474: b50000b4  cbz	x21, #0xfffffff008de4488
0xfffffff008de4478: 00230091  add	x0, x24, #8
0xfffffff008de447c: e10316aa  mov	x1, x22
0xfffffff008de4480: e20315aa  mov	x2, x21
0xfffffff008de4484: 43a1bd97  bl	#0xfffffff007d4c990
