; Candidate 501
; ADRP+ADD at VM 0xfffffff007f41f30 (fileoff 0xf3df30): page=0x22fc000 add_imm=0xe00

0xfffffff007f41eb0: 800000b5  cbnz	x0, #0xfffffff007f41ec0
0xfffffff007f41eb4: 922cfb97  bl	#0xfffffff007e0d0fc
0xfffffff007f41eb8: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff007f41ebc: 801500b4  cbz	x0, #0xfffffff007f4216c
0xfffffff007f41ec0: 08505139  ldrb	w8, [x0, #0x454]
0xfffffff007f41ec4: 88081036  tbz	w8, #2, #0xfffffff007f41fd4
0xfffffff007f41ec8: 790240b9  ldr	w25, [x19]
0xfffffff007f41ecc: 3f030471  cmp	w25, #0x100
0xfffffff007f41ed0: 28080054  b.hi	#0xfffffff007f41fd4
0xfffffff007f41ed4: 52000014  b	#0xfffffff007f4201c
0xfffffff007f41ed8: 086d8e52  mov	w8, #0x7368
0xfffffff007f41edc: 8800b072  movk	w8, #0x8004, lsl #16
0xfffffff007f41ee0: 3f0008eb  cmp	x1, x8
0xfffffff007f41ee4: 81070054  b.ne	#0xfffffff007f41fd4
0xfffffff007f41ee8: 080080d2  mov	x8, #0
0xfffffff007f41eec: 94d038d5  mrs	x20, tpidr_el1
0xfffffff007f41ef0: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff007f41ef4: f6170190  adrp	x22, #0xfffffff00a23d000
0xfffffff007f41ef8: d6c22491  add	x22, x22, #0x930
0xfffffff007f41efc: c97ee8c8  casa	x8, x9, [x22]
0xfffffff007f41f00: 1f0100f1  cmp	x8, #0
0xfffffff007f41f04: e1110054  b.ne	#0xfffffff007f42140
0xfffffff007f41f08: 680240b9  ldr	w8, [x19]
0xfffffff007f41f0c: e9170190  adrp	x9, #0xfffffff00a23d000
0xfffffff007f41f10: 29014eb9  ldr	w9, [x9, #0xe00]
0xfffffff007f41f14: 3f01086b  cmp	w9, w8
0xfffffff007f41f18: 21060054  b.ne	#0xfffffff007f41fdc
0xfffffff007f41f1c: e8170190  adrp	x8, #0xfffffff00a23d000
0xfffffff007f41f20: 09054eb9  ldr	w9, [x8, #0xe04]
0xfffffff007f41f24: 29050071  subs	w9, w9, #1
0xfffffff007f41f28: 09050eb9  str	w9, [x8, #0xe04]
0xfffffff007f41f2c: ec000054  b.gt	#0xfffffff007f41f48
0xfffffff007f41f30: e0170190  adrp	x0, #0xfffffff00a23d000
0xfffffff007f41f34: 00003891  add	x0, x0, #0xe00
0xfffffff007f41f38: 1f0000b9  str	wzr, [x0]
0xfffffff007f41f3c: 01008052  mov	w1, #0
0xfffffff007f41f40: 02008052  mov	w2, #0
0xfffffff007f41f44: fd08fa97  bl	#0xfffffff007dc4338
0xfffffff007f41f48: 15008052  mov	w21, #0
0xfffffff007f41f4c: 25000014  b	#0xfffffff007f41fe0
0xfffffff007f41f50: 15008052  mov	w21, #0
0xfffffff007f41f54: 880640f9  ldr	x8, [x20, #8]
0xfffffff007f41f58: 091d40b9  ldr	w9, [x8, #0x1c]
0xfffffff007f41f5c: 29011e32  orr	w9, w9, #4
0xfffffff007f41f60: 091d00b9  str	w9, [x8, #0x1c]
0xfffffff007f41f64: 24000014  b	#0xfffffff007f41ff4
0xfffffff007f41f68: 15008052  mov	w21, #0
0xfffffff007f41f6c: 880640f9  ldr	x8, [x20, #8]
0xfffffff007f41f70: 091d40b9  ldr	w9, [x8, #0x1c]
0xfffffff007f41f74: 29011d32  orr	w9, w9, #8
0xfffffff007f41f78: 091d00b9  str	w9, [x8, #0x1c]
0xfffffff007f41f7c: 1e000014  b	#0xfffffff007f41ff4
0xfffffff007f41f80: c30000b4  cbz	x3, #0xfffffff007f41f98
0xfffffff007f41f84: 680040f9  ldr	x8, [x3]
0xfffffff007f41f88: 00f97ff2  ands	x0, x8, #-2
0xfffffff007f41f8c: 60000054  b.eq	#0xfffffff007f41f98
0xfffffff007f41f90: 132cfb97  bl	#0xfffffff007e0cfdc
0xfffffff007f41f94: 800000b5  cbnz	x0, #0xfffffff007f41fa4
0xfffffff007f41f98: 592cfb97  bl	#0xfffffff007e0d0fc
0xfffffff007f41f9c: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff007f41fa0: e00e00b4  cbz	x0, #0xfffffff007f4217c
0xfffffff007f41fa4: 08505139  ldrb	w8, [x0, #0x454]
0xfffffff007f41fa8: 68011037  tbnz	w8, #2, #0xfffffff007f41fd4
0xfffffff007f41fac: e0030091  mov	x0, sp
