; Candidate 5518
; ADRP+ADD at VM 0xfffffff0087f5fe8 (fileoff 0x17f1fe8): page=0x1fe9f4000 add_imm=0xe80

0xfffffff0087f5f68: e9eb04a9  stp	x9, x26, [sp, #0x48]
0xfffffff0087f5f6c: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f5f70: c850fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087f5f74: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087f5f78: e98f8052  mov	w9, #0x47f
0xfffffff0087f5f7c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f5f80: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f5f84: 08213591  add	x8, x8, #0xd48
0xfffffff0087f5f88: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f5f8c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f5f90: e80e8052  mov	w8, #0x77
0xfffffff0087f5f94: 0051ffb0  adrp	x0, #0xfffffff007216000
0xfffffff0087f5f98: 00501f91  add	x0, x0, #0x7d4
0xfffffff0087f5f9c: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f5fa0: f2feff17  b	#0xfffffff0087f5b68
0xfffffff0087f5fa4: 82f80294  bl	#0xfffffff0088b41ac
0xfffffff0087f5fa8: f40300aa  mov	x20, x0
0xfffffff0087f5fac: 80008052  mov	w0, #4
0xfffffff0087f5fb0: 28160294  bl	#0xfffffff00887b850
0xfffffff0087f5fb4: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f5fb8: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f5fbc: f82704a9  stp	x24, x9, [sp, #0x40]
0xfffffff0087f5fc0: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087f5fc4: 0851ffb0  adrp	x8, #0xfffffff007216000
0xfffffff0087f5fc8: 08c50191  add	x8, x8, #0x71
0xfffffff0087f5fcc: 096d8052  mov	w9, #0x368
0xfffffff0087f5fd0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f5fd4: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f5fd8: 08213591  add	x8, x8, #0xd48
0xfffffff0087f5fdc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f5fe0: e80e8052  mov	w8, #0x77
0xfffffff0087f5fe4: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f5fe8: a04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f5fec: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f5ff0: 8190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f5ff4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f5ff8: 4352fff0  adrp	x3, #0xfffffff007240000
0xfffffff0087f5ffc: 63542d91  add	x3, x3, #0xb55
0xfffffff0087f6000: 02008052  mov	w2, #0
0xfffffff0087f6004: 4bf4ec97  bl	#0xfffffff008333130
0xfffffff0087f6008: b3fdff17  b	#0xfffffff0087f56d4
0xfffffff0087f600c: e00e8052  mov	w0, #0x77
0xfffffff0087f6010: 81008052  mov	w1, #4
0xfffffff0087f6014: ef150294  bl	#0xfffffff00887b7d0
0xfffffff0087f6018: e0b5ff34  cbz	w0, #0xfffffff0087f56d4
0xfffffff0087f601c: e00e8052  mov	w0, #0x77
0xfffffff0087f6020: fe150294  bl	#0xfffffff00887b818
0xfffffff0087f6024: f50300aa  mov	x21, x0
0xfffffff0087f6028: 61f80294  bl	#0xfffffff0088b41ac
0xfffffff0087f602c: f40300aa  mov	x20, x0
0xfffffff0087f6030: 80008052  mov	w0, #4
0xfffffff0087f6034: 07160294  bl	#0xfffffff00887b850
0xfffffff0087f6038: 15320034  cbz	w21, #0xfffffff0087f6678
0xfffffff0087f603c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f6040: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f6044: e9ff04a9  stp	x9, xzr, [sp, #0x48]
0xfffffff0087f6048: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f604c: c850fff0  adrp	x8, #0xfffffff007211000
0xfffffff0087f6050: 089d2c91  add	x8, x8, #0xb27
0xfffffff0087f6054: 69788052  mov	w9, #0x3c3
0xfffffff0087f6058: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f605c: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f6060: 08213591  add	x8, x8, #0xd48
0xfffffff0087f6064: e8a701a9  stp	x8, x9, [sp, #0x18]
