; Candidate 4182
; ADRP+ADD at VM 0xfffffff00879545c (fileoff 0x179145c): page=0x1fe99c000 add_imm=0xd90

0xfffffff0087953dc: 659e4529  ldp	w5, w7, [x19, #0x2c]
0xfffffff0087953e0: cdbefe97  bl	#0xfffffff008744f14
0xfffffff0087953e4: 16000014  b	#0xfffffff00879543c
0xfffffff0087953e8: 9f2403d5  bti	j
0xfffffff0087953ec: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff0087953f0: 630a40b9  ldr	w3, [x19, #8]
0xfffffff0087953f4: 844241b9  ldr	w4, [x20, #0x140]
0xfffffff0087953f8: 66120191  add	x6, x19, #0x44
0xfffffff0087953fc: 67121191  add	x7, x19, #0x444
0xfffffff008795400: 654648b9  ldr	w5, [x19, #0x844]
0xfffffff008795404: 19befe97  bl	#0xfffffff008744c68
0xfffffff008795408: 0d000014  b	#0xfffffff00879543c
0xfffffff00879540c: 9f2403d5  bti	j
0xfffffff008795410: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff008795414: 630a40b9  ldr	w3, [x19, #8]
0xfffffff008795418: 844241b9  ldr	w4, [x20, #0x140]
0xfffffff00879541c: 654648b9  ldr	w5, [x19, #0x844]
0xfffffff008795420: 66120191  add	x6, x19, #0x44
0xfffffff008795424: 67121191  add	x7, x19, #0x444
0xfffffff008795428: 68d20091  add	x8, x19, #0x34
0xfffffff00879542c: 693240b9  ldr	w9, [x19, #0x30]
0xfffffff008795430: e90b00b9  str	w9, [sp, #8]
0xfffffff008795434: e80300f9  str	x8, [sp]
0xfffffff008795438: 1fbffe97  bl	#0xfffffff0087450b4
0xfffffff00879543c: f50300aa  mov	x21, x0
0xfffffff008795440: e0010034  cbz	w0, #0xfffffff00879547c
0xfffffff008795444: 884241b9  ldr	w8, [x20, #0x140]
0xfffffff008795448: 690e40b9  ldr	w9, [x19, #0xc]
0xfffffff00879544c: e95701a9  stp	x9, x21, [sp, #0x10]
0xfffffff008795450: 294effd0  adrp	x9, #0xfffffff00715b000
0xfffffff008795454: 29510c91  add	x9, x9, #0x314
0xfffffff008795458: e92300a9  stp	x9, x8, [sp]
0xfffffff00879545c: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008795460: 00403691  add	x0, x0, #0xd90
0xfffffff008795464: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795468: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879546c: 834dfff0  adrp	x3, #0xfffffff007148000
0xfffffff008795470: 63700c91  add	x3, x3, #0x31c
0xfffffff008795474: 02008052  mov	w2, #0
0xfffffff008795478: 2e77ee97  bl	#0xfffffff008333130
0xfffffff00879547c: e00315aa  mov	x0, x21
0xfffffff008795480: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008795484: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008795488: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00879548c: ff430191  add	sp, sp, #0x50
0xfffffff008795490: ff0f5fd6  retab	
0xfffffff008795494: 0c000000  udf	#0xc
0xfffffff008795498: 30000000  udf	#0x30
0xfffffff00879549c: 48000000  udf	#0x48
0xfffffff0087954a0: 64000000  udf	#0x64
0xfffffff0087954a4: 84000000  udf	#0x84
0xfffffff0087954a8: a8000000  udf	#0xa8
0xfffffff0087954ac: 7f2303d5  pacibsp	
0xfffffff0087954b0: ffc304d1  sub	sp, sp, #0x130
0xfffffff0087954b4: fa670ea9  stp	x26, x25, [sp, #0xe0]
0xfffffff0087954b8: f85f0fa9  stp	x24, x23, [sp, #0xf0]
0xfffffff0087954bc: f65710a9  stp	x22, x21, [sp, #0x100]
0xfffffff0087954c0: f44f11a9  stp	x20, x19, [sp, #0x110]
0xfffffff0087954c4: fd7b12a9  stp	x29, x30, [sp, #0x120]
0xfffffff0087954c8: fd830491  add	x29, sp, #0x120
0xfffffff0087954cc: f40301aa  mov	x20, x1
0xfffffff0087954d0: f30300aa  mov	x19, x0
0xfffffff0087954d4: bf7f3ba9  stp	xzr, xzr, [x29, #-0x50]
0xfffffff0087954d8: ff6300f9  str	xzr, [sp, #0xc0]
