; Candidate 13768
; ADRP+ADD at VM 0xfffffff00957a204 (fileoff 0x2576204): page=0x1fdfe3000 add_imm=0xd89

0xfffffff00957a184: f65751a9  ldp	x22, x21, [sp, #0x110]
0xfffffff00957a188: ff030591  add	sp, sp, #0x140
0xfffffff00957a18c: ff0f5fd6  retab	
0xfffffff00957a190: 7f2303d5  pacibsp	
0xfffffff00957a194: ffc300d1  sub	sp, sp, #0x30
0xfffffff00957a198: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00957a19c: fd830091  add	x29, sp, #0x20
0xfffffff00957a1a0: 080040b9  ldr	w8, [x0]
0xfffffff00957a1a4: 28020034  cbz	w8, #0xfffffff00957a1e8
0xfffffff00957a1a8: 6933fff0  adrp	x9, #0xfffffff007be9000
0xfffffff00957a1ac: 29f145f9  ldr	x9, [x9, #0xbe0]
0xfffffff00957a1b0: 290140b9  ldr	w9, [x9]
0xfffffff00957a1b4: 2a008052  mov	w10, #1
0xfffffff00957a1b8: 4921c91a  lsl	w9, w10, w9
0xfffffff00957a1bc: 3f01016b  cmp	w9, w1
0xfffffff00957a1c0: 2981811a  csel	w9, w9, w1, hi
0xfffffff00957a1c4: 287d089b  mul	x8, x9, x8
0xfffffff00957a1c8: 090440b9  ldr	w9, [x0, #4]
0xfffffff00957a1cc: 297d011b  mul	w9, w9, w1
0xfffffff00957a1d0: 1f0109ab  cmn	x8, x9
0xfffffff00957a1d4: a4000054  b.mi	#0xfffffff00957a1e8
0xfffffff00957a1d8: e00308aa  mov	x0, x8
0xfffffff00957a1dc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00957a1e0: ffc30091  add	sp, sp, #0x30
0xfffffff00957a1e4: ff0f5fd6  retab	
0xfffffff00957a1e8: 08318152  mov	w8, #0x988
0xfffffff00957a1ec: 09fffef0  adrp	x9, #0xfffffff00755d000
0xfffffff00957a1f0: 29ad3491  add	x9, x9, #0xd2b
0xfffffff00957a1f4: 0afffef0  adrp	x10, #0xfffffff00755d000
0xfffffff00957a1f8: 4ab13691  add	x10, x10, #0xdac
0xfffffff00957a1fc: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00957a200: ea0300f9  str	x10, [sp]
0xfffffff00957a204: 00fffef0  adrp	x0, #0xfffffff00755d000
0xfffffff00957a208: 00243691  add	x0, x0, #0xd89
0xfffffff00957a20c: c068bc97  bl	#0xfffffff00849450c
0xfffffff00957a210: 7f2303d5  pacibsp	
0xfffffff00957a214: ff0303d1  sub	sp, sp, #0xc0
0xfffffff00957a218: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff00957a21c: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff00957a220: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff00957a224: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff00957a228: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff00957a22c: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff00957a230: fdc30291  add	x29, sp, #0xb0
0xfffffff00957a234: f60302aa  mov	x22, x2
0xfffffff00957a238: f40301aa  mov	x20, x1
0xfffffff00957a23c: f30300aa  mov	x19, x0
0xfffffff00957a240: ff9f0079  strh	wzr, [sp, #0x4e]
0xfffffff00957a244: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff00957a248: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00957a24c: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff00957a250: e8830091  add	x8, sp, #0x20
0xfffffff00957a254: e80f00f9  str	x8, [sp, #0x18]
0xfffffff00957a258: 687000f0  adrp	x8, #0xfffffff00a389000
0xfffffff00957a25c: 08a14339  ldrb	w8, [x8, #0xe8]
0xfffffff00957a260: c8130035  cbnz	w8, #0xfffffff00957a4d8
0xfffffff00957a264: 880240b9  ldr	w8, [x20]
0xfffffff00957a268: 1f050071  cmp	w8, #1
0xfffffff00957a26c: a1000054  b.ne	#0xfffffff00957a280
0xfffffff00957a270: 880640b9  ldr	w8, [x20, #4]
0xfffffff00957a274: e9e78012  mov	w9, #-0x740
0xfffffff00957a278: 1f01096a  tst	w8, w9
0xfffffff00957a27c: 60010054  b.eq	#0xfffffff00957a2a8
0xfffffff00957a280: dc028052  mov	w28, #0x16
