; Candidate 14307
; ADRP+ADD at VM 0xfffffff009762440 (fileoff 0x275e440): page=0xc29000 add_imm=0xea8

0xfffffff0097623c0: c00100b5  cbnz	x0, #0xfffffff0097623f8
0xfffffff0097623c4: 700240f9  ldr	x16, [x19]
0xfffffff0097623c8: f10313aa  mov	x17, x19
0xfffffff0097623cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097623d0: 301ac1da  autda	x16, x17
0xfffffff0097623d4: 113d80d2  mov	x17, #0x1e8
0xfffffff0097623d8: 1002118b  add	x16, x16, x17
0xfffffff0097623dc: 080240f9  ldr	x8, [x16]
0xfffffff0097623e0: e90310aa  mov	x9, x16
0xfffffff0097623e4: e00313aa  mov	x0, x19
0xfffffff0097623e8: 010080d2  mov	x1, #0
0xfffffff0097623ec: f10309aa  mov	x17, x9
0xfffffff0097623f0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097623f4: 11093fd7  blraa	x8, x17
0xfffffff0097623f8: e00313aa  mov	x0, x19
0xfffffff0097623fc: 9819fd97  bl	#0xfffffff0096a8a5c
0xfffffff009762400: e00313aa  mov	x0, x19
0xfffffff009762404: 9619fd97  bl	#0xfffffff0096a8a5c
0xfffffff009762408: c00100b5  cbnz	x0, #0xfffffff009762440
0xfffffff00976240c: 700240f9  ldr	x16, [x19]
0xfffffff009762410: f10313aa  mov	x17, x19
0xfffffff009762414: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009762418: 301ac1da  autda	x16, x17
0xfffffff00976241c: 114380d2  mov	x17, #0x218
0xfffffff009762420: 1002118b  add	x16, x16, x17
0xfffffff009762424: 080240f9  ldr	x8, [x16]
0xfffffff009762428: e90310aa  mov	x9, x16
0xfffffff00976242c: e00313aa  mov	x0, x19
0xfffffff009762430: 010080d2  mov	x1, #0
0xfffffff009762434: f10309aa  mov	x17, x9
0xfffffff009762438: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976243c: 11093fd7  blraa	x8, x17
0xfffffff009762440: 406100b0  adrp	x0, #0xfffffff00a38b000
0xfffffff009762444: 00a03a91  add	x0, x0, #0xea8
0xfffffff009762448: 4409ae97  bl	#0xfffffff0082e4958
0xfffffff00976244c: f50300aa  mov	x21, x0
0xfffffff009762450: e00313aa  mov	x0, x19
0xfffffff009762454: 8219fd97  bl	#0xfffffff0096a8a5c
0xfffffff009762458: f60300aa  mov	x22, x0
0xfffffff00976245c: e00100b5  cbnz	x0, #0xfffffff009762498
0xfffffff009762460: 700240f9  ldr	x16, [x19]
0xfffffff009762464: f10313aa  mov	x17, x19
0xfffffff009762468: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976246c: 301ac1da  autda	x16, x17
0xfffffff009762470: 113d80d2  mov	x17, #0x1e8
0xfffffff009762474: 1002118b  add	x16, x16, x17
0xfffffff009762478: 080240f9  ldr	x8, [x16]
0xfffffff00976247c: e90310aa  mov	x9, x16
0xfffffff009762480: e00313aa  mov	x0, x19
0xfffffff009762484: 010080d2  mov	x1, #0
0xfffffff009762488: f10309aa  mov	x17, x9
0xfffffff00976248c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009762490: 11093fd7  blraa	x8, x17
0xfffffff009762494: f60300aa  mov	x22, x0
0xfffffff009762498: e00313aa  mov	x0, x19
0xfffffff00976249c: 7019fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097624a0: 54f1fef0  adrp	x20, #0xfffffff00758d000
0xfffffff0097624a4: 94c63491  add	x20, x20, #0xd31
0xfffffff0097624a8: 57f1fef0  adrp	x23, #0xfffffff00758d000
0xfffffff0097624ac: f7ca3491  add	x23, x23, #0xd32
0xfffffff0097624b0: 1f0000f1  cmp	x0, #0
0xfffffff0097624b4: f802949a  csel	x24, x23, x20, eq
0xfffffff0097624b8: e00313aa  mov	x0, x19
0xfffffff0097624bc: 6819fd97  bl	#0xfffffff0096a8a5c
