; Candidate 13923
; ADRP+ADD at VM 0xfffffff009620b30 (fileoff 0x261cb30): page=0xd69000 add_imm=0xd30

0xfffffff009620ab0: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff009620ab4: 11093fd7  blraa	x8, x17
0xfffffff009620ab8: bf02006b  cmp	w21, w0
0xfffffff009620abc: a3f9ff54  b.lo	#0xfffffff0096209f0
0xfffffff009620ac0: e00313aa  mov	x0, x19
0xfffffff009620ac4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009620ac8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009620acc: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009620ad0: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff009620ad4: ff0f5fd6  retab	
0xfffffff009620ad8: 700240f9  ldr	x16, [x19]
0xfffffff009620adc: f10313aa  mov	x17, x19
0xfffffff009620ae0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009620ae4: 301ac1da  autda	x16, x17
0xfffffff009620ae8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009620aec: e90310aa  mov	x9, x16
0xfffffff009620af0: e00313aa  mov	x0, x19
0xfffffff009620af4: f10309aa  mov	x17, x9
0xfffffff009620af8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009620afc: 11093fd7  blraa	x8, x17
0xfffffff009620b00: 130080d2  mov	x19, #0
0xfffffff009620b04: efffff17  b	#0xfffffff009620ac0
0xfffffff009620b08: 7f2303d5  pacibsp	
0xfffffff009620b0c: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff009620b10: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009620b14: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009620b18: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009620b1c: fdc30091  add	x29, sp, #0x30
0xfffffff009620b20: f70303aa  mov	x23, x3
0xfffffff009620b24: f40302aa  mov	x20, x2
0xfffffff009620b28: f50301aa  mov	x21, x1
0xfffffff009620b2c: f60300aa  mov	x22, x0
0xfffffff009620b30: 406b00b0  adrp	x0, #0xfffffff00a389000
0xfffffff009620b34: 00c03491  add	x0, x0, #0xd30
0xfffffff009620b38: 100040f9  ldr	x16, [x0]
0xfffffff009620b3c: f10300aa  mov	x17, x0
0xfffffff009620b40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009620b44: 301ac1da  autda	x16, x17
0xfffffff009620b48: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff009620b4c: e90310aa  mov	x9, x16
0xfffffff009620b50: f10309aa  mov	x17, x9
0xfffffff009620b54: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff009620b58: 11093fd7  blraa	x8, x17
0xfffffff009620b5c: f30300aa  mov	x19, x0
0xfffffff009620b60: 100040f9  ldr	x16, [x0]
0xfffffff009620b64: f10300aa  mov	x17, x0
0xfffffff009620b68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009620b6c: 301ac1da  autda	x16, x17
0xfffffff009620b70: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff009620b74: e90310aa  mov	x9, x16
0xfffffff009620b78: f10309aa  mov	x17, x9
0xfffffff009620b7c: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff009620b80: 11093fd7  blraa	x8, x17
0xfffffff009620b84: 00010036  tbz	w0, #0, #0xfffffff009620ba4
0xfffffff009620b88: c00640ad  ldp	q0, q1, [x22]
0xfffffff009620b8c: 600601ad  stp	q0, q1, [x19, #0x20]
0xfffffff009620b90: 77720039  strb	w23, [x19, #0x1c]
0xfffffff009620b94: b4020034  cbz	w20, #0xfffffff009620be8
0xfffffff009620b98: 15030034  cbz	w21, #0xfffffff009620bf8
0xfffffff009620b9c: 74560929  stp	w20, w21, [x19, #0x48]
0xfffffff009620ba0: 0c000014  b	#0xfffffff009620bd0
0xfffffff009620ba4: 700240f9  ldr	x16, [x19]
0xfffffff009620ba8: f10313aa  mov	x17, x19
0xfffffff009620bac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
