; Candidate 430
; ADRP+ADD at VM 0xfffffff007f08ac4 (fileoff 0xf04ac4): page=0x2334000 add_imm=0xdc8

0xfffffff007f08a44: c09bfa97  bl	#0xfffffff007daf944
0xfffffff007f08a48: 08235139  ldrb	w8, [x24, #0x448]
0xfffffff007f08a4c: 48f4ff35  cbnz	w8, #0xfffffff007f088d4
0xfffffff007f08a50: a6ffff17  b	#0xfffffff007f088e8
0xfffffff007f08a54: 48a68252  mov	w8, #0x1532
0xfffffff007f08a58: a98affb0  adrp	x9, #0xfffffff00705d000
0xfffffff007f08a5c: 29410791  add	x9, x9, #0x1d0
0xfffffff007f08a60: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007f08a64: e00300f9  str	x0, [sp]
0xfffffff007f08a68: a08affb0  adrp	x0, #0xfffffff00705d000
0xfffffff007f08a6c: 00743291  add	x0, x0, #0xc9d
0xfffffff007f08a70: a72e1694  bl	#0xfffffff00849450c
0xfffffff007f08a74: 7f2303d5  pacibsp	
0xfffffff007f08a78: ff0302d1  sub	sp, sp, #0x80
0xfffffff007f08a7c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff007f08a80: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff007f08a84: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff007f08a88: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff007f08a8c: fdc30191  add	x29, sp, #0x70
0xfffffff007f08a90: f50303aa  mov	x21, x3
0xfffffff007f08a94: f60302aa  mov	x22, x2
0xfffffff007f08a98: f40301aa  mov	x20, x1
0xfffffff007f08a9c: f30300aa  mov	x19, x0
0xfffffff007f08aa0: 7f0000b9  str	wzr, [x3]
0xfffffff007f08aa4: 177440b9  ldr	w23, [x0, #0x74]
0xfffffff007f08aa8: def5ff97  bl	#0xfffffff007f06220
0xfffffff007f08aac: 68d20291  add	x8, x19, #0xb4
0xfffffff007f08ab0: 29008052  mov	w9, #1
0xfffffff007f08ab4: 080129b8  ldadd	w9, w8, [x8]
0xfffffff007f08ab8: 0900b012  mov	w9, #0x7fffffff
0xfffffff007f08abc: 1f01096b  cmp	w8, w9
0xfffffff007f08ac0: 400f0054  b.eq	#0xfffffff007f08ca8
0xfffffff007f08ac4: a0190190  adrp	x0, #0xfffffff00a23c000
0xfffffff007f08ac8: 00203791  add	x0, x0, #0xdc8
0xfffffff007f08acc: 2e9cfa97  bl	#0xfffffff007dafb84
0xfffffff007f08ad0: 080080d2  mov	x8, #0
0xfffffff007f08ad4: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007f08ad8: 291844b9  ldr	w9, [x1, #0x418]
0xfffffff007f08adc: 2a4841b9  ldr	w10, [x1, #0x148]
0xfffffff007f08ae0: 4a050011  add	w10, w10, #1
0xfffffff007f08ae4: 2a4801b9  str	w10, [x1, #0x148]
0xfffffff007f08ae8: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007f08aec: 6a220091  add	x10, x19, #8
0xfffffff007f08af0: 497de8c8  casa	x8, x9, [x10]
0xfffffff007f08af4: 1f0100f1  cmp	x8, #0
0xfffffff007f08af8: 010d0054  b.ne	#0xfffffff007f08c98
0xfffffff007f08afc: 687640b9  ldr	w8, [x19, #0x74]
0xfffffff007f08b00: ff02086b  cmp	w23, w8
0xfffffff007f08b04: a1020054  b.ne	#0xfffffff007f08b58
0xfffffff007f08b08: 686240b9  ldr	w8, [x19, #0x60]
0xfffffff007f08b0c: 68020035  cbnz	w8, #0xfffffff007f08b58
0xfffffff007f08b10: 686640b9  ldr	w8, [x19, #0x64]
0xfffffff007f08b14: 28020035  cbnz	w8, #0xfffffff007f08b58
0xfffffff007f08b18: 775b9d52  mov	w23, #0xeadb
0xfffffff007f08b1c: b701a072  movk	w23, #0xd, lsl #16
0xfffffff007f08b20: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff007f08b24: 1f0117eb  cmp	x8, x23
0xfffffff007f08b28: 81010054  b.ne	#0xfffffff007f08b58
0xfffffff007f08b2c: 68b24079  ldrh	w8, [x19, #0x58]
0xfffffff007f08b30: 48011037  tbnz	w8, #2, #0xfffffff007f08b58
0xfffffff007f08b34: 09148052  mov	w9, #0xa0
0xfffffff007f08b38: 0901090a  and	w9, w8, w9
0xfffffff007f08b3c: 3f010271  cmp	w9, #0x80
0xfffffff007f08b40: 21020054  b.ne	#0xfffffff007f08b84
