; Candidate 12238
; ADRP+ADD at VM 0xfffffff0090731c0 (fileoff 0x206f1c0): page=0x1fe3e2000 add_imm=0xeb6

0xfffffff009073140: 918afdf2  movk	x17, #0xec54, lsl #48
0xfffffff009073144: 31093fd7  blraa	x9, x17
0xfffffff009073148: 68008052  mov	w8, #3
0xfffffff00907314c: 688e00b9  str	w8, [x19, #0x8c]
0xfffffff009073150: 9f2403d5  bti	j
0xfffffff009073154: 9f0e0071  cmp	w20, #3
0xfffffff009073158: a0030054  b.eq	#0xfffffff0090731cc
0xfffffff00907315c: 88008052  mov	w8, #4
0xfffffff009073160: 688e00b9  str	w8, [x19, #0x8c]
0xfffffff009073164: 9f2403d5  bti	j
0xfffffff009073168: 9f120071  cmp	w20, #4
0xfffffff00907316c: 00030054  b.eq	#0xfffffff0090731cc
0xfffffff009073170: 68624239  ldrb	w8, [x19, #0x98]
0xfffffff009073174: c8020036  tbz	w8, #0, #0xfffffff0090731cc
0xfffffff009073178: 700240f9  ldr	x16, [x19]
0xfffffff00907317c: f10313aa  mov	x17, x19
0xfffffff009073180: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009073184: 301ac1da  autda	x16, x17
0xfffffff009073188: 113d80d2  mov	x17, #0x1e8
0xfffffff00907318c: 1002118b  add	x16, x16, x17
0xfffffff009073190: 080240f9  ldr	x8, [x16]
0xfffffff009073194: e90310aa  mov	x9, x16
0xfffffff009073198: e00313aa  mov	x0, x19
0xfffffff00907319c: 010080d2  mov	x1, #0
0xfffffff0090731a0: f10309aa  mov	x17, x9
0xfffffff0090731a4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0090731a8: 11093fd7  blraa	x8, x17
0xfffffff0090731ac: 688e40b9  ldr	w8, [x19, #0x8c]
0xfffffff0090731b0: 091fffd0  adrp	x9, #0xfffffff007455000
0xfffffff0090731b4: 29b53a91  add	x9, x9, #0xead
0xfffffff0090731b8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0090731bc: e00300f9  str	x0, [sp]
0xfffffff0090731c0: 001fffd0  adrp	x0, #0xfffffff007455000
0xfffffff0090731c4: 00d83a91  add	x0, x0, #0xeb6
0xfffffff0090731c8: 968fcb97  bl	#0xfffffff008357020
0xfffffff0090731cc: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0090731d0: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0090731d4: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0090731d8: ff430191  add	sp, sp, #0x50
0xfffffff0090731dc: ff0f5fd6  retab	
0xfffffff0090731e0: 1c020000  udf	#0x21c
0xfffffff0090731e4: 0c020000  udf	#0x20c
0xfffffff0090731e8: b8000000  udf	#0xb8
0xfffffff0090731ec: 20000000  udf	#0x20
0xfffffff0090731f0: 0c000000  udf	#0xc
0xfffffff0090731f4: 0c000000  udf	#0xc
0xfffffff0090731f8: 1c000000  udf	#0x1c
0xfffffff0090731fc: e4040000  udf	#0x4e4
0xfffffff009073200: 7c050000  udf	#0x57c
0xfffffff009073204: 90050000  udf	#0x590
0xfffffff009073208: 7f2303d5  pacibsp	
0xfffffff00907320c: ff0301d1  sub	sp, sp, #0x40
0xfffffff009073210: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009073214: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009073218: fdc30091  add	x29, sp, #0x30
0xfffffff00907321c: f30300aa  mov	x19, x0
0xfffffff009073220: 098c40b9  ldr	w9, [x0, #0x8c]
0xfffffff009073224: 089840b9  ldr	w8, [x0, #0x98]
0xfffffff009073228: 89070034  cbz	w9, #0xfffffff009073318
0xfffffff00907322c: f40301aa  mov	x20, x1
0xfffffff009073230: c8020836  tbz	w8, #1, #0xfffffff009073288
0xfffffff009073234: 700240f9  ldr	x16, [x19]
0xfffffff009073238: f10313aa  mov	x17, x19
0xfffffff00907323c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
