; Candidate 41
; ADRP+ADD at VM 0xfffffff007d9dad0 (fileoff 0xd99ad0): page=0x242e000 add_imm=0xd48

0xfffffff007d9da50: 60b200fd  str	d0, [x19, #0x160]
0xfffffff007d9da54: 7f6a01b9  str	wzr, [x19, #0x168]
0xfffffff007d9da58: 7fbe00f9  str	xzr, [x19, #0x178]
0xfffffff007d9da5c: 60c200fd  str	d0, [x19, #0x180]
0xfffffff007d9da60: 7f8a01b9  str	wzr, [x19, #0x188]
0xfffffff007d9da64: 7fce00f9  str	xzr, [x19, #0x198]
0xfffffff007d9da68: 60d200fd  str	d0, [x19, #0x1a0]
0xfffffff007d9da6c: 7faa01b9  str	wzr, [x19, #0x1a8]
0xfffffff007d9da70: 7fde00f9  str	xzr, [x19, #0x1b8]
0xfffffff007d9da74: 60e200fd  str	d0, [x19, #0x1c0]
0xfffffff007d9da78: 7fca01b9  str	wzr, [x19, #0x1c8]
0xfffffff007d9da7c: 7fee00f9  str	xzr, [x19, #0x1d8]
0xfffffff007d9da80: 60f200fd  str	d0, [x19, #0x1e0]
0xfffffff007d9da84: 7fea01b9  str	wzr, [x19, #0x1e8]
0xfffffff007d9da88: 7ffe00f9  str	xzr, [x19, #0x1f8]
0xfffffff007d9da8c: 600201fd  str	d0, [x19, #0x200]
0xfffffff007d9da90: 7f0a02b9  str	wzr, [x19, #0x208]
0xfffffff007d9da94: 7f0e01f9  str	xzr, [x19, #0x218]
0xfffffff007d9da98: 601201fd  str	d0, [x19, #0x220]
0xfffffff007d9da9c: 7f2a02b9  str	wzr, [x19, #0x228]
0xfffffff007d9daa0: 7f1e01f9  str	xzr, [x19, #0x238]
0xfffffff007d9daa4: 602201fd  str	d0, [x19, #0x240]
0xfffffff007d9daa8: 7f4a02b9  str	wzr, [x19, #0x248]
0xfffffff007d9daac: 7f2e01f9  str	xzr, [x19, #0x258]
0xfffffff007d9dab0: 603201fd  str	d0, [x19, #0x260]
0xfffffff007d9dab4: 7f6a02b9  str	wzr, [x19, #0x268]
0xfffffff007d9dab8: 7f3e01f9  str	xzr, [x19, #0x278]
0xfffffff007d9dabc: 604201fd  str	d0, [x19, #0x280]
0xfffffff007d9dac0: 7f8a02b9  str	wzr, [x19, #0x288]
0xfffffff007d9dac4: 7f4e01f9  str	xzr, [x19, #0x298]
0xfffffff007d9dac8: 605201fd  str	d0, [x19, #0x2a0]
0xfffffff007d9dacc: 7faa02b9  str	wzr, [x19, #0x2a8]
0xfffffff007d9dad0: 602101d0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007d9dad4: 00203591  add	x0, x0, #0xd48
0xfffffff007d9dad8: e3030091  mov	x3, sp
0xfffffff007d9dadc: 22008052  mov	w2, #1
0xfffffff007d9dae0: 93ecff97  bl	#0xfffffff007d98d2c
0xfffffff007d9dae4: f10340f9  ldr	x17, [sp]
0xfffffff007d9dae8: 910000b4  cbz	x17, #0xfffffff007d9daf8
0xfffffff007d9daec: 70e20a91  add	x16, x19, #0x2b8
0xfffffff007d9daf0: 306af7f2  movk	x16, #0xbb51, lsl #48
0xfffffff007d9daf4: 110ac1da  pacda	x17, x16
0xfffffff007d9daf8: 715e01f9  str	x17, [x19, #0x2b8]
0xfffffff007d9dafc: 7f6201f9  str	xzr, [x19, #0x2c0]
0xfffffff007d9db00: 7f6a01f9  str	xzr, [x19, #0x2d0]
0xfffffff007d9db04: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007d9db08: 60ba803d  str	q0, [x19, #0x2e0]
0xfffffff007d9db0c: 7f7a01f9  str	xzr, [x19, #0x2f0]
0xfffffff007d9db10: c3000014  b	#0xfffffff007d9de1c
0xfffffff007d9db14: e00315aa  mov	x0, x21
0xfffffff007d9db18: e10316aa  mov	x1, x22
0xfffffff007d9db1c: 02008052  mov	w2, #0
0xfffffff007d9db20: f6370094  bl	#0xfffffff007dabaf8
0xfffffff007d9db24: 907241f9  ldr	x16, [x20, #0x2e0]
0xfffffff007d9db28: 10f6ffb5  cbnz	x16, #0xfffffff007d9d9e8
0xfffffff007d9db2c: 000080d2  mov	x0, #0
0xfffffff007d9db30: 3973ff97  bl	#0xfffffff007d7a814
0xfffffff007d9db34: 20f7ffb5  cbnz	x0, #0xfffffff007d9da18
0xfffffff007d9db38: 110080d2  mov	x17, #0
0xfffffff007d9db3c: 717201f9  str	x17, [x19, #0x2e0]
0xfffffff007d9db40: 907641f9  ldr	x16, [x20, #0x2e8]
0xfffffff007d9db44: 500200b4  cbz	x16, #0xfffffff007d9db8c
0xfffffff007d9db48: 88a20b91  add	x8, x20, #0x2e8
0xfffffff007d9db4c: f10308aa  mov	x17, x8
