; Candidate 1464
; ADRP+ADD at VM 0xfffffff008428ca0 (fileoff 0x1424ca0): page=0x1fec7b000 add_imm=0xd29

0xfffffff008428c20: e90310aa  mov	x9, x16
0xfffffff008428c24: f10309aa  mov	x17, x9
0xfffffff008428c28: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008428c2c: 11093fd7  blraa	x8, x17
0xfffffff008428c30: f2ffff17  b	#0xfffffff008428bf8
0xfffffff008428c34: 7f2303d5  pacibsp	
0xfffffff008428c38: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008428c3c: fd030091  mov	x29, sp
0xfffffff008428c40: 091c40b9  ldr	w9, [x0, #0x1c]
0xfffffff008428c44: 8ad19652  mov	w10, #0xb68c
0xfffffff008428c48: 4ab4a972  movk	w10, #0x4da2, lsl #16
0xfffffff008428c4c: 4b010032  orr	w11, w10, #1
0xfffffff008428c50: 3f000071  cmp	w1, #0
0xfffffff008428c54: 6a118a1a  csel	w10, w11, w10, ne
0xfffffff008428c58: 3f010a6b  cmp	w9, w10
0xfffffff008428c5c: 21020054  b.ne	#0xfffffff008428ca0
0xfffffff008428c60: e80300aa  mov	x8, x0
0xfffffff008428c64: 092040b9  ldr	w9, [x0, #0x20]
0xfffffff008428c68: 00900091  add	x0, x0, #0x24
0xfffffff008428c6c: 69010034  cbz	w9, #0xfffffff008428c98
0xfffffff008428c70: 0a0540b9  ldr	w10, [x8, #4]
0xfffffff008428c74: 4801088b  add	x8, x10, x8
0xfffffff008428c78: 1f0008eb  cmp	x0, x8
0xfffffff008428c7c: 82010054  b.hs	#0xfffffff008428cac
0xfffffff008428c80: 0a0840b9  ldr	w10, [x0, #8]
0xfffffff008428c84: 4a7d1953  lsr	w10, w10, #0x19
0xfffffff008428c88: 2a010035  cbnz	w10, #0xfffffff008428cac
0xfffffff008428c8c: 00400091  add	x0, x0, #0x10
0xfffffff008428c90: 29050071  subs	w9, w9, #1
0xfffffff008428c94: 21ffff54  b.ne	#0xfffffff008428c78
0xfffffff008428c98: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008428c9c: ff0f5fd6  retab	
0xfffffff008428ca0: c063fff0  adrp	x0, #0xfffffff0070a3000
0xfffffff008428ca4: 00a43491  add	x0, x0, #0xd29
0xfffffff008428ca8: 1aeafa97  bl	#0xfffffff0082e3510
0xfffffff008428cac: 000080d2  mov	x0, #0
0xfffffff008428cb0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008428cb4: ff0f5fd6  retab	
0xfffffff008428cb8: 7f2303d5  pacibsp	
0xfffffff008428cbc: ff0301d1  sub	sp, sp, #0x40
0xfffffff008428cc0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008428cc4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008428cc8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008428ccc: fdc30091  add	x29, sp, #0x30
0xfffffff008428cd0: a10000b4  cbz	x1, #0xfffffff008428ce4
0xfffffff008428cd4: f40301aa  mov	x20, x1
0xfffffff008428cd8: 088840f9  ldr	x8, [x0, #0x110]
0xfffffff008428cdc: 1f0101eb  cmp	x8, x1
0xfffffff008428ce0: 60000054  b.eq	#0xfffffff008428cec
0xfffffff008428ce4: 00008052  mov	w0, #0
0xfffffff008428ce8: 41000014  b	#0xfffffff008428dec
0xfffffff008428cec: 95ef00d0  adrp	x21, #0xfffffff00a21a000
0xfffffff008428cf0: a8f241f9  ldr	x8, [x21, #0x3e0]
0xfffffff008428cf4: 090d40f9  ldr	x9, [x8, #0x18]
0xfffffff008428cf8: 93d038d5  mrs	x19, tpidr_el1
0xfffffff008428cfc: 3f0113eb  cmp	x9, x19
0xfffffff008428d00: 40010054  b.eq	#0xfffffff008428d28
0xfffffff008428d04: 090080d2  mov	x9, #0
0xfffffff008428d08: 6a1a44b9  ldr	w10, [x19, #0x418]
0xfffffff008428d0c: 0b210091  add	x11, x8, #8
0xfffffff008428d10: 6a7de9c8  casa	x9, x10, [x11]
0xfffffff008428d14: 3f0100f1  cmp	x9, #0
0xfffffff008428d18: 41070054  b.ne	#0xfffffff008428e00
0xfffffff008428d1c: 130d00f9  str	x19, [x8, #0x18]
