; Candidate 9291
; ADRP+ADD at VM 0xfffffff008a22a0c (fileoff 0x1a1ea0c): page=0x1fe877000 add_imm=0xe40

0xfffffff008a2298c: 3f000014  b	#0xfffffff008a22a88
0xfffffff008a22990: 700240f9  ldr	x16, [x19]
0xfffffff008a22994: f10313aa  mov	x17, x19
0xfffffff008a22998: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2299c: 301ac1da  autda	x16, x17
0xfffffff008a229a0: 113d80d2  mov	x17, #0x1e8
0xfffffff008a229a4: 1002118b  add	x16, x16, x17
0xfffffff008a229a8: 080240f9  ldr	x8, [x16]
0xfffffff008a229ac: e90310aa  mov	x9, x16
0xfffffff008a229b0: e00313aa  mov	x0, x19
0xfffffff008a229b4: 010080d2  mov	x1, #0
0xfffffff008a229b8: f10309aa  mov	x17, x9
0xfffffff008a229bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a229c0: 11093fd7  blraa	x8, x17
0xfffffff008a229c4: 700240f9  ldr	x16, [x19]
0xfffffff008a229c8: f10313aa  mov	x17, x19
0xfffffff008a229cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a229d0: 301ac1da  autda	x16, x17
0xfffffff008a229d4: 113d80d2  mov	x17, #0x1e8
0xfffffff008a229d8: 1002118b  add	x16, x16, x17
0xfffffff008a229dc: 080240f9  ldr	x8, [x16]
0xfffffff008a229e0: e90310aa  mov	x9, x16
0xfffffff008a229e4: e00313aa  mov	x0, x19
0xfffffff008a229e8: 010080d2  mov	x1, #0
0xfffffff008a229ec: f10309aa  mov	x17, x9
0xfffffff008a229f0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a229f4: 11093fd7  blraa	x8, x17
0xfffffff008a229f8: d51f8052  mov	w21, #0xfe
0xfffffff008a229fc: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008a22a00: d643ffd0  adrp	x22, #0xfffffff00729c000
0xfffffff008a22a04: d6ea2b91  add	x22, x22, #0xafa
0xfffffff008a22a08: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a22a0c: a043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a22a10: 00003991  add	x0, x0, #0xe40
0xfffffff008a22a14: 4181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a22a18: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a22a1c: e343ffb0  adrp	x3, #0xfffffff00729f000
0xfffffff008a22a20: 63bc3c91  add	x3, x3, #0xf2f
0xfffffff008a22a24: 02028052  mov	w2, #0x10
0xfffffff008a22a28: c241e497  bl	#0xfffffff008333130
0xfffffff008a22a2c: 700240f9  ldr	x16, [x19]
0xfffffff008a22a30: f10313aa  mov	x17, x19
0xfffffff008a22a34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a22a38: 301ac1da  autda	x16, x17
0xfffffff008a22a3c: f10310aa  mov	x17, x16
0xfffffff008a22a40: f147c1da  xpacd	x17
0xfffffff008a22a44: 1f0211eb  cmp	x16, x17
0xfffffff008a22a48: 40000054  b.eq	#0xfffffff008a22a50
0xfffffff008a22a4c: 408e38d4  brk	#0xc472
0xfffffff008a22a50: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a22a54: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a22a58: e00313aa  mov	x0, x19
0xfffffff008a22a5c: 010080d2  mov	x1, #0
0xfffffff008a22a60: f10308aa  mov	x17, x8
0xfffffff008a22a64: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a22a68: 31093fd7  blraa	x9, x17
0xfffffff008a22a6c: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008a22a70: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a22a74: c043ffd0  adrp	x0, #0xfffffff00729c000
0xfffffff008a22a78: 00102c91  add	x0, x0, #0xb04
0xfffffff008a22a7c: 69d1e497  bl	#0xfffffff008357020
0xfffffff008a22a80: f6588052  mov	w22, #0x2c7
0xfffffff008a22a84: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008a22a88: e00316aa  mov	x0, x22
