; Candidate 7075
; ADRP+ADD at VM 0xfffffff00885599c (fileoff 0x185199c): page=0x1fe994000 add_imm=0xe80

0xfffffff00885591c: f60300f9  str	x22, [sp]
0xfffffff008855920: a04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008855924: 00003a91  add	x0, x0, #0xe80
0xfffffff008855928: 818dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00885592c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008855930: 02008052  mov	w2, #0
0xfffffff008855934: ff75eb97  bl	#0xfffffff008333130
0xfffffff008855938: 167d8012  mov	w22, #-0x3e9
0xfffffff00885593c: 26000014  b	#0xfffffff0088559d4
0xfffffff008855940: 1b7a0194  bl	#0xfffffff0088b41ac
0xfffffff008855944: f70300aa  mov	x23, x0
0xfffffff008855948: a0008052  mov	w0, #5
0xfffffff00885594c: c1970094  bl	#0xfffffff00887b850
0xfffffff008855950: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff008855954: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff008855958: 2a5b40b9  ldr	w10, [x25, #0x58]
0xfffffff00885595c: ab1240b9  ldr	w11, [x21, #0x10]
0xfffffff008855960: eba305a9  stp	x11, x8, [sp, #0x58]
0xfffffff008855964: ead704a9  stp	x10, x21, [sp, #0x48]
0xfffffff008855968: e9e703a9  stp	x9, x25, [sp, #0x38]
0xfffffff00885596c: c8da8052  mov	w8, #0x6d6
0xfffffff008855970: 894effb0  adrp	x9, #0xfffffff007226000
0xfffffff008855974: 29252691  add	x9, x9, #0x989
0xfffffff008855978: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff00885597c: 884effd0  adrp	x8, #0xfffffff007227000
0xfffffff008855980: 08811191  add	x8, x8, #0x460
0xfffffff008855984: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008855988: 880c8052  mov	w8, #0x64
0xfffffff00885598c: e34fffd0  adrp	x3, #0xfffffff007253000
0xfffffff008855990: 63142b91  add	x3, x3, #0xac5
0xfffffff008855994: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008855998: f70300f9  str	x23, [sp]
0xfffffff00885599c: a04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088559a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088559a4: 818dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088559a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088559ac: 02008052  mov	w2, #0
0xfffffff0088559b0: e075eb97  bl	#0xfffffff008333130
0xfffffff0088559b4: 215b40b9  ldr	w1, [x25, #0x58]
0xfffffff0088559b8: 624240b9  ldr	w2, [x19, #0x40]
0xfffffff0088559bc: 437f4093  sxtw	x3, w26
0xfffffff0088559c0: 80148052  mov	w0, #0xa4
0xfffffff0088559c4: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0088559c8: 040080d2  mov	x4, #0
0xfffffff0088559cc: 050080d2  mov	x5, #0
0xfffffff0088559d0: 4da1e497  bl	#0xfffffff00817df04
0xfffffff0088559d4: 800c8052  mov	w0, #0x64
0xfffffff0088559d8: e1008052  mov	w1, #7
0xfffffff0088559dc: 7d970094  bl	#0xfffffff00887b7d0
0xfffffff0088559e0: 00060034  cbz	w0, #0xfffffff008855aa0
0xfffffff0088559e4: 800c8052  mov	w0, #0x64
0xfffffff0088559e8: 8c970094  bl	#0xfffffff00887b818
0xfffffff0088559ec: f80300aa  mov	x24, x0
0xfffffff0088559f0: ef790194  bl	#0xfffffff0088b41ac
0xfffffff0088559f4: f70300aa  mov	x23, x0
0xfffffff0088559f8: e0008052  mov	w0, #7
0xfffffff0088559fc: 95970094  bl	#0xfffffff00887b850
0xfffffff008855a00: 18020034  cbz	w24, #0xfffffff008855a40
0xfffffff008855a04: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008855a08: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008855a0c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008855a10: 884effb0  adrp	x8, #0xfffffff007226000
0xfffffff008855a14: 08252691  add	x8, x8, #0x989
0xfffffff008855a18: e84f02a9  stp	x8, x19, [sp, #0x20]
