; Candidate 3136
; ADRP+ADD at VM 0xfffffff0087162b0 (fileoff 0x17122b0): page=0x1fea1b000 add_imm=0xd90

0xfffffff008716230: e10315aa  mov	x1, x21
0xfffffff008716234: 02008052  mov	w2, #0
0xfffffff008716238: abf9ff97  bl	#0xfffffff0087148e4
0xfffffff00871623c: 08008012  mov	w8, #-1
0xfffffff008716240: 0821d51a  lsl	w8, w8, w21
0xfffffff008716244: e803282a  mvn	w8, w8
0xfffffff008716248: fa02080b  add	w26, w23, w8
0xfffffff00871624c: 06000014  b	#0xfffffff008716264
0xfffffff008716250: e00313aa  mov	x0, x19
0xfffffff008716254: 21008052  mov	w1, #1
0xfffffff008716258: 02008052  mov	w2, #0
0xfffffff00871625c: a2f9ff97  bl	#0xfffffff0087148e4
0xfffffff008716260: 1a008052  mov	w26, #0
0xfffffff008716264: 353f0012  and	w21, w25, #0xffff
0xfffffff008716268: bf020471  cmp	w21, #0x100
0xfffffff00871626c: 83010054  b.lo	#0xfffffff00871629c
0xfffffff008716270: e81f8052  mov	w8, #0xff
0xfffffff008716274: f52300a9  stp	x21, x8, [sp]
0xfffffff008716278: c050fff0  adrp	x0, #0xfffffff007131000
0xfffffff00871627c: 00403691  add	x0, x0, #0xd90
0xfffffff008716280: 2197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008716284: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008716288: 0351ffd0  adrp	x3, #0xfffffff007138000
0xfffffff00871628c: 63ec1391  add	x3, x3, #0x4fb
0xfffffff008716290: 02008052  mov	w2, #0
0xfffffff008716294: a773f097  bl	#0xfffffff008333130
0xfffffff008716298: 20020014  b	#0xfffffff008716b18
0xfffffff00871629c: 583f0012  and	w24, w26, #0xffff
0xfffffff0087162a0: 1f830071  cmp	w24, #0x20
0xfffffff0087162a4: 83010054  b.lo	#0xfffffff0087162d4
0xfffffff0087162a8: e8038052  mov	w8, #0x1f
0xfffffff0087162ac: f82300a9  stp	x24, x8, [sp]
0xfffffff0087162b0: c050fff0  adrp	x0, #0xfffffff007131000
0xfffffff0087162b4: 00403691  add	x0, x0, #0xd90
0xfffffff0087162b8: 2197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087162bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087162c0: 0351ffd0  adrp	x3, #0xfffffff007138000
0xfffffff0087162c4: 63cc1491  add	x3, x3, #0x533
0xfffffff0087162c8: 02008052  mov	w2, #0
0xfffffff0087162cc: 9973f097  bl	#0xfffffff008333130
0xfffffff0087162d0: 12020014  b	#0xfffffff008716b18
0xfffffff0087162d4: 884b8052  mov	w8, #0x25c
0xfffffff0087162d8: b752a89b  umaddl	x23, w21, w8, x20
0xfffffff0087162dc: e10317aa  mov	x1, x23
0xfffffff0087162e0: 32020094  bl	#0xfffffff008716ba8
0xfffffff0087162e4: f9020079  strh	w25, [x23]
0xfffffff0087162e8: fa0a0039  strb	w26, [x23, #2]
0xfffffff0087162ec: 680640f9  ldr	x8, [x19, #8]
0xfffffff0087162f0: 19fd7fd3  lsr	x25, x8, #0x3f
0xfffffff0087162f4: e00313aa  mov	x0, x19
0xfffffff0087162f8: 21008052  mov	w1, #1
0xfffffff0087162fc: 02008052  mov	w2, #0
0xfffffff008716300: 79f9ff97  bl	#0xfffffff0087148e4
0xfffffff008716304: f90e0039  strb	w25, [x23, #3]
0xfffffff008716308: 680640f9  ldr	x8, [x19, #8]
0xfffffff00871630c: 19fd7fd3  lsr	x25, x8, #0x3f
0xfffffff008716310: e00313aa  mov	x0, x19
0xfffffff008716314: 21008052  mov	w1, #1
0xfffffff008716318: 02008052  mov	w2, #0
0xfffffff00871631c: 72f9ff97  bl	#0xfffffff0087148e4
0xfffffff008716320: f9120039  strb	w25, [x23, #4]
0xfffffff008716324: 680e40b9  ldr	w8, [x19, #0xc]
0xfffffff008716328: 1711c05a  clz	w23, w8
0xfffffff00871632c: 37040034  cbz	w23, #0xfffffff0087163b0
