; Candidate 14891
; ADRP+ADD at VM 0xfffffff0099dee64 (fileoff 0x29dae64): page=0x1fdc1f000 add_imm=0xe0f

0xfffffff0099dede4: 000940f9  ldr	x0, [x8, #0x10]
0xfffffff0099dede8: 800100b4  cbz	x0, #0xfffffff0099dee18
0xfffffff0099dedec: 100040f9  ldr	x16, [x0]
0xfffffff0099dedf0: f10300aa  mov	x17, x0
0xfffffff0099dedf4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099dedf8: 301ac1da  autda	x16, x17
0xfffffff0099dedfc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0099dee00: e90310aa  mov	x9, x16
0xfffffff0099dee04: f10309aa  mov	x17, x9
0xfffffff0099dee08: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0099dee0c: 11093fd7  blraa	x8, x17
0xfffffff0099dee10: 68a240f9  ldr	x8, [x19, #0x140]
0xfffffff0099dee14: 1f0900f9  str	xzr, [x8, #0x10]
0xfffffff0099dee18: 61a240f9  ldr	x1, [x19, #0x140]
0xfffffff0099dee1c: 7fa200f9  str	xzr, [x19, #0x140]
0xfffffff0099dee20: e015ffd0  adrp	x0, #0xfffffff007c9c000
0xfffffff0099dee24: 00801591  add	x0, x0, #0x560
0xfffffff0099dee28: 39dea597  bl	#0xfffffff00835670c
0xfffffff0099dee2c: c115fff0  adrp	x1, #0xfffffff007c99000
0xfffffff0099dee30: 21c03991  add	x1, x1, #0xe70
0xfffffff0099dee34: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff0099dee38: e00313aa  mov	x0, x19
0xfffffff0099dee3c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0099dee40: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0099dee44: ff2303d5  autibsp	
0xfffffff0099dee48: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0099dee4c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0099dee54
0xfffffff0099dee50: 208e38d4  brk	#0xc471
0xfffffff0099dee54: f10301aa  mov	x17, x1
0xfffffff0099dee58: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff0099dee5c: 110a1fd7  braa	x16, x17
0xfffffff0099dee60: 5f2403d5  bti	c
0xfffffff0099dee64: e0e0fef0  adrp	x0, #0xfffffff0075fd000
0xfffffff0099dee68: 003c3891  add	x0, x0, #0xe0f
0xfffffff0099dee6c: c0035fd6  ret	
0xfffffff0099dee70: 7f2303d5  pacibsp	
0xfffffff0099dee74: ffc301d1  sub	sp, sp, #0x70
0xfffffff0099dee78: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0099dee7c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0099dee80: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0099dee84: fd830191  add	x29, sp, #0x60
0xfffffff0099dee88: 811d00b4  cbz	x1, #0xfffffff0099df238
0xfffffff0099dee8c: f30301aa  mov	x19, x1
0xfffffff0099dee90: f40300aa  mov	x20, x0
0xfffffff0099dee94: c815fff0  adrp	x8, #0xfffffff007c99000
0xfffffff0099dee98: 08c13991  add	x8, x8, #0xe70
0xfffffff0099dee9c: 09411991  add	x9, x8, #0x650
0xfffffff0099deea0: 082943f9  ldr	x8, [x8, #0x650]
0xfffffff0099deea4: f10309aa  mov	x17, x9
0xfffffff0099deea8: d1ede7f2  movk	x17, #0x3f6e, lsl #48
0xfffffff0099deeac: 11093fd7  blraa	x8, x17
0xfffffff0099deeb0: 601c0034  cbz	w0, #0xfffffff0099df23c
0xfffffff0099deeb4: c84e0090  adrp	x8, #0xfffffff00a3b6000
0xfffffff0099deeb8: 08412291  add	x8, x8, #0x890
0xfffffff0099deebc: 809240f9  ldr	x0, [x20, #0x120]
0xfffffff0099deec0: 010140f9  ldr	x1, [x8]
0xfffffff0099deec4: 100040f9  ldr	x16, [x0]
0xfffffff0099deec8: f10300aa  mov	x17, x0
0xfffffff0099deecc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099deed0: 301ac1da  autda	x16, x17
0xfffffff0099deed4: 112580d2  mov	x17, #0x128
0xfffffff0099deed8: 1002118b  add	x16, x16, x17
0xfffffff0099deedc: 080240f9  ldr	x8, [x16]
0xfffffff0099deee0: e90310aa  mov	x9, x16
